year,cons,beta1,beta2,global_cons_ramsey,ratio
2152,0,.16661738,.35862422,533.95032,1.5489528
2153,0,.1680025,.36160553,538.38916,1.5618296
2154,0,.16939925,.36461183,542.86523,1.5748143
2155,0,.17080778,.36764356,547.37909,1.5879087
2156,0,.17222816,.37070075,551.93091,1.6011132
2157,0,.17366049,.37378365,556.521,1.6144288
2158,0,.17510487,.37689254,561.14978,1.6278565
2159,0,.17656142,.38002759,565.8175,1.6413972
2160,0,.17803024,.38318905,570.52454,1.6550521
2161,0,.17951143,.38637713,575.27124,1.6688219
2162,0,.18100508,.38959202,580.05786,1.6827075
2163,0,.18251131,.39283404,584.88483,1.6967102
2164,0,.18403023,.39610332,589.75244,1.7108308
2165,0,.18556197,.3994002,594.66113,1.7250706
2166,0,.18710659,.40272483,599.61108,1.7394301
2167,0,.18866424,.40607747,604.60278,1.7539107
2168,0,.190235,.40945834,609.63654,1.7685132
2169,0,.19181898,.4128677,614.71265,1.7832386
2170,0,.19341636,.41630584,619.83167,1.7980886
2171,0,.19502717,.41977295,624.99377,1.8130635
2172,0,.19665155,.42326921,630.19934,1.8281645
2173,0,.19828965,.42679504,635.44885,1.843393
2174,0,.19994156,.4303506,640.74268,1.85875
2175,0,.20160739,.43393606,646.08105,1.8742362
2176,0,.20328726,.4375518,651.46448,1.8898531
2177,0,.20498131,.44119805,656.89331,1.9056019
2178,0,.20668964,.44487503,662.36792,1.9214833
2179,0,.20841238,.44858301,667.88867,1.9374986
2180,0,.21014966,.4523223,673.45605,1.9536492
2181,0,.21190161,.45609313,679.07037,1.969936
2182,0,.21366832,.45989582,684.73212,1.9863603
2183,0,.21544993,.46373051,690.44159,2.002923
2184,0,.21724661,.46759763,696.19928,2.0196257
2185,0,.21905842,.47149736,702.00555,2.0364692
2186,0,.22088556,.47543007,707.86084,2.0534551
2187,0,.22272809,.47939587,713.7655,2.0705841
2188,0,.2245862,.48339525,719.72009,2.087858
2189,0,.22646001,.4874284,725.72498,2.1052778
2190,0,.22834961,.49149555,731.78052,2.1228445
2191,0,.23025517,.49559706,737.88715,2.1405594
2192,0,.23217684,.49973321,744.04541,2.1584241
2193,0,.23411475,.50390428,750.25574,2.1764398
2194,0,.23606901,.50811064,756.51843,2.1946075
2195,0,.23803979,.51235253,762.83411,2.2129288
2196,0,.2400272,.51663017,769.20313,2.2314048
2197,0,.24203143,.52094406,775.62598,2.250037
2198,0,.24405257,.5252943,782.10303,2.2688265
2199,0,.24609083,.52968144,788.63489,2.287775
2200,0,.2481463,.53410554,795.22192,2.3068836
2201,0,.25021914,.53856713,801.86469,2.3261538
2202,0,.2523095,.54306638,808.5636,2.3455868
2203,0,.25441754,.54760367,815.31909,2.3651841
2204,0,.2565434,.55217934,822.13177,2.3849471
2205,0,.25868726,.55679375,829.00208,2.4048774
2206,0,.26084924,.56144714,835.93042,2.4249761
2207,0,.26302949,.56613988,842.91736,2.4452448
2208,0,.26522818,.57087231,849.96344,2.4656849
2209,0,.26744547,.57564479,857.06909,2.4862978
2210,0,.26968154,.58045763,864.23486,2.5070853
2211,0,.27193654,.58531123,871.4613,2.5280488
2212,0,.2742106,.59020591,878.7489,2.5491896
2213,0,.27650392,.59514201,886.09814,2.5705092
2214,0,.27881664,.60011983,893.50958,2.5920093
2215,0,.28114891,.60513979,900.98376,2.6136913
2216,0,.28350094,.61020225,908.52124,2.6355569
2217,0,.28587288,.61530757,916.12244,2.6576076
2218,0,.2882649,.6204561,923.78802,2.6798449
2219,0,.29067719,.62564826,931.51855,2.7022705
2220,0,.29310989,.63088441,939.31458,2.7248862
2221,0,.29556322,.6361649,947.17664,2.7476935
2222,0,.29803732,.6414901,955.10522,2.7706938
2223,0,.30053234,.64686036,963.10095,2.7938888
2224,0,.30304855,.65227616,971.16443,2.8172805
2225,0,.30558607,.65773785,979.29626,2.8408704
2226,0,.30814508,.66324586,987.49701,2.8646603
2227,0,.31072575,.66880047,995.76721,2.8886514
2228,0,.31332833,.67440218,1004.1075,2.9128461
2229,0,.31595293,.68005133,1012.5184,2.9372456
2230,0,.31859979,.6857484,1021.0007,2.9618521
2231,0,.32126912,.69149381,1029.5549,2.9866674
2232,0,.32396105,.69728786,1038.1816,3.0116928
2233,0,.32667577,.70313102,1046.8815,3.0369303
2234,0,.32941356,.70902377,1055.655,3.062382
2235,0,.33217454,.71496648,1064.5031,3.0880494
2236,0,.33495897,.7209596,1073.4261,3.1139348
2237,0,.337767,.72700351,1082.4249,3.1400394
2238,0,.34059885,.73309875,1091.5,3.1663656
2239,0,.34345469,.73924565,1100.652,3.192915
2240,0,.34633479,.74544472,1109.8817,3.2196896
2241,0,.34923932,.75169635,1119.1897,3.2466915
2242,0,.3521685,.75800103,1128.5767,3.2739224
2243,0,.35512257,.76435935,1138.0435,3.3013849
2244,0,.3581017,.77077156,1147.5905,3.3290801
2245,0,.36110607,.77723813,1157.2185,3.3570104
2246,0,.36413595,.78375959,1166.9282,3.3851776
