temp,ref,yhat_low_gdp,se_low_gdp,lowerci_low_gdp,upperci_low_gdp,yhat_ag_gdp,se_ag_gdp,lowerci_ag_gdp,upperci_ag_gdp,yhat_nonag_gdp,se_nonag_gdp,lowerci_nonag_gdp,upperci_nonag_gdp,yhat_low_lrt,se_low_lrt,lowerci_low_lrt,upperci_low_lrt,yhat_ag_lrt,se_ag_lrt,lowerci_ag_lrt,upperci_ag_lrt,yhat_nonag_lrt,se_nonag_lrt,lowerci_nonag_lrt,upperci_nonag_lrt
-17.8,27,9.1128397,0,9.1128397,9.1128397,-26.72575,0,-26.72575,-26.72575,14.486033,0,14.486033,14.486033,-1.6259071,0,-1.6259071,-1.6259071,-5.7003121,0,-5.7003121,-5.7003121,-.47561774,0,-.47561774,-.47561774
-17.7,27,9.0924988,0,9.0924988,9.0924988,-26.666096,0,-26.666096,-26.666096,14.453699,0,14.453699,14.453699,-1.6222779,0,-1.6222779,-1.6222779,-5.6875882,0,-5.6875882,-5.6875882,-.47455609,0,-.47455609,-.47455609
-17.6,27,9.0721569,0,9.0721569,9.0721569,-26.60644,0,-26.60644,-26.60644,14.421364,0,14.421364,14.421364,-1.6186486,0,-1.6186486,-1.6186486,-5.6748643,0,-5.6748643,-5.6748643,-.47349444,0,-.47349444,-.47349444
-17.5,27,9.051816,0,9.051816,9.051816,-26.546783,0,-26.546783,-26.546783,14.389029,0,14.389029,14.389029,-1.6150193,0,-1.6150193,-1.6150193,-5.6621404,0,-5.6621404,-5.6621404,-.47243279,0,-.47243279,-.47243279
-17.4,27,9.0314751,0,9.0314751,9.0314751,-26.487127,0,-26.487127,-26.487127,14.356694,0,14.356694,14.356694,-1.6113901,0,-1.6113901,-1.6113901,-5.6494164,0,-5.6494164,-5.6494164,-.47137114,0,-.47137114,-.47137114
-17.3,27,9.0111332,0,9.0111332,9.0111332,-26.427471,0,-26.427471,-26.427471,14.324359,0,14.324359,14.324359,-1.6077608,0,-1.6077608,-1.6077608,-5.6366925,0,-5.6366925,-5.6366925,-.4703095,0,-.4703095,-.4703095
-17.2,27,8.9907932,0,8.9907932,8.9907932,-26.367817,0,-26.367817,-26.367817,14.292025,0,14.292025,14.292025,-1.6041316,0,-1.6041316,-1.6041316,-5.6239686,0,-5.6239686,-5.6239686,-.46924788,0,-.46924788,-.46924788
-17.1,27,8.9704514,0,8.9704514,8.9704514,-26.308161,0,-26.308161,-26.308161,14.259689,0,14.259689,14.259689,-1.6005024,0,-1.6005024,-1.6005024,-5.6112447,0,-5.6112447,-5.6112447,-.46818623,0,-.46818623,-.46818623
-17,27,8.9501104,0,8.9501104,8.9501104,-26.248505,0,-26.248505,-26.248505,14.227354,0,14.227354,14.227354,-1.596873,0,-1.596873,-1.596873,-5.5985208,0,-5.5985208,-5.5985208,-.46712455,0,-.46712455,-.46712455
-16.9,27,8.9297695,0,8.9297695,8.9297695,-26.188848,0,-26.188848,-26.188848,14.19502,0,14.19502,14.19502,-1.5932437,0,-1.5932437,-1.5932437,-5.5857968,0,-5.5857968,-5.5857968,-.4660629,0,-.4660629,-.4660629
-16.8,27,8.9094276,0,8.9094276,8.9094276,-26.129192,0,-26.129192,-26.129192,14.162684,0,14.162684,14.162684,-1.5896145,0,-1.5896145,-1.5896145,-5.5730729,0,-5.5730729,-5.5730729,-.46500126,0,-.46500126,-.46500126
-16.7,27,8.8890867,0,8.8890867,8.8890867,-26.069538,0,-26.069538,-26.069538,14.13035,0,14.13035,14.13035,-1.5859853,0,-1.5859853,-1.5859853,-5.5603495,0,-5.5603495,-5.5603495,-.46393964,0,-.46393964,-.46393964
-16.6,27,8.8687458,0,8.8687458,8.8687458,-26.009882,0,-26.009882,-26.009882,14.098015,0,14.098015,14.098015,-1.582356,0,-1.582356,-1.582356,-5.5476251,0,-5.5476251,-5.5476251,-.46287799,0,-.46287799,-.46287799
-16.5,27,8.8484049,0,8.8484049,8.8484049,-25.950226,0,-25.950226,-25.950226,14.06568,0,14.06568,14.06568,-1.5787268,0,-1.5787268,-1.5787268,-5.5349011,0,-5.5349011,-5.5349011,-.46181634,0,-.46181634,-.46181634
-16.4,27,8.828063,0,8.828063,8.828063,-25.89057,0,-25.89057,-25.89057,14.033345,0,14.033345,14.033345,-1.5750974,0,-1.5750974,-1.5750974,-5.5221772,0,-5.5221772,-5.5221772,-.46075469,0,-.46075469,-.46075469
-16.3,27,8.8077221,0,8.8077221,8.8077221,-25.830914,0,-25.830914,-25.830914,14.00101,0,14.00101,14.00101,-1.5714682,0,-1.5714682,-1.5714682,-5.5094533,0,-5.5094533,-5.5094533,-.45969304,0,-.45969304,-.45969304
-16.2,27,8.7873812,0,8.7873812,8.7873812,-25.771259,0,-25.771259,-25.771259,13.968676,0,13.968676,13.968676,-1.567839,0,-1.567839,-1.567839,-5.4967299,0,-5.4967299,-5.4967299,-.4586314,0,-.4586314,-.4586314
-16.1,27,8.7670403,0,8.7670403,8.7670403,-25.711603,0,-25.711603,-25.711603,13.93634,0,13.93634,13.93634,-1.5642097,0,-1.5642097,-1.5642097,-5.4840059,0,-5.4840059,-5.4840059,-.45756975,0,-.45756975,-.45756975
-16,27,8.7466984,0,8.7466984,8.7466984,-25.651947,0,-25.651947,-25.651947,13.904005,0,13.904005,13.904005,-1.5605805,0,-1.5605805,-1.5605805,-5.471282,0,-5.471282,-5.471282,-.4565081,0,-.4565081,-.4565081
-15.9,27,8.7263575,0,8.7263575,8.7263575,-25.592291,0,-25.592291,-25.592291,13.871671,0,13.871671,13.871671,-1.5569512,0,-1.5569512,-1.5569512,-5.4585576,0,-5.4585576,-5.4585576,-.45544645,0,-.45544645,-.45544645
-15.8,27,8.7060165,0,8.7060165,8.7060165,-25.532637,0,-25.532637,-25.532637,13.839335,0,13.839335,13.839335,-1.553322,0,-1.553322,-1.553322,-5.4458342,0,-5.4458342,-5.4458342,-.4543848,0,-.4543848,-.4543848
-15.7,27,8.6856756,0,8.6856756,8.6856756,-25.47298,0,-25.47298,-25.47298,13.807001,0,13.807001,13.807001,-1.5496927,0,-1.5496927,-1.5496927,-5.4331102,0,-5.4331102,-5.4331102,-.45332316,0,-.45332316,-.45332316
-15.6,27,8.6653337,0,8.6653337,8.6653337,-25.413324,0,-25.413324,-25.413324,13.774666,0,13.774666,13.774666,-1.5460634,0,-1.5460634,-1.5460634,-5.4203863,0,-5.4203863,-5.4203863,-.45226151,0,-.45226151,-.45226151
-15.5,27,8.6449928,0,8.6449928,8.6449928,-25.35367,0,-25.35367,-25.35367,13.742331,0,13.742331,13.742331,-1.5424342,0,-1.5424342,-1.5424342,-5.4076624,0,-5.4076624,-5.4076624,-.45119986,0,-.45119986,-.45119986
-15.4,27,8.6246519,0,8.6246519,8.6246519,-25.294014,0,-25.294014,-25.294014,13.709996,0,13.709996,13.709996,-1.5388049,0,-1.5388049,-1.5388049,-5.3949385,0,-5.3949385,-5.3949385,-.45013821,0,-.45013821,-.45013821
-15.3,27,8.604311,0,8.604311,8.604311,-25.234358,0,-25.234358,-25.234358,13.677661,0,13.677661,13.677661,-1.5351757,0,-1.5351757,-1.5351757,-5.3822145,0,-5.3822145,-5.3822145,-.44907656,0,-.44907656,-.44907656
-15.2,27,8.5839691,0,8.5839691,8.5839691,-25.174702,0,-25.174702,-25.174702,13.645327,0,13.645327,13.645327,-1.5315464,0,-1.5315464,-1.5315464,-5.3694906,0,-5.3694906,-5.3694906,-.44801491,0,-.44801491,-.44801491
-15.1,27,8.5636282,0,8.5636282,8.5636282,-25.115047,0,-25.115047,-25.115047,13.612991,0,13.612991,13.612991,-1.5279171,0,-1.5279171,-1.5279171,-5.3567667,0,-5.3567667,-5.3567667,-.4469533,0,-.4469533,-.4469533
-15,27,8.5432873,0,8.5432873,8.5432873,-25.055391,0,-25.055391,-25.055391,13.580656,0,13.580656,13.580656,-1.5242879,0,-1.5242879,-1.5242879,-5.3440428,0,-5.3440428,-5.3440428,-.44589162,0,-.44589162,-.44589162
-14.9,27,8.5229464,0,8.5229464,8.5229464,-24.995735,0,-24.995735,-24.995735,13.548322,0,13.548322,13.548322,-1.5206586,0,-1.5206586,-1.5206586,-5.3313189,0,-5.3313189,-5.3313189,-.44482997,0,-.44482997,-.44482997
-14.8,27,8.5026045,0,8.5026045,8.5026045,-24.936079,0,-24.936079,-24.936079,13.515986,0,13.515986,13.515986,-1.5170294,0,-1.5170294,-1.5170294,-5.3185949,0,-5.3185949,-5.3185949,-.44376835,0,-.44376835,-.44376835
-14.7,27,8.4822636,0,8.4822636,8.4822636,-24.876423,0,-24.876423,-24.876423,13.483652,0,13.483652,13.483652,-1.5134001,0,-1.5134001,-1.5134001,-5.305871,0,-5.305871,-5.305871,-.44270667,0,-.44270667,-.44270667
-14.6,27,8.4619226,0,8.4619226,8.4619226,-24.816769,0,-24.816769,-24.816769,13.451317,0,13.451317,13.451317,-1.5097709,0,-1.5097709,-1.5097709,-5.2931471,0,-5.2931471,-5.2931471,-.44164506,0,-.44164506,-.44164506
-14.5,27,8.4415817,0,8.4415817,8.4415817,-24.757113,0,-24.757113,-24.757113,13.418982,0,13.418982,13.418982,-1.5061417,0,-1.5061417,-1.5061417,-5.2804232,0,-5.2804232,-5.2804232,-.44058341,0,-.44058341,-.44058341
-14.4,27,8.4212399,0,8.4212399,8.4212399,-24.697456,0,-24.697456,-24.697456,13.386647,0,13.386647,13.386647,-1.5025123,0,-1.5025123,-1.5025123,-5.2676992,0,-5.2676992,-5.2676992,-.43952176,0,-.43952176,-.43952176
