temp,ref,yhat_low_gdp,se_low_gdp,lowerci_low_gdp,upperci_low_gdp,yhat_ag_gdp,se_ag_gdp,lowerci_ag_gdp,upperci_ag_gdp,yhat_nonag_gdp,se_nonag_gdp,lowerci_nonag_gdp,upperci_nonag_gdp,yhat_low_lrt,se_low_lrt,lowerci_low_lrt,upperci_low_lrt,yhat_ag_lrt,se_ag_lrt,lowerci_ag_lrt,upperci_ag_lrt,yhat_nonag_lrt,se_nonag_lrt,lowerci_nonag_lrt,upperci_nonag_lrt
-20,27,11.292884,0,11.292884,11.292884,1.3588945,0,1.3588945,1.3588945,17.226854,0,17.226854,17.226854,.17440356,0,.17440356,.17440356,-10.571198,0,-10.571198,-10.571198,-.46060809,0,-.46060809,-.46060809
-19.9,27,11.268856,0,11.268856,11.268856,1.3560033,0,1.3560033,1.3560033,17.190201,0,17.190201,17.190201,.17403249,0,.17403249,.17403249,-10.548706,0,-10.548706,-10.548706,-.45962808,0,-.45962808,-.45962808
-19.8,27,11.244828,0,11.244828,11.244828,1.353112,0,1.353112,1.353112,17.153547,0,17.153547,17.153547,.17366143,0,.17366143,.17366143,-10.526215,0,-10.526215,-10.526215,-.45864806,0,-.45864806,-.45864806
-19.7,27,11.220801,0,11.220801,11.220801,1.3502207,0,1.3502207,1.3502207,17.116896,0,17.116896,17.116896,.17329036,0,.17329036,.17329036,-10.503723,0,-10.503723,-10.503723,-.45766807,0,-.45766807,-.45766807
-19.6,27,11.196774,0,11.196774,11.196774,1.3473295,0,1.3473295,1.3473295,17.080242,0,17.080242,17.080242,.17291929,0,.17291929,.17291929,-10.481231,0,-10.481231,-10.481231,-.45668805,0,-.45668805,-.45668805
-19.5,27,11.172747,0,11.172747,11.172747,1.3444382,0,1.3444382,1.3444382,17.043589,0,17.043589,17.043589,.1725482,0,.1725482,.1725482,-10.458738,0,-10.458738,-10.458738,-.45570803,0,-.45570803,-.45570803
-19.4,27,11.148719,0,11.148719,11.148719,1.3415469,0,1.3415469,1.3415469,17.006937,0,17.006937,17.006937,.17217714,0,.17217714,.17217714,-10.436247,0,-10.436247,-10.436247,-.45472801,0,-.45472801,-.45472801
-19.3,27,11.124691,0,11.124691,11.124691,1.3386556,0,1.3386556,1.3386556,16.970284,0,16.970284,16.970284,.17180607,0,.17180607,.17180607,-10.413754,0,-10.413754,-10.413754,-.45374799,0,-.45374799,-.45374799
-19.2,27,11.100664,0,11.100664,11.100664,1.3357644,0,1.3357644,1.3357644,16.933632,0,16.933632,16.933632,.171435,0,.171435,.171435,-10.391263,0,-10.391263,-10.391263,-.45276797,0,-.45276797,-.45276797
-19.1,27,11.076637,0,11.076637,11.076637,1.3328731,0,1.3328731,1.3328731,16.896978,0,16.896978,16.896978,.17106393,0,.17106393,.17106393,-10.368772,0,-10.368772,-10.368772,-.45178795,0,-.45178795,-.45178795
