,year,ce_damages,reg_damages,fair_temperatures_anomaly_rcp,diff,level_ce,level_reg,slope_ce,slope_reg
0,2015,0.0,0.0,0.15716305,0.0,0.00748105071307454,0.007235578584371377,-0.03036146569770909,-0.03060663627682999
1,2016,0.0,0.0,0.16611883,0.0,0.0096633941067146,0.009406495692929763,-0.01627879287819013,-0.016486197870154002
2,2017,0.0,0.0,0.17635037,0.0,0.009246841201034674,0.008975847316977061,-0.026830266058700383,-0.026957553434744
3,2018,0.0,0.0,0.18834646,0.0,0.011273596202905111,0.010996448959898247,-0.05139824588094424,-0.051552329000500004
4,2019,0.0,0.0,0.20215684,0.0,0.010044515724876359,0.009758371593790454,-0.011172180345621133,-0.011370669852511998
5,2020,-2.1171376849529397e-05,-2.133766751652097e-05,0.21815879999999999,1.6629066699157258e-07,0.014580607417458128,0.014281311811492425,-0.035317750292732646,-0.03559506461832
6,2021,-7.96011779660849e-05,-7.982123390611745e-05,0.24017283,2.2005594003254858e-07,0.019586733038947694,0.019267994195533412,-0.08102506401066122,-0.08124799712127796
7,2022,-0.00010612715703390424,-0.00010639703808376644,0.26722786,2.698810498621973e-07,0.026921460214338028,0.02658030784387557,-0.08621175944996198,-0.086429795804056
8,2023,-0.00011679543897347155,-0.00011713365351582322,0.29588011,3.382145423516669e-07,0.03182854173124758,0.03146898894263737,-0.0840830302761958,-0.084324873016058
9,2024,-9.637992752679209e-05,-9.684213846389983e-05,0.32396185,4.622109371077432e-07,0.03776015752749557,0.03737917779262883,-0.06477365752330513,-0.06508229458670003
10,2025,-9.031911702385431e-05,-9.081351544465432e-05,0.3474364,4.94398420800013e-07,0.039810176665006476,0.039409796189157735,-0.05840878931116264,-0.05872573038520004
11,2026,-8.011752134779587e-05,-8.066372962125395e-05,0.36698824,5.46208273458082e-07,0.04246209492390902,0.04203683061479952,-0.05059453499066832,-0.05093705355964799
