time_cut,discrate,rcp45,rcp85
all,1.0,19.89305434645034,45.581351008053176
all,2.0,5.2418078863200535,12.127954320013641
all,2.5,3.11029452647941,7.191694056021949
all,3.0,1.9799061956591597,4.57556114401075
all,5.0,0.48363974188448106,1.1699958948890343
post2099,1.0,16.426459436905223,38.05276000277682
post2099,2.0,3.2810424582858317,7.852129364548206
post2099,2.5,1.6225419739819482,3.9283644681743395
post2099,3.0,0.8452661393513069,2.0640539807358356
post2099,5.0,0.08703418045353156,0.21568998669117845
pre2099,1.0,3.466594909545118,7.528591005276346
pre2099,2.0,1.9607654280342217,4.275824955465433
pre2099,2.5,1.4877525524974615,3.263329587847609
pre2099,3.0,1.1346400563078525,2.511507163274914
pre2099,5.0,0.3966055614309496,0.9543059081978559
share_post2099,1.0,0.8257384286408644,0.8348317713543368
share_post2099,2.0,0.6259371822551183,0.6474405458132839
share_post2099,2.5,0.521668272946012,0.5462363161687798
share_post2099,3.0,0.4269223164231257,0.45110401014695434
share_post2099,5.0,0.179956634900198,0.1843510627972204
