,region,year,main_hist,main_raw,main_diff,clip_hist,clip_raw,clipped_diff
1449120,USA.14.608,2048,11.321707,12.324762,1.0030549999999998,4.209812599999999,5.212868,1.003055400000001
1449121,USA.14.608,2049,10.64558,11.983089,1.337508999999999,3.533686,4.871196,1.3375100000000004
1449122,USA.14.608,2050,10.622337,12.563687,1.94135,3.5104434,5.4517927,1.9413493000000002
1449123,USA.14.608,2051,11.157291,12.342118,1.1848269999999985,4.0453978,5.230224,1.1848261999999998
1449124,USA.14.608,2052,10.754649,12.448596,1.6939469999999996,3.6427547999999996,5.3367014,1.6939466000000003
1449125,USA.14.608,2053,10.824367,11.620797,0.7964299999999991,3.7124724000000002,4.5089025000000005,0.7964301000000003
1449126,USA.14.608,2054,10.754649,12.947749,2.1930999999999994,3.6427547999999996,5.8358545,2.1930997000000003
1449127,USA.14.608,2055,11.157291,11.92742,0.770128999999999,4.0453978,4.8155255,0.7701276999999997
1449128,USA.14.608,2056,10.622337,12.216192,1.5938549999999996,3.5104434,5.1042976,1.5938541999999996
1449129,USA.14.608,2057,10.64558,11.130460000000001,0.4848800000000004,3.533686,4.018565,0.48487899999999984
1449130,USA.14.608,2058,11.321707,12.554517,1.2328100000000006,4.209812599999999,5.4426227,1.232810100000001
1449131,USA.14.608,2059,11.101632,12.4330225,1.3313904999999995,3.9897377,5.321128,1.3313902999999998
1449132,USA.14.608,2060,11.186911,12.339132000000001,1.1522210000000008,4.0750165,5.2272387,1.1522221999999998
1449133,USA.14.608,2061,10.774067,11.509196000000001,0.7351290000000006,3.662173,4.397302,0.7351289999999997
1449134,USA.14.608,2062,11.77934,11.8389635,0.05962350000000072,4.667445,4.7270694,0.05962440000000058
1449135,USA.14.608,2063,11.801827000000001,11.999857,0.19802999999999926,4.689933,4.8879623,0.19802929999999996
1449136,USA.14.608,2064,11.002751,11.838078999999999,0.8353279999999987,3.8908567,4.726186,0.8353293000000002
1449137,USA.14.608,2065,10.1780405,12.661688999999999,2.4836484999999993,3.0661466,5.549794,2.4836474
1449138,USA.14.608,2066,9.552402,12.677746,3.125344,2.4405072,5.565851,3.1253438000000004
