region,year,main_histclim,main_fulladapt,main_diff,clipped_histclim,clipped_fulladapt,clipped_diff,unclipped_histclim,unclipped_fulladapt,unclipped_diff
USA.14.608,2048,11.321707,12.324762,1.0030549999999998,-4.14027,-4.6549287,-0.5146587,-6.0393167000000005,-6.553975599999999,-0.5146588999999988
USA.14.608,2049,10.64558,11.983089,1.337508999999999,-3.7309623,-4.49286,-0.7618977000000005,-5.683871,-6.4457684,-0.7618974000000005
USA.14.608,2050,10.622337,12.563687,1.94135,-3.7153735,-4.816118,-1.1007445000000002,-5.719537,-6.820281,-1.1007439999999997
USA.14.608,2051,11.157291,12.342118,1.1848269999999985,-4.010924,-4.696895,-0.6859709999999994,-6.064624,-6.750595599999999,-0.6859715999999985
USA.14.608,2052,10.754649,12.448596,1.6939469999999996,-3.7937830000000003,-4.7863026,-0.9925195999999996,-5.895303,-6.8878226,-0.9925195999999996
USA.14.608,2053,10.824367,11.620797,0.7964299999999991,-3.8417027000000004,-4.5137634,-0.6720606999999998,-5.9893246,-6.661385000000001,-0.6720604000000012
USA.14.608,2054,10.754649,12.947749,2.1930999999999994,-3.804265,-5.133335,-1.3290699999999998,-5.996271,-7.325341000000001,-1.3290700000000006
USA.14.608,2055,11.157291,11.92742,0.770128999999999,-4.0397015,-4.521649,-0.4819475000000004,-6.2743745,-6.756322,-0.48194749999999953
USA.14.608,2056,10.622337,12.216192,1.5938549999999996,-3.7435472,-4.8002,-1.0566528000000002,-6.0197296,-7.0763826000000005,-1.0566530000000007
USA.14.608,2057,10.64558,11.130460000000001,0.4848800000000004,-3.7706356,-4.3445253,-0.5738897000000001,-6.087169,-6.661059,-0.5738899999999996
USA.14.608,2058,11.321707,12.554517,1.2328100000000006,-4.232166,-5.0585985,-0.8264325000000001,-6.587892999999999,-7.4143257,-0.8264327000000007
USA.14.608,2059,11.101632,12.4330225,1.3313904999999995,-4.036067,-4.9171,-0.8810329999999995,-6.42983,-7.310863,-0.8810330000000004
USA.14.608,2060,11.186911,12.339132000000001,1.1522210000000008,-4.0834413,-4.9404335,-0.8569922000000005,-6.5140824,-7.3710747,-0.8569922999999999
USA.14.608,2061,10.774067,11.509196000000001,0.7351290000000006,-3.8495398,-4.501222599999999,-0.6516827999999992,-6.3162684,-6.967951299999999,-0.6516828999999991
