temp,risk,bins,poly_2,poly_3,poly_4,spline
-16.299999,low,5.2754641,-15.353183,-26.03566,-50.321823,-2.1648643
-16.200001,high,34.805908,-171.28851,199.21698,-1.7009357,-31.379419
-16.200001,low,5.2754641,-15.266382,-25.830484,-49.801727,-2.1598649
-16.1,high,34.805908,-170.43343,197.11214,-1.092393,-31.306782
-16.1,low,5.2754641,-15.179817,-25.626278,-49.285404,-2.154865
-16,high,34.805908,-169.58044,195.02013,-0.49506518,-31.234144
-16,low,5.2754641,-15.09349,-25.42304,-48.772846,-2.1498654
-15.9,high,34.805908,-168.7296,192.94087,0.091142997,-31.161507
-15.9,low,5.2754641,-15.007401,-25.22077,-48.264034,-2.1448658
-15.8,high,34.805908,-167.88089,190.87437,0.66632092,-31.088869
-15.8,low,5.2754641,-14.921549,-25.019466,-47.758957,-2.1398661
-15.7,high,34.805908,-167.0343,188.82057,1.230574,-31.016232
-15.7,low,5.2754641,-14.835935,-24.819124,-47.257584,-2.1348662
-15.6,high,34.805908,-166.18987,186.77945,1.7839857,-30.943594
-15.6,low,5.2754641,-14.75056,-24.619745,-46.759907,-2.1298666
-15.5,high,34.805908,-165.34752,184.75093,2.3266604,-30.870956
-15.5,low,5.2754641,-14.665421,-24.421322,-46.265903,-2.124867
-15.4,high,34.805908,-164.50732,182.73502,2.858686,-30.798319
-15.4,low,5.2754641,-14.58052,-24.223858,-45.775558,-2.1198673
-15.3,high,34.805908,-163.66925,180.73167,3.380151,-30.725681
-15.3,low,5.2754641,-14.495857,-24.027349,-45.288857,-2.1148677
-15.2,high,34.805908,-162.83331,178.74083,3.8911581,-30.653044
-15.2,low,5.2754641,-14.411431,-23.831791,-44.805775,-2.1098678
-15.1,high,34.805908,-161.9995,176.7625,4.3917899,-30.580406
-15.1,low,5.2754641,-14.327245,-23.637186,-44.326302,-2.1048682
-15,high,34.805908,-161.1678,174.79659,4.8821478,-30.507769
-15,low,5.2754641,-14.243295,-23.443529,-43.85041,-2.0998685
-14.9,high,34.805908,-160.33824,172.84309,5.362319,-30.435131
-14.9,low,5.2754641,-14.159582,-23.250816,-43.378094,-2.0948689
-14.8,high,34.805908,-159.51082,170.90199,5.8323908,-30.362494
-14.8,low,5.2754641,-14.076108,-23.059052,-42.909332,-2.0898693
-14.7,high,34.805908,-158.68552,168.97321,6.2924628,-30.289856
-14.7,low,5.2754641,-13.992871,-22.868225,-42.444103,-2.0848694
-14.6,high,34.805908,-157.86234,167.05675,6.7426171,-30.217218
-14.6,low,5.2754641,-13.909873,-22.678343,-41.982395,-2.0798697
-14.5,high,34.805908,-157.04129,165.15254,7.1829529,-30.144581
-14.5,low,5.2754641,-13.827111,-22.489395,-41.524185,-2.0748701
-14.4,high,34.805908,-156.22237,163.26056,7.6135554,-30.071943
-14.4,low,5.2754641,-13.744587,-22.301384,-41.069458,-2.0698705
-14.3,high,34.805908,-155.40558,161.3808,8.0345106,-29.999306
-14.3,low,5.2754641,-13.662302,-22.114309,-40.618202,-2.0648706
-14.2,high,34.805908,-154.59091,159.51318,8.4459162,-29.926668
-14.2,low,5.2754641,-13.580254,-21.928164,-40.170391,-2.059871
-14.1,high,34.805908,-153.77838,157.6577,8.8478537,-29.854031
-14.1,low,5.2754641,-13.498443,-21.74295,-39.726021,-2.0548713
-14,high,34.805908,-152.96797,155.8143,9.2404175,-29.781393
-14,low,5.2754641,-13.41687,-21.558662000000002,-39.285057,-2.0498717
-13.9,high,34.805908,-152.15968,153.98294,9.6236944,-29.708755
-13.9,low,5.2754641,-13.335535,-21.375301,-38.847496,-2.044872
-13.8,high,34.805908,-151.35355,152.1636,9.9977684,-29.636118
-13.8,low,5.2754641,-13.254437,-21.192863,-38.413319,-2.0398722
-13.7,high,34.805908,-150.54951,150.35625,10.362734,-29.56348
-13.7,low,5.2754641,-13.173578,-21.011347,-37.982502,-2.0348725
-13.6,high,34.805908,-149.74762,148.56084,10.718671,-29.490843
-13.6,low,5.2754641,-13.092957,-20.830751,-37.555038,-2.0298729
-13.5,high,34.805908,-148.94786,146.77731,11.065674,-29.418205
-13.5,low,5.2754641,-13.012571,-20.65107,-37.130901,-2.0248733
-13.4,high,34.805908,-148.15021,145.00568,11.403826,-29.345568
-13.4,low,5.2754641,-12.932425,-20.472305,-36.710079,-2.0198734
-13.3,high,34.805908,-147.35471,143.24588,11.73321,-29.27293
-13.3,low,5.2754641,-12.852516,-20.294455,-36.292557,-2.0148737
-13.2,high,34.805908,-146.56133,141.49786,12.053918,-29.200293
-13.2,low,5.2754641,-12.772845,-20.117512,-35.878315,-2.0098741
-13.1,high,34.805908,-145.77007,139.76163,12.36603,-29.127655
-13.1,low,5.2754641,-12.693412,-19.941481,-35.467339,-2.0048745
-13,high,34.805908,-144.98094,138.03709,12.669637,-29.055017
-13,low,5.2754641,-12.614216,-19.766356,-35.059608,-1.9998747
-12.9,high,34.805908,-144.19394,136.32425,12.964822,-28.98238
-12.9,low,5.2754641,-12.535258,-19.592134,-34.655106,-1.9948751
-12.8,high,34.805908,-143.40907,134.62309,13.251665,-28.909742
-12.8,low,5.2754641,-12.456538,-19.418818,-34.253822,-1.9898754
-12.7,high,34.805908,-142.62633,132.93352,13.530258,-28.837105
-12.7,low,5.2754641,-12.378056,-19.246399,-33.855736,-1.9848757
-12.6,high,34.805908,-141.84572,131.25554,13.800677,-28.764467
-12.6,low,5.2754641,-12.29981,-19.074883,-33.460835,-1.979876
-12.5,high,34.805908,-141.06723,129.5891,14.063013,-28.69183
-12.5,low,5.2754641,-12.221804,-18.904259,-33.069092,-1.9748763
-12.4,high,34.805908,-140.29086,127.93417,14.317347,-28.619192
