temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high_noag,se_high,lowerci_high,upperci_high
-13.8,27,-76.471024,95.434898,-263.51999,110.57795,-62.460705,119.52628,-296.72791,171.8065
-13.7,27,-76.283592,95.200989,-262.87411,110.30692,-62.307613,119.23332,-296.00064,171.38541
-13.6,27,-76.096161,94.967087,-262.22824,110.0359,-62.154526,118.94037,-295.27338,170.96431
-13.5,27,-75.90873,94.733177,-261.58234,109.76488,-62.001434,118.64741,-294.54608,170.54321
-13.4,27,-75.721306,94.499268,-260.93646,109.49385,-61.848343,118.35445,-293.81882,170.12212
-13.3,27,-75.533875,94.265358,-260.29059,109.22283,-61.695255,118.0615,-293.09155,169.70103
-13.2,27,-75.346443,94.031448,-259.64468,108.95181,-61.542164,117.76854,-292.36426,169.27994
-13.1,27,-75.159019,93.797539,-258.99881,108.68078,-61.389076,117.47559,-291.63699,168.85884
-13,27,-74.971588,93.563629,-258.35294,108.40975,-61.235985,117.18262,-290.90973,168.43774
-12.9,27,-74.784157,93.32972,-257.70703,108.13873,-61.082893,116.88967,-290.18243,168.01665
-12.8,27,-74.596733,93.09581,-257.06116,107.86771,-60.929806,116.59672,-289.45517,167.59557
-12.7,27,-74.409302,92.8619,-256.41528,107.59668,-60.776714,116.30376,-288.72791,167.17447
-12.6,27,-74.22187,92.627991,-255.76941,107.32566,-60.623627,116.0108,-288.00061,166.75337
-12.5,27,-74.034447,92.394081,-255.12352,107.05463,-60.470535,115.71784,-287.27335,166.33228
-12.4,27,-73.847015,92.160172,-254.47763,106.78361,-60.317444,115.42489,-286.54608,165.91118
-12.3,27,-73.659584,91.92627,-253.83176,106.51258,-60.164356,115.13194,-285.81879,165.49008
-12.2,27,-73.472153,91.692352,-253.18587,106.24156,-60.011265,114.83897,-285.09152,165.06898
-12.1,27,-73.284729,91.45845,-252.53999,105.97054,-59.858173,114.54602,-284.36426,164.6479
-12,27,-73.097298,91.224541,-251.8941,105.69951,-59.705086,114.25306,-283.63696,164.22681
-11.9,27,-72.909866,90.990631,-251.24823,105.42848,-59.551994,113.96011,-282.9097,163.80571
-11.8,27,-72.722443,90.756721,-250.60234,105.15746,-59.398907,113.66715,-282.18243,163.38461
-11.7,27,-72.535011,90.522812,-249.95647,104.88644,-59.245815,113.37419,-281.45514,162.96352
-11.6,27,-72.34758,90.288902,-249.31058,104.61542,-59.092724,113.08124,-280.72787,162.54243
-11.5,27,-72.160156,90.054993,-248.6647,104.34439,-58.939636,112.78828,-280.00061,162.12134
-11.4,27,-71.972725,89.821083,-248.01881,104.07336,-58.786545,112.49532,-279.27332,161.70024
-11.3,27,-71.785294,89.587173,-247.37294,103.80234,-58.633453,112.20237,-278.54605,161.27914
-11.2,27,-71.59787,89.353264,-246.72705,103.53132,-58.480366,111.90941,-277.81879,160.85805
-11.1,27,-71.410439,89.119354,-246.08118,103.26029,-58.327274,111.61646,-277.09149,160.43695
