temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high_gdp,se_high,lowerci_high,upperci_high
-18.1,27,-2.4154568,12.914046,-27.726522,22.895609,19.097141,14.061714,-8.4633121,46.657597
-18,27,-2.4101009,12.885412,-27.665045,22.844843,19.054798,14.030535,-8.4445457,46.554142
-17.9,27,-2.4047451,12.856777,-27.603565,22.794075,19.012453,13.999356,-8.4257803,46.450687
-17.799999,27,-2.3993893,12.828143,-27.542088,22.743309,18.97011,13.968177,-8.4070148,46.347233
-17.700001,27,-2.3940337,12.799509,-27.480612,22.692543,18.927765,13.936998,-8.3882494,46.243782
-17.6,27,-2.3886778,12.770875,-27.419132,22.641777,18.885422,13.905819,-8.3694839,46.140327
-17.5,27,-2.383322,12.742241,-27.357655,22.591011,18.843077,13.87464,-8.3507175,46.036873
-17.4,27,-2.3779662,12.713606,-27.296177,22.540245,18.800734,13.843461,-8.3319521,45.933418
-17.299999,27,-2.3726103,12.684972,-27.234699,22.489477,18.758389,13.812283,-8.3131866,45.829964
-17.200001,27,-2.3672547,12.656338,-27.173222,22.438711,18.716045,13.781104,-8.2944212,45.726513
-17.1,27,-2.3618989,12.627704,-27.111744,22.387945,18.673702,13.749925,-8.2756557,45.623058
-17,27,-2.3565431,12.59907,-27.050266,22.337179,18.631357,13.718745,-8.2568893,45.519604
-16.9,27,-2.3511872,12.570435,-26.988787,22.286413,18.589014,13.687567,-8.2381239,45.416149
-16.799999,27,-2.3458316,12.5418,-26.927309,22.235645,18.546669,13.656387,-8.2193584,45.312695
-16.700001,27,-2.3404758,12.513166,-26.865831,22.184881,18.504326,13.625209,-8.200593,45.209244
-16.6,27,-2.33512,12.484532,-26.804354,22.134113,18.461981,13.594029,-8.1818275,45.105789
-16.5,27,-2.3297641,12.455898,-26.742876,22.083347,18.419638,13.562851,-8.1630611,45.002335
-16.4,27,-2.3244085,12.427264,-26.681398,22.032581,18.377293,13.531672,-8.1442957,44.898884
-16.299999,27,-2.3190527,12.398629,-26.619919,21.981815,18.334949,13.500492,-8.1255302,44.795429
-16.200001,27,-2.3136969,12.369996,-26.558443,21.931049,18.292606,13.469314,-8.1067648,44.691975
-16.1,27,-2.308341,12.341361,-26.496965,21.880283,18.250261,13.438135,-8.0879984,44.588524
-16,27,-2.3029854,12.312727,-26.435486,21.829515,18.207918,13.406956,-8.0692329,44.485069
-15.9,27,-2.2976296,12.284093,-26.374008,21.778749,18.165573,13.375776,-8.0504675,44.381615
-15.8,27,-2.2922738,12.255459,-26.312531,21.727983,18.12323,13.344598,-8.031702,44.27816
-15.7,27,-2.2869179,12.226824,-26.251053,21.677217,18.080885,13.313418,-8.0129356,44.174706
-15.6,27,-2.2815623,12.19819,-26.189575,21.626451,18.038542,13.28224,-7.9941707,44.071255
-15.5,27,-2.2762065,12.169556,-26.128098,21.575684,17.996197,13.25106,-7.9754047,43.9678
-15.4,27,-2.2708507,12.140922,-26.06662,21.524918,17.953854,13.219882,-7.9566388,43.864346
-15.3,27,-2.2654948,12.112288,-26.005142,21.474152,17.91151,13.188704,-7.9378734,43.760891
-15.2,27,-2.260139,12.083652,-25.943663,21.423386,17.869165,13.157524,-7.9191079,43.65744
-15.1,27,-2.2547834,12.055018,-25.882185,21.37262,17.826822,13.126346,-7.900342,43.553986
-15,27,-2.2494276,12.026384,-25.820707,21.321854,17.784477,13.095166,-7.8815765,43.450531
-14.9,27,-2.2440717,11.99775,-25.75923,21.271086,17.742134,13.063987,-7.8628106,43.347076
-14.8,27,-2.2387159,11.969116,-25.697752,21.22032,17.699789,13.032808,-7.8440452,43.243626
-14.7,27,-2.2333603,11.940481,-25.636274,21.169554,17.657446,13.001629,-7.8252792,43.140171
-14.6,27,-2.2280045,11.911847,-25.574797,21.118788,17.615101,12.97045,-7.8065138,43.036716
-14.5,27,-2.2226486,11.883213,-25.513319,21.068022,17.572758,12.939271,-7.7877483,42.933262
-14.4,27,-2.2172928,11.854579,-25.451839,21.017254,17.530413,12.908092,-7.7689824,42.829811
-14.3,27,-2.2119372,11.825945,-25.390364,20.966488,17.48807,12.876913,-7.750217,42.726357
-14.2,27,-2.2065814,11.797311,-25.328884,20.915722,17.445726,12.845735,-7.731451,42.622902
-14.1,27,-2.2012255,11.768676,-25.267406,20.864956,17.403381,12.814555,-7.7126856,42.519447
-14,27,-2.1958697,11.740042,-25.205929,20.81419,17.361038,12.783377,-7.6939197,42.415997
-13.9,27,-2.1905138,11.711408,-25.144451,20.763424,17.318693,12.752197,-7.6751542,42.312542
-13.8,27,-2.1851583,11.682774,-25.082973,20.712658,17.27635,12.721019,-7.6563888,42.209087
-13.7,27,-2.1798024,11.65414,-25.021496,20.66189,17.234005,12.689839,-7.6376228,42.105633
-13.6,27,-2.1744466,11.625505,-24.960018,20.611124,17.191662,12.658661,-7.6188574,42.002182
-13.5,27,-2.1690907,11.59687,-24.89854,20.560358,17.149317,12.627481,-7.6000915,41.898727
-13.4,27,-2.1637349,11.568236,-24.837061,20.509592,17.106974,12.596303,-7.581326,41.795273
-13.3,27,-2.1583793,11.539602,-24.775583,20.458826,17.064631,12.565124,-7.5625601,41.691818
-13.2,27,-2.1530235,11.510968,-24.714106,20.408058,17.022285,12.533945,-7.5437946,41.588367
-13.1,27,-2.1476676,11.482334,-24.652628,20.357292,16.979942,12.502766,-7.5250292,41.484913
-13,27,-2.142312,11.453699,-24.59115,20.306526,16.937597,12.471587,-7.5062633,41.381458
-12.9,27,-2.1369562,11.425065,-24.529673,20.25576,16.895254,12.440408,-7.4874978,41.278004
-12.8,27,-2.1316004,11.396431,-24.468195,20.204994,16.852909,12.409229,-7.4687319,41.174553
-12.7,27,-2.1262445,11.367797,-24.406717,20.154228,16.810566,12.37805,-7.4499664,41.071098
-12.6,27,-2.1208889,11.339163,-24.34524,20.103462,16.768221,12.346871,-7.431201,40.967644
-12.5,27,-2.1155331,11.310528,-24.28376,20.052694,16.725878,12.315692,-7.4124351,40.864189
-12.4,27,-2.1101773,11.281894,-24.222282,20.001928,16.683533,12.284513,-7.3936691,40.760735
-12.3,27,-2.1048214,11.25326,-24.160805,19.951162,16.64119,12.253334,-7.3749037,40.657284
-12.2,27,-2.0994656,11.224626,-24.099327,19.900396,16.598846,12.222155,-7.3561382,40.553829
-12.1,27,-2.09411,11.195992,-24.037849,19.84963,16.556501,12.190976,-7.3373723,40.450375
-12,27,-2.0887542,11.167356,-23.976372,19.798862,16.514158,12.159797,-7.3186069,40.346924
-11.9,27,-2.0833983,11.138722,-23.914894,19.748096,16.471813,12.128618,-7.2998409,40.243469
-11.8,27,-2.0780425,11.110088,-23.853416,19.69733,16.42947,12.097439,-7.2810755,40.140015
-11.7,27,-2.0726867,11.081454,-23.791937,19.646564,16.387125,12.06626,-7.2623096,40.03656
-11.6,27,-2.0673311,11.05282,-23.730461,19.595798,16.344782,12.035081,-7.2435441,39.933109
-11.5,27,-2.0619752,11.024186,-23.668982,19.545033,16.302437,12.003902,-7.2247787,39.829655
-11.4,27,-2.0566194,10.995551,-23.607504,19.494265,16.260094,11.972723,-7.2060127,39.7262
-11.3,27,-2.0512636,10.966917,-23.546026,19.443499,16.217751,11.941545,-7.1872473,39.622746
-11.2,27,-2.045908,10.938283,-23.484549,19.392733,16.175406,11.910365,-7.1684813,39.519291
-11.1,27,-2.0405521,10.909649,-23.423071,19.341967,16.133062,11.879187,-7.1497159,39.41584
-11,27,-2.0351963,10.881015,-23.361593,19.291201,16.090717,11.848007,-7.13095,39.312386
-10.9,27,-2.0298405,10.85238,-23.300116,19.240433,16.048374,11.816829,-7.1121845,39.208931
-10.8,27,-2.0244849,10.823746,-23.238638,19.189667,16.006029,11.785649,-7.0934191,39.10548
-10.7,27,-2.019129,10.795112,-23.177158,19.138901,15.963686,11.754471,-7.0746531,39.002026
-10.6,27,-2.0137732,10.766478,-23.115681,19.088135,15.921342,11.723291,-7.0558877,38.898571
-10.5,27,-2.0084174,10.737844,-23.054203,19.037369,15.878998,11.692113,-7.0371218,38.795116
-10.4,27,-2.0030615,10.709208,-22.992725,18.986603,15.836654,11.660933,-7.0183563,38.691662
-10.3,27,-1.9977059,10.680574,-22.931248,18.935837,15.79431,11.629755,-6.9995904,38.588211
-10.2,27,-1.9923501,10.65194,-22.86977,18.885069,15.751966,11.598576,-6.9808249,38.484756
-10.1,27,-1.9869944,10.623306,-22.808292,18.834303,15.709622,11.567397,-6.9620595,38.381302
-10,27,-1.9816386,10.594672,-22.746815,18.783537,15.667277,11.536218,-6.9432936,38.277847
-9.8999996,27,-1.9762827,10.566037,-22.685335,18.732771,15.624933,11.505038,-6.9245276,38.174397
-9.8000002,27,-1.970927,10.537403,-22.623857,18.682005,15.58259,11.47386,-6.9057622,38.070942
-9.6999998,27,-1.9655712,10.508769,-22.56238,18.631237,15.540246,11.44268,-6.8869967,37.967487
-9.6000004,27,-1.9602154,10.480135,-22.500902,18.580471,15.497902,11.411502,-6.8682308,37.864037
-9.5,27,-1.9548596,10.451501,-22.439425,18.529705,15.455558,11.380323,-6.8494654,37.760582
-9.3999996,27,-1.9495038,10.422867,-22.377947,18.478939,15.413214,11.349144,-6.8306994,37.657127
-9.3000002,27,-1.9441481,10.394233,-22.316469,18.428173,15.37087,11.317966,-6.811934,37.553673
-9.1999998,27,-1.9387922,10.365598,-22.254992,18.377407,15.328526,11.286786,-6.7931681,37.450218
-9.1000004,27,-1.9334365,10.336964,-22.193514,18.326641,15.286182,11.255608,-6.7744026,37.346767
-9,27,-1.9280808,10.30833,-22.132036,18.275873,15.243838,11.224428,-6.7556372,37.243313
-8.8999996,27,-1.922725,10.279696,-22.070557,18.225107,15.201493,11.193249,-6.7368712,37.139858
-8.8000002,27,-1.9173692,10.251061,-22.009079,18.174341,15.15915,11.16207,-6.7181058,37.036407
-8.6999998,27,-1.9120134,10.222426,-21.947601,18.123575,15.116806,11.130891,-6.6993399,36.932953
-8.6000004,27,-1.9066577,10.193792,-21.886124,18.072809,15.074462,11.099712,-6.6805744,36.829498
-8.5,27,-1.9013019,10.165158,-21.824646,18.022041,15.032118,11.068533,-6.6618085,36.726044
-8.3999996,27,-1.895946,10.136524,-21.763168,17.971275,14.989774,11.037354,-6.643043,36.622589
-8.3000002,27,-1.8905903,10.10789,-21.701691,17.920509,14.94743,11.006175,-6.6242776,36.519138
-8.1999998,27,-1.8852345,10.079255,-21.640213,17.869743,14.905086,10.974997,-6.6055117,36.415684
-8.1000004,27,-1.8798788,10.050621,-21.578735,17.818977,14.862742,10.943817,-6.5867462,36.312229
-8,27,-1.8745229,10.021987,-21.517256,17.768211,14.820398,10.912639,-6.5679803,36.208775
-7.9000001,27,-1.8691672,9.9933529,-21.455778,17.717443,14.778054,10.881459,-6.5492148,36.105324
-7.8000002,27,-1.8638114,9.9647188,-21.3943,17.666677,14.73571,10.850281,-6.5304489,36.001869
-7.6999998,27,-1.8584555,9.9360838,-21.332823,17.615911,14.693366,10.819101,-6.5116835,35.898415
-7.5999999,27,-1.8530998,9.9074497,-21.271345,17.565145,14.651022,10.787923,-6.4929175,35.79496
-7.5,27,-1.847744,9.8788157,-21.209867,17.51438,14.608678,10.756743,-6.4741521,35.691509
-7.4000001,27,-1.8423883,9.8501816,-21.14839,17.463614,14.566334,10.725565,-6.4553866,35.588055
-7.3000002,27,-1.8370324,9.8215475,-21.086912,17.412846,14.52399,10.694386,-6.4366207,35.4846
-7.1999998,27,-1.8316767,9.7929125,-21.025433,17.36208,14.481646,10.663207,-6.4178553,35.381145
-7.0999999,27,-1.8263209,9.7642784,-20.963955,17.311314,14.439301,10.632028,-6.3990893,35.277695
-7,27,-1.8209652,9.7356443,-20.902477,17.260548,14.396958,10.600849,-6.3803239,35.17424
-6.9000001,27,-1.8156093,9.7070103,-20.841,17.209782,14.354614,10.56967,-6.361558,35.070786
-6.8000002,27,-1.8102536,9.6783762,-20.779522,17.159016,14.31227,10.538491,-6.3427925,34.967331
-6.6999998,27,-1.8048978,9.6497421,-20.718044,17.108248,14.269926,10.507312,-6.3240266,34.86388
-6.5999999,27,-1.7995421,9.6211071,-20.656567,17.057482,14.227582,10.476133,-6.3052611,34.760426
-6.5,27,-1.7941862,9.592473,-20.595089,17.006716,14.185238,10.444954,-6.2864957,34.656971
-6.4000001,27,-1.7888305,9.563839,-20.533611,16.95595,14.142894,10.413775,-6.2677298,34.553516
-6.3000002,27,-1.7834747,9.5352049,-20.472134,16.905184,14.10055,10.382596,-6.2489643,34.450066
-6.1999998,27,-1.7781188,9.5065708,-20.410654,16.854418,14.058206,10.351417,-6.2301984,34.346611
-6.0999999,27,-1.7727631,9.4779358,-20.349176,16.80365,14.015862,10.320238,-6.2114329,34.243156
-6,27,-1.7674073,9.4493017,-20.287699,16.752884,13.973518,10.289059,-6.192667,34.139702
-5.9000001,27,-1.7620516,9.4206676,-20.226221,16.702118,13.931174,10.25788,-6.1739016,34.036251
-5.8000002,27,-1.7566957,9.3920336,-20.164743,16.651352,13.88883,10.226701,-6.1551361,33.932796
-5.6999998,27,-1.75134,9.3633995,-20.103266,16.600586,13.846486,10.195522,-6.1363702,33.829342
-5.5999999,27,-1.7459842,9.3347654,-20.041788,16.54982,13.804142,10.164343,-6.1176047,33.725887
-5.5,27,-1.7406285,9.3061304,-19.98031,16.499052,13.761798,10.133164,-6.0988388,33.622437
-5.4000001,27,-1.7352726,9.2774963,-19.918831,16.448286,13.719454,10.101985,-6.0800734,33.518982
-5.3000002,27,-1.7299169,9.2488623,-19.857353,16.39752,13.67711,10.070807,-6.0613074,33.415527
-5.1999998,27,-1.7245611,9.2202282,-19.795876,16.346754,13.634766,10.039627,-6.042542,33.312073
-5.0999999,27,-1.7192054,9.1915941,-19.734398,16.295988,13.592422,10.008449,-6.0237761,33.208622
-5,27,-1.7138495,9.1629591,-19.67292,16.245222,13.550078,9.9772692,-6.0050106,33.105167
-4.9000001,27,-1.7084938,9.134325,-19.611443,16.194454,13.507734,9.9460907,-5.9862452,33.001713
-4.8000002,27,-1.703138,9.105691,-19.549965,16.143688,13.46539,9.9149113,-5.9674792,32.898258
-4.6999998,27,-1.6977822,9.0770569,-19.488487,16.092922,13.423046,9.8837328,-5.9487138,32.794807
-4.5999999,27,-1.6924264,9.0484228,-19.42701,16.042156,13.380702,9.8525534,-5.9299479,32.691353
-4.5,27,-1.6870706,9.0197887,-19.36553,15.991389,13.338358,9.8213749,-5.9111824,32.587898
-4.4000001,27,-1.6817149,8.9911537,-19.304052,15.940623,13.296014,9.7901955,-5.8924165,32.484444
-4.3000002,27,-1.6763591,8.9625196,-19.242575,15.889857,13.253671,9.759017,-5.873651,32.380993
-4.1999998,27,-1.6710033,8.9338856,-19.181097,15.83909,13.211326,9.7278376,-5.8548856,32.277538
-4.0999999,27,-1.6656475,8.9052515,-19.119619,15.788324,13.168983,9.6966591,-5.8361197,32.174084
-4,27,-1.6602918,8.8766174,-19.058142,15.737558,13.126638,9.6654797,-5.8173542,32.070629
-3.9000001,27,-1.654936,8.8479824,-18.996664,15.686791,13.084294,9.6343012,-5.7985883,31.967176
-3.8,27,-1.6495802,8.8193483,-18.935186,15.636025,13.04195,9.6031218,-5.7798228,31.863724
-3.7,27,-1.6442244,8.7907143,-18.873709,15.585259,12.999606,9.5719433,-5.7610569,31.760269
-3.5999999,27,-1.6388686,8.7620802,-18.812229,15.534492,12.957262,9.5407639,-5.7422915,31.656816
-3.5,27,-1.6335129,8.7334461,-18.750751,15.483727,12.914918,9.5095854,-5.723526,31.553362
-3.4000001,27,-1.628157,8.704812,-18.689274,15.432961,12.872574,9.478406,-5.7047601,31.449909
-3.3,27,-1.6228013,8.676177,-18.627796,15.382194,12.83023,9.4472265,-5.6859946,31.346455
-3.2,27,-1.6174455,8.647543,-18.566319,15.331428,12.787887,9.416048,-5.6672287,31.243002
-3.0999999,27,-1.6120898,8.6189089,-18.504841,15.280661,12.745543,9.3848686,-5.6484632,31.139547
-3,27,-1.6067339,8.5902748,-18.443363,15.229895,12.703198,9.3536901,-5.6296973,31.036095
-2.9000001,27,-1.6013782,8.5616407,-18.381886,15.179129,12.660854,9.3225107,-5.6109319,30.93264
-2.8,27,-1.5960224,8.5330057,-18.320408,15.128362,12.61851,9.2913322,-5.5921659,30.829187
-2.7,27,-1.5906667,8.5043716,-18.258928,15.077596,12.576166,9.2601528,-5.5734005,30.725733
-2.5999999,27,-1.5853108,8.4757376,-18.197451,15.02683,12.533822,9.2289743,-5.554635,30.62228
-2.5,27,-1.5799551,8.4471035,-18.135973,14.976064,12.491478,9.1977949,-5.5358691,30.518826
-2.4000001,27,-1.5745993,8.4184694,-18.074495,14.925297,12.449134,9.1666164,-5.5171037,30.415373
-2.3,27,-1.5692434,8.3898344,-18.013018,14.874531,12.40679,9.135437,-5.4983377,30.311918
-2.2,27,-1.5638877,8.3612003,-17.95154,14.823765,12.364447,9.1042585,-5.4795723,30.208466
-2.0999999,27,-1.5585319,8.3325663,-17.890062,14.772998,12.322103,9.0730791,-5.4608064,30.105011
-2,27,-1.5531762,8.3039322,-17.828585,14.722232,12.279758,9.0419006,-5.4420409,30.001558
-1.9,27,-1.5478203,8.2752981,-17.767107,14.671465,12.237414,9.0107212,-5.4232755,29.898104
-1.8,27,-1.5424646,8.246664,-17.705627,14.620699,12.19507,8.9795427,-5.4045095,29.794651
-1.7,27,-1.5371088,8.218029,-17.64415,14.569933,12.152726,8.9483633,-5.3857441,29.691196
-1.6,27,-1.5317531,8.189395,-17.582672,14.519166,12.110382,8.9171848,-5.3669782,29.587744
-1.5,27,-1.5263972,8.1607609,-17.521194,14.4684,12.068038,8.8860054,-5.3482127,29.484289
-1.4,27,-1.5210415,8.1321268,-17.459717,14.417634,12.025694,8.8548269,-5.3294468,29.380836
-1.3,27,-1.5156857,8.1034927,-17.398239,14.366867,11.983351,8.8236475,-5.3106813,29.277382
-1.2,27,-1.51033,8.0748577,-17.336761,14.316101,11.941007,8.792469,-5.2919154,29.173929
-1.1,27,-1.5049741,8.0462236,-17.275284,14.265335,11.898663,8.7612896,-5.27315,29.070475
-1,27,-1.4996184,8.0175896,-17.213806,14.214568,11.856318,8.7301111,-5.2543845,28.967022
-.89999998,27,-1.4942626,7.9889555,-17.152327,14.163802,11.813974,8.6989317,-5.2356186,28.863567
-.80000001,27,-1.4889067,7.9603209,-17.090849,14.113036,11.77163,8.6677532,-5.2168531,28.760113
-.69999999,27,-1.483551,7.9316869,-17.029371,14.062269,11.729286,8.6365738,-5.1980872,28.65666
-.60000002,27,-1.4781952,7.9030528,-16.967894,14.011503,11.686942,8.6053953,-5.1793218,28.553205
-.5,27,-1.4728395,7.8744183,-16.906416,13.960737,11.644598,8.5742159,-5.1605558,28.449753
-.40000001,27,-1.4674836,7.8457842,-16.844938,13.90997,11.602254,8.5430374,-5.1417904,28.346298
-.30000001,27,-1.4621279,7.8171496,-16.783461,13.859204,11.559911,8.511858,-5.1230249,28.242846
-.2,27,-1.4567721,7.7885156,-16.721983,13.808438,11.517567,8.4806786,-5.104259,28.139391
-.1,27,-1.4514164,7.7598815,-16.660503,13.757671,11.475223,8.4495001,-5.0854936,28.035938
0,27,-1.4460605,7.7312469,-16.599026,13.706905,11.432878,8.4183207,-5.0667276,27.932484
.1,27,-1.4407048,7.7026129,-16.537548,13.656139,11.390534,8.3871422,-5.0479622,27.829031
.2,27,-1.435349,7.6739788,-16.47607,13.605372,11.34819,8.3559628,-5.0291963,27.725576
.30000001,27,-1.4299933,7.6453443,-16.414593,13.554606,11.305846,8.3247843,-5.0104308,27.622124
.40000001,27,-1.4246374,7.6167102,-16.353115,13.50384,11.263502,8.2936049,-4.9916649,27.518669
.5,27,-1.4192816,7.5880756,-16.291637,13.453074,11.221158,8.2624264,-4.9728994,27.415216
.60000002,27,-1.4139259,7.5594416,-16.23016,13.402308,11.178815,8.2312469,-4.954134,27.311762
.69999999,27,-1.4085701,7.5308075,-16.168682,13.351542,11.136471,8.2000685,-4.9353681,27.208309
.80000001,27,-1.4032143,7.5021729,-16.107203,13.300775,11.094127,8.168889,-4.9166026,27.104855
.89999998,27,-1.3978585,7.4735389,-16.045725,13.250009,11.051783,8.1377106,-4.8978367,27.001402
1,27,-1.3925028,7.4449048,-15.984248,13.199243,11.009439,8.1065311,-4.8790712,26.897947
1.1,27,-1.3871469,7.4162703,-15.92277,13.148476,10.967094,8.0753527,-4.8603053,26.794495
1.2,27,-1.3817912,7.3876362,-15.861292,13.09771,10.92475,8.0441732,-4.8415399,26.69104
1.3,27,-1.3764354,7.3590021,-15.799814,13.046944,10.882406,8.0129948,-4.8227744,26.587587
1.4,27,-1.3710797,7.3303676,-15.738337,12.996177,10.840062,7.9818153,-4.8040085,26.484133
1.5,27,-1.3657238,7.3017335,-15.676858,12.945411,10.797718,7.9506364,-4.785243,26.38068
1.6,27,-1.3603681,7.2730989,-15.61538,12.894645,10.755375,7.9194574,-4.7664771,26.277225
1.7,27,-1.3550123,7.2444649,-15.553903,12.843878,10.713031,7.8882785,-4.7477117,26.173773
1.8,27,-1.3496565,7.2158308,-15.492425,12.793112,10.670687,7.8570995,-4.7289457,26.070318
1.9,27,-1.3443007,7.1871963,-15.430947,12.742346,10.628343,7.8259206,-4.7101803,25.966866
2,27,-1.3389449,7.1585622,-15.369469,12.691579,10.585999,7.7947416,-4.6914144,25.863411
2.0999999,27,-1.3335892,7.1299281,-15.307991,12.640813,10.543654,7.7635627,-4.6726489,25.759958
2.2,27,-1.3282334,7.1012936,-15.246513,12.590046,10.50131,7.7323837,-4.6538835,25.656504
2.3,27,-1.3228776,7.0726595,-15.185036,12.53928,10.458966,7.7012048,-4.6351175,25.553051
2.4000001,27,-1.3175218,7.0440249,-15.123557,12.488514,10.416622,7.6700258,-4.6163521,25.449596
2.5,27,-1.3121661,7.0153909,-15.062079,12.437747,10.374279,7.6388469,-4.5975862,25.346144
2.5999999,27,-1.3068103,6.9867568,-15.000602,12.386981,10.331935,7.6076679,-4.5788207,25.242689
2.7,27,-1.3014545,6.9581223,-14.939124,12.336215,10.289591,7.576489,-4.5600548,25.139236
2.8,27,-1.2960987,6.9294882,-14.877645,12.285448,10.247247,7.54531,-4.5412893,25.035782
2.9000001,27,-1.290743,6.9008541,-14.816168,12.234682,10.204903,7.5141311,-4.5225234,24.932329
3,27,-1.2853872,6.8722196,-14.75469,12.183916,10.162559,7.4829521,-4.503758,24.828875
3.0999999,27,-1.2800314,6.8435855,-14.693213,12.133149,10.120214,7.4517732,-4.4849925,24.725422
3.2,27,-1.2746756,6.8149509,-14.631735,12.082383,10.07787,7.4205942,-4.4662266,24.621967
3.3,27,-1.2693198,6.7863169,-14.570256,12.031617,10.035526,7.3894153,-4.4474611,24.518515
3.4000001,27,-1.2639641,6.7576828,-14.508779,11.98085,9.9931822,7.3582363,-4.4286952,24.41506
3.5,27,-1.2586082,6.7290483,-14.447301,11.930084,9.950839,7.3270574,-4.4099298,24.311607
3.5999999,27,-1.2532525,6.7004142,-14.385823,11.879318,9.9084949,7.2958784,-4.3911638,24.208153
3.7,27,-1.2478967,6.6717801,-14.324345,11.828551,9.8661509,7.2646995,-4.3723984,24.1047
3.8,27,-1.242541,6.6431456,-14.262867,11.777785,9.8238068,7.2335205,-4.3536329,24.001245
3.9000001,27,-1.2371851,6.6145115,-14.201389,11.727019,9.7814627,7.2023416,-4.334867,23.897793
4,27,-1.2318294,6.5858769,-14.139912,11.676252,9.7391186,7.1711626,-4.3161016,23.794338
4.0999999,27,-1.2264736,6.5572429,-14.078434,11.625486,9.6967745,7.1399837,-4.2973356,23.690886
4.1999998,27,-1.2211179,6.5286088,-14.016955,11.57472,9.6544304,7.1088047,-4.2785702,23.587431
4.3000002,27,-1.215762,6.4999743,-13.955478,11.523953,9.6120863,7.0776253,-4.2598042,23.483978
4.4000001,27,-1.2104062,6.4713402,-13.894,11.473187,9.5697422,7.0464463,-4.2410388,23.380524
4.5,27,-1.2050505,6.4427061,-13.832522,11.422421,9.5273991,7.0152674,-4.2222729,23.277071
4.5999999,27,-1.1996946,6.4140716,-13.771044,11.371655,9.485055,6.9840884,-4.2035074,23.173616
4.6999998,27,-1.1943389,6.3854375,-13.709566,11.320889,9.4427109,6.9529095,-4.184742,23.070164
4.8000002,27,-1.1889831,6.3568029,-13.648088,11.270123,9.4003668,6.9217305,-4.165976,22.966709
4.9000001,27,-1.1836274,6.3281689,-13.586611,11.219356,9.3580227,6.8905516,-4.1472106,22.863256
5,27,-1.1782715,6.2995348,-13.525133,11.16859,9.3156786,6.8593726,-4.1284447,22.759802
5.0999999,27,-1.1729158,6.2709002,-13.463655,11.117824,9.2733345,6.8281937,-4.1096792,22.656349
5.1999998,27,-1.16756,6.2422662,-13.402177,11.067057,9.2309904,6.7970147,-4.0909138,22.552895
5.3000002,27,-1.1622043,6.2136321,-13.340699,11.016291,9.1886463,6.7658358,-4.0721478,22.449442
5.4000001,27,-1.1568484,6.1849976,-13.279222,10.965525,9.1463022,6.7346568,-4.0533824,22.345987
5.5,27,-1.1514927,6.1563635,-13.217743,10.914758,9.1039591,6.7034779,-4.0346165,22.242535
5.5999999,27,-1.1461369,6.1277294,-13.156265,10.863992,9.061615,6.6722989,-4.015851,22.13908
5.6999998,27,-1.1407812,6.0990949,-13.094788,10.813226,9.0192709,6.64112,-3.9970853,22.035627
5.8000002,27,-1.1354253,6.0704608,-13.03331,10.762459,8.9769268,6.609941,-3.9783194,21.932173
5.9000001,27,-1.1300695,6.0418262,-12.971831,10.711693,8.9345827,6.5787621,-3.959554,21.82872
6,27,-1.1247138,6.0131922,-12.910354,10.660927,8.8922386,6.5475831,-3.9407883,21.725266
