temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high_gdp,se_high,lowerci_high,upperci_high
-20,27,-2.5172164,13.458097,-28.894602,23.860168,19.901678,14.654115,-8.8198595,48.623215
-19.9,27,-2.5118606,13.429462,-28.833124,23.809402,19.859333,14.622935,-8.8010941,48.51976
-19.799999,27,-2.506505,13.400828,-28.771645,23.758636,19.816988,14.591756,-8.7823277,48.416306
-19.700001,27,-2.5011492,13.372194,-28.710169,23.70787,19.774645,14.560577,-8.7635622,48.312855
-19.6,27,-2.4957933,13.34356,-28.648691,23.657103,19.732302,14.529399,-8.7447968,48.2094
-19.5,27,-2.4904375,13.314925,-28.587212,23.606337,19.689957,14.498219,-8.7260313,48.105946
-19.4,27,-2.4850819,13.286291,-28.525734,23.555571,19.647614,14.467041,-8.7072649,48.002491
-19.299999,27,-2.4797261,13.257657,-28.464256,23.504805,19.605268,14.435862,-8.6884995,47.899036
-19.200001,27,-2.4743702,13.229023,-28.402779,23.454039,19.562925,14.404683,-8.669734,47.795586
-19.1,27,-2.4690144,13.200389,-28.341301,23.403273,19.520582,14.373504,-8.6509686,47.692131
-19,27,-2.4636588,13.171754,-28.279823,23.352505,19.478237,14.342325,-8.6322031,47.588676
-18.9,27,-2.458303,13.14312,-28.218346,23.301739,19.435894,14.311146,-8.6134367,47.485222
-18.799999,27,-2.4529471,13.114486,-28.156866,23.250973,19.393549,14.279966,-8.5946712,47.381771
-18.700001,27,-2.4475913,13.085852,-28.09539,23.200207,19.351206,14.248788,-8.5759058,47.278316
-18.6,27,-2.4422357,13.057218,-28.033911,23.149441,19.308861,14.217609,-8.5571404,47.174862
-18.5,27,-2.4368799,13.028584,-27.972433,23.098675,19.266518,14.18643,-8.5383749,47.071407
-18.4,27,-2.431524,12.999949,-27.910955,23.047907,19.224173,14.155251,-8.5196085,46.967957
-18.299999,27,-2.4261682,12.971314,-27.849478,22.997141,19.181829,14.124072,-8.500843,46.864502
-18.200001,27,-2.4208126,12.94268,-27.788,22.946375,19.139486,14.092894,-8.4820776,46.761047
