temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_hr_ag,se_hr_ag,lowerci_hr_ag,upperci_hr_ag,yhat_hr_noag,se_hr_noag,lowerci_hr_noag,upperci_hr_noag
29.6,27,4.4076443,4.8517876,-5.1016846,13.916973,22.26408,7.6130304,7.3428154,37.185345,12.470779,7.3315783,-1.8988492,26.840408
29.7,27,4.5613947,5.0153179,-5.2684479,14.391237,22.881693,7.885253,7.4268813,38.336506,12.86037,7.5849409,-2.0058422,27.726582
29.8,27,4.7133555,5.1764622,-5.4323239,14.859035,23.472263,8.1554012,7.4879708,39.456554,13.239754,7.8352919,-2.1171362,28.596643
29.9,27,4.8634677,5.335186,-5.5933051,15.32024,24.034828,8.423461,7.5251484,40.54451,13.608575,8.0825768,-2.2329843,29.450134
30,27,5.0116615,5.4914498,-5.7513828,15.774706,24.568369,8.6894073,7.5374436,41.599297,13.966447,8.3267307,-2.3536465,30.286539
30.1,27,5.1578712,5.6452246,-5.9065652,16.222307,25.071886,8.953227,7.5238824,42.619888,14.31299,8.5677013,-2.4793966,31.105377
30.2,27,5.3020306,5.7964869,-6.0588746,16.662935,25.544374,9.2149143,7.4834733,43.605274,14.647827,8.8054419,-2.6105218,31.906176
30.3,27,5.4440699,5.9452181,-6.2083435,17.096483,25.984818,9.4744635,7.4152102,44.554424,14.970572,9.0399075,-2.7473209,32.688465
30.4,27,5.5839295,6.0914183,-6.3550305,17.52289,26.39225,9.7318954,7.3180866,45.466415,15.280865,9.2710772,-2.8901117,33.451843
30.5,27,5.7215409,6.2350845,-6.4990001,17.942081,26.765657,9.9872198,7.1910658,46.340248,15.578321,9.4989214,-3.0392227,34.195866
30.6,27,5.8568368,6.3762259,-6.6403365,18.35401,27.104033,10.240461,7.0330977,47.174969,15.86256,9.723424,-3.1950011,34.92012
30.7,27,5.9897513,6.5148616,-6.7791424,18.758646,27.406376,10.491653,6.8431139,47.969639,16.133205,9.9445782,-3.357811,35.624222
30.8,27,6.1202154,6.6510162,-6.9155364,19.155968,27.671673,10.740832,6.620028,48.723316,16.38987,10.162382,-3.5280325,36.307774
30.9,27,6.2481694,6.7847366,-7.0496697,19.546009,27.898952,10.988061,6.3627491,49.435158,16.632195,10.376857,-3.7060702,36.970459
31,27,6.3735437,6.9160695,-7.1817031,19.928791,28.087202,11.233395,6.0701523,50.104252,16.859795,10.588019,-3.8923433,37.611931
31.1,27,6.4962726,7.0450764,-7.3118238,20.304369,28.235416,11.476906,5.7410941,50.72974,17.072289,10.795905,-4.0872955,38.231873
31.2,27,6.6162896,7.1718326,-7.4402442,20.672823,28.342598,11.718676,5.3744154,51.310783,17.269304,11.000557,-4.2913914,38.829998
31.3,27,6.7335243,7.2964201,-7.5671964,21.034246,28.407719,11.958793,4.9689164,51.846519,17.450447,11.202026,-4.5051212,39.406013
31.4,27,6.847919,7.4189496,-7.692955,21.388792,28.429827,12.197371,4.5234184,52.336235,17.615364,11.400394,-4.7289987,39.959728
31.5,27,6.959403,7.5395317,-7.8178077,21.736614,28.407898,12.434525,4.0366788,52.779118,17.763668,11.595739,-4.9635639,40.490898
31.6,27,7.0679111,7.658298,-7.9420772,22.0779,28.340931,12.670379,3.5074456,53.174419,17.894979,11.788157,-5.2093849,40.999344
31.7,27,7.1733761,7.7753944,-8.0661173,22.41287,28.227924,12.905077,2.9344387,53.521412,18.008921,11.97776,-5.4670587,41.484901
31.8,27,7.2757287,7.8909817,-8.1903114,22.741768,28.067856,13.138767,2.3163452,53.819366,18.105104,12.16467,-5.7372122,41.947418
31.9,27,7.3749104,8.0052471,-8.3150864,23.064907,27.859768,13.37163,1.6518564,54.06768,18.183172,12.349041,-6.020503,42.386848
32,27,7.4708505,8.1183872,-8.440896,23.382597,27.60264,13.60384,.93960565,54.265675,18.242741,12.531029,-6.3176236,42.803104
32.1,27,7.5634804,8.2306147,-8.5682287,23.695189,27.29545,13.835588,.17819764,54.412704,18.283417,12.710803,-6.6292992,43.196133
32.2,27,7.6527438,8.3421783,-8.6976261,24.003113,26.937258,14.067101,-.63375425,54.508266,18.304857,12.888579,-6.9562926,43.56601
32.3,27,7.7385602,8.4533205,-8.8296432,24.306765,26.526976,14.298582,-1.4977318,54.551682,18.306641,13.064548,-7.2994032,43.912685
32.4,27,7.8208785,8.564333,-8.9649057,24.606663,26.06369,14.530295,-2.4151642,54.542545,18.288433,13.238967,-7.6594667,44.236332
32.5,27,7.8996181,8.6754999,-9.1040497,24.903286,25.546324,14.762472,-3.3875906,54.480236,18.249813,13.41207,-8.0373611,44.536987
32.6,27,7.97472,8.7871485,-9.2477751,25.197214,24.973909,14.995397,-4.4165282,54.364346,18.190426,13.584144,-8.4340057,44.814857
32.7,27,8.0461245,8.8996277,-9.3968258,25.489075,24.345488,15.229365,-5.503521,54.194496,18.109915,13.755495,-8.8503609,45.07019
32.8,27,8.1137514,9.0132856,-9.5519638,25.779467,23.659969,15.46466,-6.6502066,53.970146,18.007856,13.926424,-9.2874327,45.303146
32.9,27,8.1775494,9.1285219,-9.7140245,26.069122,22.916451,15.701621,-7.858161,53.691059,17.883921,14.097294,-9.7462673,45.514111
