temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high_ag,se_high,lowerci_high,upperci_high
-20,27,-72.940865,97.100876,-263.2551,117.37336,449.99982,972.42413,-1455.9165,2355.916
-19.9,27,-72.785675,96.894279,-262.69498,117.12363,449.04236,970.3551,-1452.8187,2350.9036
-19.8,27,-72.630478,96.687683,-262.13486,116.87389,448.08493,968.28613,-1449.7211,2345.8909
-19.7,27,-72.475288,96.481087,-261.57474,116.62417,447.12747,966.21716,-1446.6234,2340.8784
-19.6,27,-72.320099,96.27449,-261.01462,116.37444,446.17004,964.14819,-1443.5256,2335.8657
-19.5,27,-72.164902,96.067894,-260.4545,116.1247,445.21259,962.07916,-1440.428,2330.8533
-19.4,27,-72.009705,95.86129,-259.89438,115.87498,444.25513,960.01019,-1437.3303,2325.8406
-19.3,27,-71.854515,95.654694,-259.33426,115.62524,443.2977,957.94122,-1434.2325,2320.8279
-19.2,27,-71.699326,95.448097,-258.77417,115.37552,442.34024,955.87225,-1431.1349,2315.8154
-19.1,27,-71.544128,95.241501,-258.21405,115.12579,441.38281,953.80322,-1428.0372,2310.8027
-19,27,-71.388931,95.034904,-257.65393,114.87605,440.42535,951.73425,-1424.9395,2305.7903
-18.9,27,-71.233742,94.828308,-257.09381,114.62632,439.4679,949.66528,-1421.8418,2300.7776
-18.8,27,-71.078545,94.621704,-256.53369,114.37659,438.51047,947.59625,-1418.7441,2295.7649
-18.7,27,-70.923355,94.415115,-255.97357,114.12686,437.55301,945.52728,-1415.6465,2290.7524
-18.6,27,-70.768166,94.208511,-255.41345,113.87713,436.59558,943.45831,-1412.5487,2285.74
-18.5,27,-70.612968,94.001915,-254.85333,113.6274,435.63812,941.38934,-1409.451,2280.7273
-18.4,27,-70.457771,93.795319,-254.29321,113.37767,434.68066,939.32031,-1406.3533,2275.7146
-18.3,27,-70.302582,93.588715,-253.73309,113.12794,433.72324,937.25134,-1403.2556,2270.7021
-18.2,27,-70.147392,93.382126,-253.17299,112.87821,432.76578,935.18237,-1400.158,2265.6895
-18.1,27,-69.992195,93.175522,-252.61287,112.62848,431.80835,933.1134,-1397.0603,2260.677
-18,27,-69.836998,92.968925,-252.05275,112.37875,430.85089,931.04437,-1393.9625,2255.6643
-17.9,27,-69.681808,92.762329,-251.49263,112.12901,429.89343,928.9754,-1390.8649,2250.6516
-17.8,27,-69.526611,92.555733,-250.93251,111.87928,428.936,926.90637,-1387.7671,2245.6392
-17.7,27,-69.371422,92.349136,-250.37241,111.62955,427.97855,924.8374,-1384.6696,2240.6267
-17.6,27,-69.216232,92.14254,-249.81229,111.37982,427.02112,922.76843,-1381.5718,2235.614
-17.5,27,-69.061035,91.935936,-249.25217,111.1301,426.06366,920.69946,-1378.4741,2230.6013
-17.4,27,-68.905838,91.72934,-248.69205,110.88036,425.1062,918.63043,-1375.3763,2225.5889
-17.3,27,-68.750648,91.522743,-248.13193,110.63063,424.14877,916.56146,-1372.2787,2220.5762
-17.2,27,-68.595459,91.316147,-247.57182,110.38091,423.19131,914.49249,-1369.181,2215.5637
-17.1,27,-68.440262,91.10955,-247.0117,110.13117,422.23389,912.42352,-1366.0834,2210.551
