temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high_ag,se_high,lowerci_high,upperci_high
-17,27,-68.285065,90.902954,-246.45158,109.88144,421.27643,910.35449,-1362.9856,2205.5386
-16.9,27,-68.129875,90.69635,-245.89146,109.63171,420.31897,908.28552,-1359.8879,2200.5259
-16.8,27,-67.974678,90.489754,-245.33134,109.38198,419.36151,906.21649,-1356.7902,2195.5132
-16.7,27,-67.819489,90.283157,-244.77122,109.13225,418.40408,904.14758,-1353.6925,2190.5007
-16.6,27,-67.664299,90.076561,-244.21111,108.88252,417.44666,902.07855,-1350.5948,2185.488
-16.5,27,-67.509102,89.869965,-243.65099,108.63279,416.4892,900.00958,-1347.4972,2180.4756
-16.4,27,-67.353905,89.663361,-243.09087,108.38306,415.53174,897.94055,-1344.3994,2175.4629
-16.3,27,-67.198715,89.456764,-242.53075,108.13332,414.57428,895.87158,-1341.3018,2170.4502
-16.2,27,-67.043526,89.250168,-241.97064,107.8836,413.61685,893.80261,-1338.2041,2165.4377
-16.1,27,-66.888329,89.043571,-241.41052,107.63387,412.65942,891.73364,-1335.1063,2160.4253
-16,27,-66.733131,88.836975,-240.8504,107.38413,411.70197,889.66461,-1332.0087,2155.4126
-15.9,27,-66.577942,88.630379,-240.29028,107.13441,410.74451,887.59564,-1328.911,2150.3999
-15.8,27,-66.422745,88.423782,-239.73018,106.88467,409.78708,885.52667,-1325.8132,2145.3875
-15.7,27,-66.267555,88.217178,-239.17006,106.63494,408.82962,883.45764,-1322.7156,2140.3748
-15.6,27,-66.112366,88.010582,-238.60994,106.38522,407.87219,881.38867,-1319.6179,2135.3623
-15.5,27,-65.957169,87.803986,-238.04982,106.13548,406.91473,879.3197,-1316.5201,2130.3496
-15.4,27,-65.801971,87.597389,-237.4897,105.88575,405.95728,877.25067,-1313.4225,2125.3372
-15.3,27,-65.646782,87.390793,-236.92958,105.63602,404.99985,875.1817,-1310.3248,2120.3245
-15.2,27,-65.491585,87.184196,-236.36946,105.38629,404.04239,873.11273,-1307.2271,2115.3118
-15.1,27,-65.336395,86.9776,-235.80936,105.13656,403.08496,871.04376,-1304.1294,2110.2993
-15,27,-65.181198,86.770996,-235.24924,104.88683,402.1275,868.97473,-1301.0317,2105.2866
-14.9,27,-65.026009,86.5644,-234.68912,104.6371,401.17004,866.90576,-1297.934,2100.2742
-14.8,27,-64.870811,86.357803,-234.129,104.38737,400.21262,864.83679,-1294.8363,2095.2615
-14.7,27,-64.715622,86.151207,-233.56888,104.13764,399.25516,862.76776,-1291.7386,2090.249
-14.6,27,-64.560432,85.944611,-233.00877,103.88791,398.29773,860.69879,-1288.641,2085.2363
-14.5,27,-64.405235,85.738007,-232.44865,103.63818,397.34027,858.62982,-1285.5432,2080.2239
-14.4,27,-64.250038,85.53141,-231.88853,103.38844,396.38281,856.56079,-1282.4456,2075.2112
-14.3,27,-64.094849,85.324814,-231.32841,103.13872,395.42538,854.49182,-1279.3479,2070.1987
-14.2,27,-63.939655,85.118217,-230.7683,102.88898,394.46793,852.42285,-1276.2501,2065.186
-14.1,27,-63.784462,84.911621,-230.20818,102.63926,393.5105,850.35388,-1273.1525,2060.1733
-14,27,-63.629269,84.705025,-229.64806,102.38953,392.55304,848.28485,-1270.0548,2055.1609
-13.9,27,-63.474075,84.498421,-229.08794,102.13979,391.59558,846.21588,-1266.957,2050.1482
-13.8,27,-63.318882,84.291824,-228.52783,101.89006,390.63815,844.14691,-1263.8594,2045.1356
-13.7,27,-63.163689,84.085228,-227.96771,101.64034,389.68069,842.07788,-1260.7617,2040.123
-13.6,27,-63.008495,83.878632,-227.40759,101.3906,388.72327,840.00891,-1257.6641,2035.1105
-13.5,27,-62.853302,83.672035,-226.84747,101.14087,387.76581,837.93994,-1254.5663,2030.0979
-13.4,27,-62.698109,83.465439,-226.28735,100.89114,386.80835,835.87097,-1251.4686,2025.0853
-13.3,27,-62.542915,83.258842,-225.72723,100.64141,385.85092,833.80194,-1248.371,2020.0728
-13.2,27,-62.387722,83.052238,-225.16713,100.39168,384.89346,831.73297,-1245.2732,2015.0602
-13.1,27,-62.232529,82.845642,-224.60701,100.14195,383.936,829.664,-1242.1755,2010.0476
-13,27,-62.077335,82.639046,-224.04689,99.89222,382.97858,827.59503,-1239.0779,2005.0349
-12.9,27,-61.922142,82.432449,-223.48677,99.642487,382.02112,825.526,-1235.9801,2000.0223
-12.8,27,-61.766949,82.225853,-222.92665,99.392761,381.06369,823.45703,-1232.8824,1995.0098
-12.7,27,-61.611755,82.019257,-222.36653,99.143028,380.10623,821.38806,-1229.7848,1989.9972
-12.6,27,-61.456562,81.812653,-221.80643,98.893295,379.14877,819.31903,-1226.687,1984.9846
-12.5,27,-61.301369,81.606056,-221.24631,98.64357,378.19135,817.25006,-1223.5894,1979.972
-12.4,27,-61.146175,81.39946,-220.68619,98.393837,377.23389,815.18109,-1220.4917,1974.9595
-12.3,27,-60.990982,81.192863,-220.12607,98.144104,376.27646,813.11212,-1217.3939,1969.9469
-12.2,27,-60.835789,80.986267,-219.56595,97.894371,375.319,811.04309,-1214.2963,1964.9342
-12.1,27,-60.680595,80.779671,-219.00583,97.644646,374.36154,808.97412,-1211.1986,1959.9218
-12,27,-60.525402,80.573067,-218.44571,97.394913,373.40411,806.90515,-1208.1008,1954.9091
-11.9,27,-60.370209,80.36647,-217.88559,97.14518,372.44666,804.83612,-1205.0032,1949.8965
-11.8,27,-60.215015,80.159874,-217.32549,96.895454,371.48923,802.76715,-1201.9055,1944.8839
-11.7,27,-60.059822,79.953278,-216.76537,96.645721,370.53177,800.69818,-1198.8077,1939.8713
-11.6,27,-59.904629,79.746681,-216.20525,96.395996,369.57431,798.62921,-1195.7101,1934.8588
-11.5,27,-59.749435,79.540085,-215.64513,96.146263,368.61688,796.56018,-1192.6124,1929.8462
-11.4,27,-59.594242,79.333481,-215.08501,95.89653,367.65942,794.49121,-1189.5146,1924.8335
-11.3,27,-59.439049,79.126884,-214.5249,95.646797,366.702,792.42224,-1186.417,1919.821
-11.2,27,-59.283855,78.920288,-213.96478,95.397072,365.74454,790.35321,-1183.3193,1914.8083
-11.1,27,-59.128662,78.713692,-213.40466,95.147339,364.78708,788.28424,-1180.2217,1909.7958
-11,27,-58.973469,78.507095,-212.84454,94.897606,363.82965,786.21527,-1177.1239,1904.7832
-10.9,27,-58.818275,78.300499,-212.28442,94.647881,362.87219,784.14624,-1174.0262,1899.7706
-10.8,27,-58.663082,78.093903,-211.7243,94.398148,361.91476,782.07727,-1170.9286,1894.7581
-10.7,27,-58.507889,77.887299,-211.16418,94.148415,360.95731,780.0083,-1167.8308,1889.7455
-10.6,27,-58.352695,77.680702,-210.60408,93.898689,359.99985,777.93933,-1164.7332,1884.7329
-10.5,27,-58.197502,77.474106,-210.04396,93.648956,359.04242,775.8703,-1161.6355,1879.7203
-10.4,27,-58.042309,77.267509,-209.48384,93.399223,358.08496,773.80133,-1158.5377,1874.7076
-10.3,27,-57.887115,77.060913,-208.92372,93.149498,357.12753,771.73236,-1155.4401,1869.6951
-10.2,27,-57.731922,76.854309,-208.3636,92.899765,356.17007,769.66333,-1152.3424,1864.6825
-10.1,27,-57.576729,76.647713,-207.8035,92.650032,355.21262,767.59436,-1149.2448,1859.6699
-10,27,-57.421535,76.441116,-207.24338,92.400299,354.25519,765.52539,-1146.147,1854.6573
-9.9,27,-57.266342,76.23452,-206.68326,92.150574,353.29773,763.45636,-1143.0493,1849.6448
-9.800000000000001,27,-57.111149,76.027924,-206.12314,91.900841,352.34027,761.38739,-1139.9517,1844.6322
-9.699999999999999,27,-56.955956,75.821327,-205.56302,91.651108,351.38284,759.31842,-1136.8539,1839.6196
-9.6,27,-56.800762,75.614731,-205.0029,91.401382,350.42538,757.24945,-1133.7562,1834.6071
-9.5,27,-56.645569,75.408127,-204.44278,91.151649,349.46796,755.18042,-1130.6586,1829.5944
-9.4,27,-56.490376,75.20153,-203.88266,90.901917,348.5105,753.11145,-1127.5608,1824.5818
-9.300000000000001,27,-56.335182,74.994934,-203.32256,90.652191,347.55304,751.04248,-1124.4631,1819.5692
-9.199999999999999,27,-56.179989,74.788338,-202.76244,90.402458,346.59561,748.97345,-1121.3655,1814.5566
-9.1,27,-56.024796,74.581741,-202.20232,90.152725,345.63815,746.90448,-1118.2677,1809.5441
-9,27,-55.869602,74.375145,-201.6422,89.903,344.68073,744.83551,-1115.17,1804.5315
-8.9,27,-55.714409,74.168541,-201.08208,89.653267,343.72327,742.76648,-1112.0724,1799.5189
-8.800000000000001,27,-55.559216,73.961945,-200.52197,89.403534,342.76581,740.69751,-1108.9746,1794.5063
-8.699999999999999,27,-55.404022,73.755348,-199.96185,89.153809,341.80838,738.62854,-1105.877,1789.4937
-8.6,27,-55.248829,73.548752,-199.40173,88.904076,340.85092,736.55957,-1102.7793,1784.4812
-8.5,27,-55.093636,73.342155,-198.84161,88.654343,339.89349,734.49054,-1099.6815,1779.4685
-8.4,27,-54.938442,73.135551,-198.28149,88.40461,338.93604,732.42157,-1096.5839,1774.4559
-8.300000000000001,27,-54.783249,72.928955,-197.72137,88.154884,337.97858,730.3526,-1093.4862,1769.4434
-8.199999999999999,27,-54.628056,72.722359,-197.16125,87.905151,337.02115,728.28357,-1090.3884,1764.4308
-8.1,27,-54.472862,72.515762,-196.60115,87.655426,336.06369,726.2146,-1087.2908,1759.4182
-8,27,-54.317669,72.309166,-196.04103,87.405693,335.10626,724.14563,-1084.1931,1754.4056
-7.9,27,-54.162476,72.10257,-195.48091,87.15596,334.1488,722.07666,-1081.0955,1749.3931
-7.8,27,-54.007282,71.895973,-194.92079,86.906235,333.19135,720.00763,-1077.9977,1744.3805
-7.7,27,-53.852089,71.689369,-194.36067,86.656502,332.23392,717.93866,-1074.9,1739.3678
-7.6,27,-53.696896,71.482773,-193.80055,86.406769,331.27646,715.86969,-1071.8024,1734.3552
-7.5,27,-53.541702,71.276176,-193.24045,86.157036,330.31903,713.80072,-1068.7046,1729.3427
-7.4,27,-53.386509,71.06958,-192.68033,85.90731,329.36157,711.73169,-1065.6069,1724.3301
-7.3,27,-53.231316,70.862984,-192.12021,85.657578,328.40411,709.66272,-1062.5093,1719.3175
-7.2,27,-53.076122,70.656387,-191.56009,85.407845,327.44669,707.59375,-1059.4115,1714.3049
-7.1,27,-52.920929,70.449783,-190.99997,85.158119,326.48923,705.52472,-1056.3138,1709.2924
-7,27,-52.765736,70.243187,-190.43985,84.908386,325.5318,703.45575,-1053.2162,1704.2797
-6.9,27,-52.610542,70.036591,-189.87975,84.658653,324.57434,701.38678,-1050.1184,1699.2671
-6.8,27,-52.455349,69.829994,-189.31963,84.408928,323.61688,699.31781,-1047.0208,1694.2545
-6.7,27,-52.300156,69.623398,-188.75951,84.159195,322.65945,697.24878,-1043.9231,1689.2419
-6.6,27,-52.144962,69.416801,-188.19939,83.909462,321.702,695.17981,-1040.8253,1684.2294
-6.5,27,-51.989769,69.210197,-187.63927,83.659737,320.74454,693.11084,-1037.7277,1679.2168
-6.4,27,-51.834576,69.003601,-187.07915,83.410004,319.78711,691.04181,-1034.63,1674.2042
-6.3,27,-51.679382,68.797005,-186.51904,83.160271,318.82965,688.97284,-1031.5323,1669.1917
-6.2,27,-51.524189,68.590408,-185.95892,82.910538,317.87222,686.90387,-1028.4346,1664.179
-6.1,27,-51.368996,68.383812,-185.3988,82.660812,316.91476,684.83484,-1025.3369,1659.1664
-6,27,-51.213802,68.177216,-184.83868,82.411079,315.95731,682.76587,-1022.2392,1654.1538
-5.9,27,-51.058609,67.970619,-184.27856,82.161354,314.99988,680.6969,-1019.1415,1649.1412
-5.8,27,-50.903416,67.764015,-183.71844,81.911621,314.04242,678.62793,-1016.0438,1644.1287
-5.7,27,-50.748222,67.557419,-183.15833,81.661888,313.08499,676.5589,-1012.9461,1639.1161
-5.6,27,-50.593029,67.350822,-182.59822,81.412155,312.12753,674.48993,-1009.8484,1634.1035
-5.5,27,-50.437836,67.144226,-182.0381,81.16243,311.17007,672.42096,-1006.7507,1629.0909
-5.4,27,-50.282642,66.93763,-181.47798,80.912697,310.21265,670.35193,-1003.653,1624.0784
-5.3,27,-50.127449,66.731033,-180.91786,80.662964,309.25519,668.28296,-1000.5554,1619.0658
-5.2,27,-49.972256,66.524429,-180.35774,80.413239,308.29776,666.21399,-997.45764,1614.0531
-5.1,27,-49.817062,66.317833,-179.79762,80.163506,307.3403,664.14496,-994.35999,1609.0405
-5,27,-49.661869,66.111237,-179.23752,79.913773,306.38284,662.07599,-991.26227,1604.028
-4.9,27,-49.506676,65.90464,-178.6774,79.664047,305.42542,660.00702,-988.16455,1599.0154
-4.8,27,-49.351482,65.698044,-178.11728,79.414314,304.46796,657.93805,-985.06689,1594.0028
-4.7,27,-49.196289,65.49144,-177.55716,79.164581,303.51053,655.86902,-981.96918,1588.9902
-4.6,27,-49.041096,65.284843,-176.99704,78.914856,302.55307,653.80005,-978.87146,1583.9777
-4.5,27,-48.885902,65.078247,-176.43692,78.665123,301.59561,651.73108,-975.7738,1578.9651
-4.4,27,-48.730709,64.871651,-175.87682,78.41539,300.63818,649.66211,-972.67609,1573.9525
-4.3,27,-48.575516,64.665054,-175.3167,78.165665,299.68073,647.59308,-969.57843,1568.9398
-4.2,27,-48.420322,64.458458,-174.75658,77.915932,298.7233,645.52411,-966.48071,1563.9272
-4.1,27,-48.265129,64.251862,-174.19646,77.666199,297.76584,643.45514,-963.383,1558.9147
-4,27,-48.109936,64.045258,-173.63634,77.416473,296.80838,641.38611,-960.28534,1553.9021
-3.9,27,-47.954742,63.838665,-173.07622,77.16674,295.85095,639.31714,-957.18762,1548.8895
-3.8,27,-47.799549,63.632065,-172.5161,76.917007,294.89349,637.24817,-954.0899,1543.877
-3.7,27,-47.644356,63.425468,-171.95599,76.667282,293.93607,635.17914,-950.99225,1538.8644
-3.6,27,-47.489162,63.218868,-171.39587,76.417549,292.97861,633.11017,-947.89453,1533.8518
-3.5,27,-47.333969,63.012272,-170.83575,76.167816,292.02115,631.0412,-944.79688,1528.8391
-3.4,27,-47.178776,62.805676,-170.27563,75.918083,291.06372,628.97223,-941.69916,1523.8265
-3.3,27,-47.023582,62.599079,-169.71552,75.668358,290.10626,626.9032,-938.60144,1518.814
-3.2,27,-46.868389,62.392479,-169.1554,75.418625,289.14883,624.83423,-935.50378,1513.8014
-3.1,27,-46.713196,62.185883,-168.59528,75.168892,288.19138,622.76526,-932.40607,1508.7888
-3,27,-46.558002,61.979286,-168.03517,74.919167,287.23392,620.69623,-929.30835,1503.7762
-2.9,27,-46.402809,61.772686,-167.47505,74.669434,286.27649,618.62726,-926.21069,1498.7637
-2.8,27,-46.247616,61.56609,-166.91493,74.419701,285.31903,616.55829,-923.11298,1493.7511
-2.7,27,-46.092422,61.359493,-166.35481,74.169975,284.3616,614.48932,-920.01532,1488.7385
-2.6,27,-45.937229,61.152893,-165.79469,73.920242,283.40414,612.42029,-916.9176,1483.7258
-2.5,27,-45.782036,60.946297,-165.23457,73.670509,282.44669,610.35132,-913.81989,1478.7133
-2.4,27,-45.626842,60.7397,-164.67447,73.420784,281.48926,608.28235,-910.72223,1473.7007
-2.3,27,-45.471649,60.5331,-164.11435,73.171051,280.5318,606.21332,-907.62451,1468.6881
-2.2,27,-45.316456,60.326504,-163.55423,72.921318,279.57437,604.14435,-904.52679,1463.6755
-2.1,27,-45.161263,60.119907,-162.99411,72.671593,278.61691,602.07538,-901.42914,1458.663
-2,27,-45.006069,59.913307,-162.43399,72.42186,277.65945,600.00635,-898.33142,1453.6504
-1.9,27,-44.850876,59.706711,-161.87387,72.172127,276.70203,597.93738,-895.2337,1448.6378
-1.8,27,-44.695683,59.500114,-161.31377,71.922401,275.74457,595.86841,-892.13605,1443.6251
-1.7,27,-44.540489,59.293514,-160.75365,71.672668,274.78711,593.79944,-889.03833,1438.6125
-1.6,27,-44.385296,59.086918,-160.19353,71.422935,273.82968,591.73041,-885.94067,1433.6
-1.5,27,-44.230103,58.880322,-159.63341,71.173203,272.87222,589.66144,-882.84296,1428.5874
-1.4,27,-44.074909,58.673721,-159.07329,70.923477,271.91479,587.59247,-879.74524,1423.5748
-1.3,27,-43.919716,58.467125,-158.51317,70.673744,270.95734,585.52344,-876.64758,1418.5623
-1.2,27,-43.764523,58.260529,-157.95306,70.424011,269.99988,583.45447,-873.54987,1413.5497
-1.1,27,-43.609329,58.053928,-157.39294,70.174286,269.04245,581.3855,-870.45215,1408.5371
-1,27,-43.454136,57.847332,-156.83282,69.924553,268.08499,579.31653,-867.35449,1403.5245
-.9,27,-43.298943,57.640736,-156.27271,69.67482,267.12756,577.2475,-864.25677,1398.5118
-.8,27,-43.143749,57.434135,-155.71259,69.425095,266.1701,575.17853,-861.15912,1393.4993
-.7,27,-42.988556,57.227539,-155.15247,69.175362,265.21265,573.10956,-858.0614,1388.4867
-.6,27,-42.833363,57.020943,-154.59235,68.925629,264.25522,571.04053,-854.96368,1383.4741
-.5,27,-42.678169,56.814342,-154.03224,68.675903,263.29776,568.97156,-851.86603,1378.4615
-.4,27,-42.522976,56.607746,-153.47212,68.42617,262.34033,566.90259,-848.76831,1373.449
-.3,27,-42.367783,56.40115,-152.912,68.176437,261.38287,564.83362,-845.67059,1368.4364
-.2,27,-42.212589,56.19455,-152.35188,67.926712,260.42542,562.76459,-842.57294,1363.4238
-.1,27,-42.057396,55.987953,-151.79176,67.676979,259.46799,560.69562,-839.47522,1358.4111
0,27,-41.902203,55.781357,-151.23164,67.427246,258.51053,558.62665,-836.37756,1353.3986
.1,27,-41.747009,55.574757,-150.67154,67.177521,257.5531,556.55762,-833.27985,1348.386
.2,27,-41.591816,55.36816,-150.11142,66.927788,256.59564,554.48865,-830.18213,1343.3734
.3,27,-41.436623,55.161564,-149.5513,66.678055,255.6382,552.41968,-827.08447,1338.3608
.4,27,-41.281429,54.954967,-148.99118,66.428329,254.68076,550.35065,-823.98676,1333.3483
.5,27,-41.126236,54.748367,-148.43106,66.178596,253.7233,548.28168,-820.88904,1328.3357
.6,27,-40.971043,54.541771,-147.87094,65.928864,252.76585,546.21271,-817.79138,1323.3231
.7,27,-40.815849,54.335175,-147.31084,65.679131,251.80841,544.14374,-814.69366,1318.3105
.8,27,-40.660656,54.128574,-146.75072,65.429405,250.85097,542.07471,-811.59601,1313.2979
.9,27,-40.505463,53.921978,-146.1906,65.179672,249.89352,540.00574,-808.49829,1308.2853
1,27,-40.350269,53.715382,-145.63048,64.929939,248.93607,537.93677,-805.40057,1303.2727
1.1,27,-40.195076,53.508781,-145.07036,64.680214,247.97862,535.86774,-802.30292,1298.2601
1.2,27,-40.039883,53.302185,-144.51024,64.430481,247.02118,533.79877,-799.2052,1293.2476
1.3,27,-39.884689,53.095589,-143.95012,64.180748,246.06374,531.7298,-796.10748,1288.235
1.4,27,-39.729496,52.888988,-143.39001,63.931019,245.10628,529.66083,-793.00983,1283.2224
1.5,27,-39.574303,52.682392,-142.8299,63.68129,244.14883,527.5918,-789.91211,1278.2098
1.6,27,-39.419109,52.475796,-142.26978,63.431561,243.19139,525.52283,-786.81439,1273.1971
1.7,27,-39.263916,52.269196,-141.70966,63.181828,242.23395,523.45386,-783.71674,1268.1846
1.8,27,-39.108723,52.062599,-141.14954,62.932098,241.2765,521.38483,-780.61902,1263.172
1.9,27,-38.953529,51.856003,-140.58942,62.682369,240.31905,519.31586,-777.52136,1258.1594
2,27,-38.798336,51.649403,-140.02931,62.432636,239.3616,517.24689,-774.42365,1253.1469
2.1,27,-38.643143,51.442806,-139.46919,62.182907,238.40416,515.17792,-771.32593,1248.1343
2.2,27,-38.487949,51.23621,-138.90907,61.933174,237.44672,513.10889,-768.22827,1243.1217
2.3,27,-38.332756,51.02961,-138.34895,61.683445,236.48927,511.03992,-765.13055,1238.1091
2.4,27,-38.177559,50.823013,-137.78883,61.433716,235.53181,508.97092,-762.03284,1233.0966
2.5,27,-38.022369,50.616417,-137.22871,61.183983,234.57437,506.90195,-758.93518,1228.0839
2.6,27,-37.867176,50.409817,-136.66861,60.934254,233.61693,504.83295,-755.83746,1223.0713
2.7,27,-37.711979,50.20322,-136.10849,60.684525,232.65948,502.76398,-752.73981,1218.0587
2.8,27,-37.556789,49.996624,-135.54837,60.434792,231.70204,500.69498,-749.64209,1213.0461
2.9,27,-37.401592,49.790024,-134.98825,60.185062,230.74458,498.62598,-746.54437,1208.0336
3,27,-37.246403,49.583427,-134.42813,59.935333,229.78714,496.55701,-743.44672,1203.021
3.1,27,-37.091209,49.376831,-133.86801,59.6856,228.8297,494.48801,-740.349,1198.0084
3.2,27,-36.936012,49.170231,-133.30789,59.435871,227.87225,492.41904,-737.25128,1192.9958
3.3,27,-36.780823,48.963634,-132.74779,59.186138,226.91481,490.35004,-734.15363,1187.9833
3.4,27,-36.625626,48.757038,-132.18767,58.936409,225.95735,488.28104,-731.05591,1182.9706
3.5,27,-36.470432,48.550438,-131.62755,58.68668,224.99991,486.21207,-727.95825,1177.958
3.6,27,-36.315243,48.343842,-131.06743,58.436947,224.04247,484.14307,-724.86053,1172.9454
3.7,27,-36.160046,48.137245,-130.50731,58.187218,223.08502,482.0741,-721.76282,1167.9329
3.8,27,-36.004856,47.930645,-129.94719,57.937489,222.12756,480.0051,-718.66516,1162.9203
3.9,27,-35.849659,47.724049,-129.38708,57.687756,221.17012,477.93613,-715.56744,1157.9077
4,27,-35.694466,47.517452,-128.82697,57.438026,220.21268,475.86713,-712.46973,1152.8951
4.1,27,-35.539276,47.310856,-128.26685,57.188297,219.25523,473.79813,-709.37207,1147.8826
4.2,27,-35.384083,47.104256,-127.70673,56.938564,218.29779,471.72916,-706.27435,1142.87
4.3,27,-35.228886,46.897659,-127.14661,56.688835,217.34033,469.66016,-703.17664,1137.8573
4.4,27,-35.073692,46.691059,-126.58649,56.439102,216.38289,467.59119,-700.07898,1132.8447
4.5,27,-34.918499,46.484463,-126.02637,56.189373,215.42545,465.52219,-696.98126,1127.8322
4.6,27,-34.763309,46.277866,-125.46626,55.939644,214.468,463.45322,-693.88361,1122.8196
4.7,27,-34.608116,46.07127,-124.90614,55.689911,213.51056,461.38422,-690.78589,1117.807
4.8,27,-34.452919,45.86467,-124.34602,55.440182,212.5531,459.31522,-687.68817,1112.7944
4.9,27,-34.297726,45.658073,-123.7859,55.190453,211.59566,457.24625,-684.59052,1107.7819
5,27,-34.142532,45.451477,-123.22579,54.94072,210.63821,455.17725,-681.4928,1102.7693
5.1,27,-33.987339,45.244877,-122.66567,54.69099,209.68077,453.10828,-678.39514,1097.7566
5.2,27,-33.83215,45.03828,-122.10555,54.441261,208.72333,451.03928,-675.29742,1092.744
5.3,27,-33.676952,44.83168,-121.54543,54.191528,207.76587,448.97028,-672.19971,1087.7314
5.4,27,-33.521759,44.625084,-120.98532,53.941799,206.80843,446.90131,-669.10205,1082.7189
5.5,27,-33.366566,44.418488,-120.4252,53.692066,205.85098,444.83231,-666.00433,1077.7063
5.6,27,-33.211372,44.211891,-119.86509,53.442337,204.89354,442.76334,-662.90662,1072.6937
5.7,27,-33.056183,44.005291,-119.30497,53.192608,203.9361,440.69434,-659.80896,1067.6812
5.8,27,-32.900986,43.798695,-118.74485,52.942875,202.97864,438.62534,-656.71124,1062.6686
5.9,27,-32.745792,43.592098,-118.18473,52.693146,202.02119,436.55637,-653.61353,1057.6559
6,27,-32.590599,43.385498,-117.62462,52.443417,201.06375,434.48737,-650.51587,1052.6433
6.1,27,-32.435406,43.178902,-117.0645,52.193684,200.10631,432.4184,-647.41815,1047.6307
6.2,27,-32.280216,42.972305,-116.50439,51.943954,199.14886,430.3494,-644.3205,1042.6182
6.3,27,-32.125019,42.765705,-115.94427,51.694221,198.19141,428.2804,-641.22278,1037.6056
6.4,27,-31.969828,42.559109,-115.38415,51.444492,197.23396,426.21143,-638.12506,1032.593
6.5,27,-31.814634,42.352512,-114.82403,51.194763,196.27652,424.14243,-635.0274,1027.5804
6.6,27,-31.659441,42.145912,-114.26392,50.94503,195.31908,422.07346,-631.92969,1022.5678
6.7,27,-31.504248,41.939316,-113.7038,50.695301,194.36163,420.00446,-628.83203,1017.5552
6.8,27,-31.349054,41.732719,-113.14368,50.445572,193.40417,417.93549,-625.73431,1012.5427
6.9,27,-31.193861,41.526119,-112.58356,50.195839,192.44673,415.86649,-622.6366,1007.5301
7,27,-31.038668,41.319523,-112.02345,49.94611,191.48929,413.79752,-619.53894,1002.5175
7.1,27,-30.883474,41.112926,-111.46333,49.696381,190.53185,411.72852,-616.44122,997.50488
