temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_hr_ag,se_hr_ag,lowerci_hr_ag,upperci_hr_ag,yhat_hr_noag,se_hr_noag,lowerci_hr_noag,upperci_hr_noag
-20,27,-7.9529777,0,-7.9529777,-7.9529777,-175.73338,0,-175.73338,-175.73338,-249.83139,0,-249.83139,-249.83139
-19.9,27,-7.9360566,0,-7.9360566,-7.9360566,-175.35948,0,-175.35948,-175.35948,-249.29984,0,-249.29984,-249.29984
-19.8,27,-7.9191351,0,-7.9191351,-7.9191351,-174.98557,0,-174.98557,-174.98557,-248.76828,0,-248.76828,-248.76828
-19.7,27,-7.9022145,0,-7.9022145,-7.9022145,-174.61168,0,-174.61168,-174.61168,-248.23672,0,-248.23672,-248.23672
-19.6,27,-7.885293,0,-7.885293,-7.885293,-174.23778,0,-174.23778,-174.23778,-247.70517,0,-247.70517,-247.70517
-19.5,27,-7.868372,0,-7.868372,-7.868372,-173.86388,0,-173.86388,-173.86388,-247.17361,0,-247.17361,-247.17361
-19.4,27,-7.8514504,0,-7.8514504,-7.8514504,-173.48997,0,-173.48997,-173.48997,-246.64204,0,-246.64204,-246.64204
-19.3,27,-7.8345289,0,-7.8345289,-7.8345289,-173.11607,0,-173.11607,-173.11607,-246.11049,0,-246.11049,-246.11049
-19.2,27,-7.8176084,0,-7.8176084,-7.8176084,-172.74217,0,-172.74217,-172.74217,-245.57895,0,-245.57895,-245.57895
-19.1,27,-7.8006868,0,-7.8006868,-7.8006868,-172.36827,0,-172.36827,-172.36827,-245.04739,0,-245.04739,-245.04739
-19,27,-7.7837658,0,-7.7837658,-7.7837658,-171.99437,0,-171.99437,-171.99437,-244.51582,0,-244.51582,-244.51582
-18.9,27,-7.7668443,0,-7.7668443,-7.7668443,-171.62047,0,-171.62047,-171.62047,-243.98427,0,-243.98427,-243.98427
-18.8,27,-7.7499232,0,-7.7499232,-7.7499232,-171.24657,0,-171.24657,-171.24657,-243.45271,0,-243.45271,-243.45271
-18.7,27,-7.7330022,0,-7.7330022,-7.7330022,-170.87267,0,-170.87267,-170.87267,-242.92116,0,-242.92116,-242.92116
-18.6,27,-7.7160807,0,-7.7160807,-7.7160807,-170.49876,0,-170.49876,-170.49876,-242.3896,0,-242.3896,-242.3896
-18.5,27,-7.6991596,0,-7.6991596,-7.6991596,-170.12486,0,-170.12486,-170.12486,-241.85805,0,-241.85805,-241.85805
-18.4,27,-7.6822381,0,-7.6822381,-7.6822381,-169.75096,0,-169.75096,-169.75096,-241.32649,0,-241.32649,-241.32649
-18.3,27,-7.6653171,0,-7.6653171,-7.6653171,-169.37706,0,-169.37706,-169.37706,-240.79494,0,-240.79494,-240.79494
-18.2,27,-7.648396,0,-7.648396,-7.648396,-169.00316,0,-169.00316,-169.00316,-240.26338,0,-240.26338,-240.26338
-18.1,27,-7.6314745,0,-7.6314745,-7.6314745,-168.62926,0,-168.62926,-168.62926,-239.73183,0,-239.73183,-239.73183
-18,27,-7.6145535,0,-7.6145535,-7.6145535,-168.25536,0,-168.25536,-168.25536,-239.20027,0,-239.20027,-239.20027
-17.9,27,-7.5976319,0,-7.5976319,-7.5976319,-167.88145,0,-167.88145,-167.88145,-238.6687,0,-238.6687,-238.6687
-17.8,27,-7.5807109,0,-7.5807109,-7.5807109,-167.50755,0,-167.50755,-167.50755,-238.13715,0,-238.13715,-238.13715
-17.7,27,-7.5637898,0,-7.5637898,-7.5637898,-167.13367,0,-167.13367,-167.13367,-237.60561,0,-237.60561,-237.60561
-17.6,27,-7.5468683,0,-7.5468683,-7.5468683,-166.75977,0,-166.75977,-166.75977,-237.07405,0,-237.07405,-237.07405
-17.5,27,-7.5299473,0,-7.5299473,-7.5299473,-166.38585,0,-166.38585,-166.38585,-236.54248,0,-236.54248,-236.54248
-17.4,27,-7.5130258,0,-7.5130258,-7.5130258,-166.01195,0,-166.01195,-166.01195,-236.01093,0,-236.01093,-236.01093
-17.3,27,-7.4961047,0,-7.4961047,-7.4961047,-165.63805,0,-165.63805,-165.63805,-235.47937,0,-235.47937,-235.47937
-17.2,27,-7.4791837,0,-7.4791837,-7.4791837,-165.26416,0,-165.26416,-165.26416,-234.94781,0,-234.94781,-234.94781
-17.1,27,-7.4622622,0,-7.4622622,-7.4622622,-164.89026,0,-164.89026,-164.89026,-234.41626,0,-234.41626,-234.41626
-17,27,-7.4453411,0,-7.4453411,-7.4453411,-164.51636,0,-164.51636,-164.51636,-233.8847,0,-233.8847,-233.8847
-16.9,27,-7.4284196,0,-7.4284196,-7.4284196,-164.14246,0,-164.14246,-164.14246,-233.35315,0,-233.35315,-233.35315
-16.8,27,-7.4114985,0,-7.4114985,-7.4114985,-163.76855,0,-163.76855,-163.76855,-232.82159,0,-232.82159,-232.82159
-16.7,27,-7.3945775,0,-7.3945775,-7.3945775,-163.39465,0,-163.39465,-163.39465,-232.29004,0,-232.29004,-232.29004
-16.6,27,-7.377656,0,-7.377656,-7.377656,-163.02075,0,-163.02075,-163.02075,-231.75848,0,-231.75848,-231.75848
-16.5,27,-7.3607349,0,-7.3607349,-7.3607349,-162.64685,0,-162.64685,-162.64685,-231.22693,0,-231.22693,-231.22693
-16.4,27,-7.3438134,0,-7.3438134,-7.3438134,-162.27295,0,-162.27295,-162.27295,-230.69537,0,-230.69537,-230.69537
-16.3,27,-7.3268924,0,-7.3268924,-7.3268924,-161.89905,0,-161.89905,-161.89905,-230.1638,0,-230.1638,-230.1638
-16.2,27,-7.3099713,0,-7.3099713,-7.3099713,-161.52515,0,-161.52515,-161.52515,-229.63226,0,-229.63226,-229.63226
-16.1,27,-7.2930498,0,-7.2930498,-7.2930498,-161.15125,0,-161.15125,-161.15125,-229.10071,0,-229.10071,-229.10071
-16,27,-7.2761288,0,-7.2761288,-7.2761288,-160.77734,0,-160.77734,-160.77734,-228.56914,0,-228.56914,-228.56914
-15.9,27,-7.2592072,0,-7.2592072,-7.2592072,-160.40344,0,-160.40344,-160.40344,-228.03758,0,-228.03758,-228.03758
-15.8,27,-7.2422862,0,-7.2422862,-7.2422862,-160.02954,0,-160.02954,-160.02954,-227.50603,0,-227.50603,-227.50603
-15.7,27,-7.2253652,0,-7.2253652,-7.2253652,-159.65564,0,-159.65564,-159.65564,-226.97447,0,-226.97447,-226.97447
-15.6,27,-7.2084436,0,-7.2084436,-7.2084436,-159.28174,0,-159.28174,-159.28174,-226.44292,0,-226.44292,-226.44292
-15.5,27,-7.1915226,0,-7.1915226,-7.1915226,-158.90784,0,-158.90784,-158.90784,-225.91136,0,-225.91136,-225.91136
