year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax,ssp,global_consumption,ratio
2018,"ss","value",0,.1126489,-.2646588,.1313385,.5439752,"SSP2",1.214e+14,
2019,"ss","value",0,.1065696,-.2383329,.1356659,.5908411,"SSP2",1.268e+14,
2020,"ss","value",0,.1207861,-.2314207,.1499573,.6357951,"SSP2",1.326e+14,
2021,"ss","value",0,.1121775,-.1513197,.1627564,.6857845,"SSP2",1.377e+14,
2022,"ss","value",0,.1556572,-.2020277,.185022,.7193935,"SSP2",1.431e+14,
2023,"ss","value",0,.1772416,-.1996577,.2035401,.7588283,"SSP2",1.487e+14,
2024,"ss","value",0,.1929522,-.1772859,.2167926,.8046947,"SSP2",1.546e+14,
2025,"ss","value",0,.1754201,-.114816,.2303988,.8440318,"SSP2",1.608e+14,
2026,"ss","value",0,.1921601,-.1429544,.25,.8832209,"SSP2",1.661e+14,
2027,"ss","value",0,.2036523,-.1446118,.27,.9260995,"SSP2",1.715e+14,
2028,"ss","value",0,.179896,-.0869297,.2737382,.983,"SSP2",1.771e+14,
2029,"ss","value",0,.1522588,-.038484,.2793244,1.043,"SSP2",1.830e+14,
2030,"ss","value",0,.1473593,-.0194704,.296344,1.103,"SSP2",1.890e+14,
2031,"ss","value",0,.1611437,.0011645,.3052537,1.173,"SSP2",1.942e+14,
2032,"ss","value",0,.2051471,-.0286284,.3230438,1.233,"SSP2",1.995e+14,
2033,"ss","value",0,.1998485,-.0179418,.34,1.303,"SSP2",2.049e+14,
2034,"ss","value",0,.2320916,-.0458053,.3436951,1.363,"SSP2",2.105e+14,
2035,"ss","value",0,.2291231,-.021224,.3410126,1.443,"SSP2",2.163e+14,
2036,"ss","value",0,.2189096,-.0051669,.3475724,1.513,"SSP2",2.214e+14,
2037,"ss","value",0,.222381,-.0051137,.3653474,1.593,"SSP2",2.266e+14,
2038,"ss","value",0,.2646499,-.0243066,.3843217,1.663,"SSP2",2.320e+14,
2039,"ss","value",0,.3005074,-.0375924,.4037126,1.733,"SSP2",2.375e+14,
2040,"ss","value",0,.3093487,-.0363069,.4052308,1.813,"SSP2",2.431e+14,
2041,"ss","value",0,.313798,-.0270246,.4187425,1.893,"SSP2",2.482e+14,
2042,"ss","value",0,.3306127,-.015189,.4325287,1.983,"SSP2",2.534e+14,
2043,"ss","value",0,.3217088,.0068787,.46,2.073,"SSP2",2.587e+14,
2044,"ss","value",0,.3186639,.0224634,.47,2.173,"SSP2",2.642e+14,
2045,"ss","value",0,.3192785,.0351102,.48,2.273,"SSP2",2.698e+14,
2046,"ss","value",0,.3102981,.0551873,.49,2.353,"SSP2",2.749e+14,
2047,"ss","value",0,.3148377,.0618881,.5,2.443,"SSP2",2.800e+14,
2048,"ss","value",0,.3094607,.0744569,.51,2.533,"SSP2",2.853e+14,
2049,"ss","value",0,.3147418,.0839525,.52,2.623,"SSP2",2.907e+14,
2050,"ss","value",0,.3167849,.0927708,.53,2.703,"SSP2",2.963e+14,
2051,"ss","value",0,.3252498,.1039741,.54,2.783,"SSP2",3.014e+14,
2052,"ss","value",0,.3520827,.0959894,.55,2.863,"SSP2",3.067e+14,
2053,"ss","value",0,.3800461,.0962551,.56,2.983,"SSP2",3.121e+14,
2054,"ss","value",0,.3887473,.1009955,.57,3.083,"SSP2",3.176e+14,
2055,"ss","value",0,.3970032,.1079677,.58,3.173,"SSP2",3.233e+14,
2056,"ss","value",0,.381891,.1196133,.59,3.273,"SSP2",3.287e+14,
2057,"ss","value",0,.3815624,.1305152,.59,3.373,"SSP2",3.341e+14,
2058,"ss","value",0,.3860052,.1382176,.6,3.463,"SSP2",3.398e+14,
2059,"ss","value",0,.40729,.1408494,.61,3.583,"SSP2",3.455e+14,
2060,"ss","value",0,.4360057,.136408,.61,3.713,"SSP2",3.514e+14,
2061,"ss","value",0,.4474051,.1429079,.62,3.803,"SSP2",3.569e+14,
2062,"ss","value",0,.4644794,.1462986,.63,3.903,"SSP2",3.627e+14,
2063,"ss","value",0,.4599558,.1518499,.63,3.993,"SSP2",3.685e+14,
2064,"ss","value",0,.4788632,.1508786,.64,4.123,"SSP2",3.745e+14,
2065,"ss","value",0,.4693316,.1649186,.64,4.263,"SSP2",3.806e+14,
2066,"ss","value",0,.4611048,.178578,.65,4.423,"SSP2",3.863e+14,
2067,"ss","value",0,.4813331,.1778757,.65,4.603,"SSP2",3.922e+14,
2068,"ss","value",0,.5007012,.1779038,.66,4.753,"SSP2",3.982e+14,
2069,"ss","value",0,.4603833,.1991758,.66,4.863,"SSP2",4.043e+14,
2070,"ss","value",0,.4572203,.20948,.66,4.983,"SSP2",4.106e+14,
2071,"ss","value",0,.4763835,.20576,.67,5.093,"SSP2",4.164e+14,
2072,"ss","value",0,.4848103,.2104816,.67,5.203,"SSP2",4.224e+14,
2073,"ss","value",0,.4894463,.2167722,.67,5.313,"SSP2",4.286e+14,
2074,"ss","value",0,.4949751,.222948,.67,5.423,"SSP2",4.348e+14,
2075,"ss","value",0,.4849595,.2358007,.68,5.553,"SSP2",4.412e+14,
2076,"ss","value",0,.5039097,.2370414,.68,5.703,"SSP2",4.472e+14,
2077,"ss","value",0,.4978655,.248207,.68,5.863,"SSP2",4.534e+14,
2078,"ss","value",0,.5026644,.258568,.68,6.043,"SSP2",4.596e+14,
2079,"ss","value",0,.5032761,.2654686,.68,6.243,"SSP2",4.660e+14,
2080,"ss","value",0,.4877624,.2742013,.68,6.403,"SSP2",4.725e+14,
2081,"ss","value",0,.4522004,.2964393,.68,6.573,"SSP2",4.788e+14,
2082,"ss","value",0,.4364992,.3077596,.68,6.723,"SSP2",4.851e+14,
2083,"ss","value",0,.3909639,.3234859,.68,6.883,"SSP2",4.915e+14,
2084,"ss","value",0,.3941027,.3307913,.68,7.033,"SSP2",4.981e+14,
2085,"ss","value",0,.398918,.3345623,.68,7.183,"SSP2",5.049e+14,
2086,"ss","value",0,.3902074,.3397678,.68,7.303,"SSP2",5.112e+14,
2087,"ss","value",0,.3619981,.3536507,.68,7.433,"SSP2",5.177e+14,
2088,"ss","value",0,.3705719,.3592232,.69,7.553,"SSP2",5.243e+14,
2089,"ss","value",0,.3630591,.3652495,.69,7.773,"SSP2",5.311e+14,
2090,"ss","value",0,.352042,.37736,.69,7.902999,"SSP2",5.379e+14,
2091,"ss","value",0,.3253844,.3906879,.69,8.033,"SSP2",5.446e+14,
2092,"ss","value",0,.3269857,.3951787,.69,8.163,"SSP2",5.513e+14,
2093,"ss","value",0,.2977889,.4082319,.69,8.283,"SSP2",5.582e+14,
2094,"ss","value",0,.2978989,.4135914,.69,8.403,"SSP2",5.651e+14,
2095,"ss","value",0,.294719,.4167809,.69,8.513,"SSP2",5.723e+14,
2096,"ss","value",0,.3114094,.4195693,.69,8.653,"SSP2",5.790e+14,
2097,"ss","value",0,.292737,.4312169,.69,8.873,"SSP2",5.858e+14,
2098,"ss","value",0,.3112649,.429198,.69,9.073,"SSP2",5.927e+14,
2099,"ss","value",0,.3074247,.4348756,.69,9.243,"SSP2",5.998e+14,
2100,"ss","value",0,.3118674,.4411601,0,11,"SSP2",6.085e+14,1.014451
2101,"ss","value",0,.3163742,.4475353,0,11,"SSP2",6.173e+14,1.029111
2102,"ss","value",0,.3209462,.4540027,0,11,"SSP2",6.262e+14,1.043983
2103,"ss","value",0,.3255842,.4605635,0,11,"SSP2",6.352e+14,1.05907
2104,"ss","value",0,.3302892,.4672192,0,11,"SSP2",6.444e+14,1.074374
2105,"ss","value",0,.3350623,.473971,0,11,"SSP2",6.537e+14,1.0899
2106,"ss","value",0,.3399043,.4808204,0,11,"SSP2",6.632e+14,1.105651
2107,"ss","value",0,.3448163,.4877688,0,11,"SSP2",6.728e+14,1.121628
2108,"ss","value",0,.3497993,.4948176,0,11,"SSP2",6.825e+14,1.137837
2109,"ss","value",0,.3548543,.5019683,0,11,"SSP2",6.923e+14,1.15428
2110,"ss","value",0,.3599823,.5092223,0,11,"SSP2",7.023e+14,1.170961
2111,"ss","value",0,.3651845,.5165811,0,11,"SSP2",7.125e+14,1.187883
2112,"ss","value",0,.3704618,.5240463,0,11,"SSP2",7.228e+14,1.205049
