year,cons,beta1,beta2,ssp,global_consumption,ratio
2113,0,.11447306,.24638973,SSP3,366846033337944.2,1.0641949
2114,0,.11498293,.24748717,SSP3,368479991889951.2,1.0689349
2115,0,.11549507,.24858949,SSP3,370121228210577.9,1.073696
2116,0,.1160095,.24969673,SSP3,371769774715527.8,1.0784783
2117,0,.11652622,.25080889,SSP3,373425663964886.4,1.083282
2118,0,.11704523,.251926,SSP3,375088928663764.2,1.088107
2119,0,.11756655,.25304809,SSP3,376759601662942.3,1.0929534
2120,0,.1180902,.25417522,SSP3,378437715959521.9,1.0978216
2121,0,.11861619,.25530732,SSP3,380123304697575.4,1.1027113
2122,0,.11914451,.25644445,SSP3,381816401168801.5,1.1076229
2123,0,.11967519,.25758669,SSP3,383517038813182.4,1.1125563
2124,0,.12020823,.25873402,SSP3,385225251219644.3,1.1175117
2125,0,.12074365,.25988641,SSP3,386941072126721,1.1224892
2126,0,.12128145,.26104397,SSP3,388664535423220.1,1.1274889
2127,0,.12182164,.2622067,SSP3,390395675148892.3,1.1325108
2128,0,.12236424,.26337457,SSP3,392134525495104.1,1.137555
2129,0,.12290926,.26454765,SSP3,393881120805512.3,1.1426218
2130,0,.12345672,.265726,SSP3,395635495576743.4,1.1477112
2131,0,.12400659,.26690954,SSP3,397397684459073.8,1.1528231
2132,0,.12455893,.26809838,SSP3,399167722257115.1,1.1579579
2133,0,.12511373,.2692925,SSP3,400945643930500.9,1.1631155
2134,0,.12567098,.27049196,SSP3,402731484594577.8,1.1682961
2135,0,.12623075,.27169675,SSP3,404525279521098.4,1.1734998
2136,0,.12679298,.2729069,SSP3,406327064138918.3,1.1787267
2137,0,.12735772,.27412245,SSP3,408136874034695.7,1.1839768
2138,0,.12792498,.27534339,SSP3,409954744953594.4,1.1892502
2139,0,.12849477,.27656981,SSP3,411780712799989.8,1.1945473
2140,0,.12906709,.27780166,SSP3,413614813638177.9,1.1998678
2141,0,.12964198,.27903903,SSP3,415457083693087.6,1.2052122
2142,0,.1302194,.28028187,SSP3,417307559350996.3,1.2105802
2143,0,.13079941,.28153026,SSP3,419166277160248.4,1.2159723
2144,0,.131382,.28278422,SSP3,421033273831977.3,1.2213883
2145,0,.13196719,.28404376,SSP3,422908586240830.8,1.2268285
2146,0,.13255498,.28530893,SSP3,424792251425698.1,1.2322929
2147,0,.13314538,.2865797,SSP3,426684306590443.3,1.2377815
2148,0,.13373843,.28785616,SSP3,428584789104638.4,1.2432947
2149,0,.1343341,.28913829,SSP3,430493736504302.8,1.2488325
2150,0,.13493244,.29042614,SSP3,432411186492643.4,1.2543949
2151,0,.13553344,.2917197,SSP3,434337176940800.4,1.259982
2152,0,.13613713,.29301906,SSP3,436271745888594.4,1.2655941
2153,0,.13674349,.29432419,SSP3,438214931545278.4,1.2712312
2154,0,.13735254,.2956351,SSP3,440166772290291.9,1.2768933
2155,0,.13796432,.29695189,SSP3,442127306674019.3,1.2825806
2156,0,.13857883,.29827455,SSP3,444096573418551.3,1.2882934
2157,0,.13919607,.29960307,SSP3,446074611418449.1,1.2940315
2158,0,.13981606,.30093753,SSP3,448061459741513.6,1.2997953
2159,0,.1404388,.30227792,SSP3,450057157629556.3,1.3055845
2160,0,.14106433,.3036243,SSP3,452061744499174.6,1.3113998
2161,0,.14169264,.30497667,SSP3,454075259942530,1.3172408
2162,0,.14232376,.30633506,SSP3,456097743728130.6,1.323108
2163,0,.14295767,.3076995,SSP3,458129235801616.3,1.3290012
2164,0,.14359441,.30907002,SSP3,460169776286547.4,1.3349206
2165,0,.144234,.31044662,SSP3,462219405485197.9,1.3408664
2166,0,.14487642,.31182936,SSP3,464278163879350.8,1.3468387
2167,0,.14552172,.3132183,SSP3,466346092131097.5,1.3528377
2168,0,.14616989,.3146134,SSP3,468423231083641.9,1.3588634
2169,0,.14682092,.31601468,SSP3,470509621762106.2,1.3649157
2170,0,.14747487,.31742224,SSP3,472605305374341.3,1.3709952
2171,0,.14813174,.31883606,SSP3,474710323311740.9,1.3771017
2172,0,.14879154,.3202562,SSP3,476824717150059.1,1.3832355
2173,0,.14945425,.32168263,SSP3,478948528650231.3,1.3893964
2174,0,.15011995,.32311544,SSP3,481081799759198.9,1.3955849
2175,0,.15078859,.32455462,SSP3,483224572610738.4,1.401801
2176,0,.15146022,.32600018,SSP3,485376889526292.6,1.4080447
2177,0,.15213482,.32745221,SSP3,487538793015807.6,1.4143162
2178,0,.15281244,.32891071,SSP3,489710325778571.7,1.4206157
