,discount_type,ssp,year,global_cons_constant_model_collapsed
113,constant_model_collapsed,SSP2,2133,976939030636753.9
114,constant_model_collapsed,SSP2,2134,991056889691785.6
115,constant_model_collapsed,SSP2,2135,1005378767562779.4
116,constant_model_collapsed,SSP2,2136,1019907612549269.0
117,constant_model_collapsed,SSP2,2137,1034646415557005.8
118,constant_model_collapsed,SSP2,2138,1049598210713666.6
119,constant_model_collapsed,SSP2,2139,1064766075993458.8
120,constant_model_collapsed,SSP2,2140,1080153133850751.1
121,constant_model_collapsed,SSP2,2141,1095762551862862.0
122,constant_model_collapsed,SSP2,2142,1111597543382137.1
123,constant_model_collapsed,SSP2,2143,1127661368197448.0
124,constant_model_collapsed,SSP2,2144,1143957333205253.2
125,constant_model_collapsed,SSP2,2145,1160488793090355.0
126,constant_model_collapsed,SSP2,2146,1177259151016493.8
127,constant_model_collapsed,SSP2,2147,1194271859326923.8
128,constant_model_collapsed,SSP2,2148,1211530420255110.5
129,constant_model_collapsed,SSP2,2149,1229038386645701.5
130,constant_model_collapsed,SSP2,2150,1246799362685913.8
131,constant_model_collapsed,SSP2,2151,1264817004647490.5
132,constant_model_collapsed,SSP2,2152,1283095021639382.0
133,constant_model_collapsed,SSP2,2153,1301637176371301.0
134,constant_model_collapsed,SSP2,2154,1320447285928314.0
135,constant_model_collapsed,SSP2,2155,1339529222556626.0
136,constant_model_collapsed,SSP2,2156,1358886914460720.2
137,constant_model_collapsed,SSP2,2157,1378524346612017.5
138,constant_model_collapsed,SSP2,2158,1398445561569222.2
139,constant_model_collapsed,SSP2,2159,1418654660310523.2
140,constant_model_collapsed,SSP2,2160,1439155803077819.0
141,constant_model_collapsed,SSP2,2161,1459953210233146.8
142,constant_model_collapsed,SSP2,2162,1481051163127482.8
143,constant_model_collapsed,SSP2,2163,1502454004982103.0
144,constant_model_collapsed,SSP2,2164,1524166141782677.0
145,constant_model_collapsed,SSP2,2165,1546192043186282.8
146,constant_model_collapsed,SSP2,2166,1568536243441530.8
147,constant_model_collapsed,SSP2,2167,1591203342321982.8
148,constant_model_collapsed,SSP2,2168,1614198006073061.5
149,constant_model_collapsed,SSP2,2169,1637524968372642.5
150,constant_model_collapsed,SSP2,2170,1661189031305527.8
151,constant_model_collapsed,SSP2,2171,1685195066352003.8
152,constant_model_collapsed,SSP2,2172,1709548015390681.5
153,constant_model_collapsed,SSP2,2173,1734252891715833.5
154,constant_model_collapsed,SSP2,2174,1759314781069427.0
155,constant_model_collapsed,SSP2,2175,1784738842688076.0
156,constant_model_collapsed,SSP2,2176,1810530310365120.0
157,constant_model_collapsed,SSP2,2177,1836694493528052.2
158,constant_model_collapsed,SSP2,2178,1863236778331517.2
159,constant_model_collapsed,SSP2,2179,1890162628766104.2
160,constant_model_collapsed,SSP2,2180,1917477587783163.2
161,constant_model_collapsed,SSP2,2181,1945187278435875.2
162,constant_model_collapsed,SSP2,2182,1973297405036814.8
163,constant_model_collapsed,SSP2,2183,2001813754332237.5
164,constant_model_collapsed,SSP2,2184,2030742196693339.8
165,constant_model_collapsed,SSP2,2185,2060088687324731.0
166,constant_model_collapsed,SSP2,2186,2089859267490373.0
167,constant_model_collapsed,SSP2,2187,2120060065757231.2
168,constant_model_collapsed,SSP2,2188,2150697299256903.8
169,constant_model_collapsed,SSP2,2189,2181777274965476.0
170,constant_model_collapsed,SSP2,2190,2213306391001875.5
171,constant_model_collapsed,SSP2,2191,2245291137944987.0
172,constant_model_collapsed,SSP2,2192,2277738100169803.0
173,constant_model_collapsed,SSP2,2193,2310653957202880.5
174,constant_model_collapsed,SSP2,2194,2344045485097389.5
175,constant_model_collapsed,SSP2,2195,2377919557828027.5
176,constant_model_collapsed,SSP2,2196,2412283148706097.0
177,constant_model_collapsed,SSP2,2197,2447143331815030.0
178,constant_model_collapsed,SSP2,2198,2482507283466656.5
179,constant_model_collapsed,SSP2,2199,2518382283678520.5
180,constant_model_collapsed,SSP2,2200,2554775717672542.0
181,constant_model_collapsed,SSP2,2201,2591695077395338.0
182,constant_model_collapsed,SSP2,2202,2629147963060515.0
183,constant_model_collapsed,SSP2,2203,2667142084713244.0
184,constant_model_collapsed,SSP2,2204,2705685263817453.5
185,constant_model_collapsed,SSP2,2205,2744785434865951.5
186,constant_model_collapsed,SSP2,2206,2784450647013821.5
187,constant_model_collapsed,SSP2,2207,2824689065735419.0
188,constant_model_collapsed,SSP2,2208,2865508974505313.5
189,constant_model_collapsed,SSP2,2209,2906918776503527.0
190,constant_model_collapsed,SSP2,2210,2948926996345407.0
191,constant_model_collapsed,SSP2,2211,2991542281836505.5
192,constant_model_collapsed,SSP2,2212,3034773405752814.0
193,constant_model_collapsed,SSP2,2213,3078629267646725.0
194,constant_model_collapsed,SSP2,2214,3123118895679093.5
195,constant_model_collapsed,SSP2,2215,3168251448477772.5
196,constant_model_collapsed,SSP2,2216,3214036217023006.5
197,constant_model_collapsed,SSP2,2217,3260482626560071.5
198,constant_model_collapsed,SSP2,2218,3307600238539554.5
199,constant_model_collapsed,SSP2,2219,3355398752585671.5
200,constant_model_collapsed,SSP2,2220,3403888008493031.5
201,constant_model_collapsed,SSP2,2221,3453077988252254.5
202,constant_model_collapsed,SSP2,2222,3502978818104863.5
203,constant_model_collapsed,SSP2,2223,3553600770627870.5
204,constant_model_collapsed,SSP2,2224,3604954266848486.5
205,constant_model_collapsed,SSP2,2225,3657049878389393.0
206,constant_model_collapsed,SSP2,2226,3709898329645016.0
207,constant_model_collapsed,SSP2,2227,3763510499989247.0
208,constant_model_collapsed,SSP2,2228,3817897426015069.5
209,constant_model_collapsed,SSP2,2229,3873070303806550.5
210,constant_model_collapsed,SSP2,2230,3929040491243662.0
211,constant_model_collapsed,SSP2,2231,3985819510340418.5
212,constant_model_collapsed,SSP2,2232,4043419049616789.5
213,constant_model_collapsed,SSP2,2233,4101850966504902.0
214,constant_model_collapsed,SSP2,2234,4161127289790007.0
215,constant_model_collapsed,SSP2,2235,4221260222086725.0
216,constant_model_collapsed,SSP2,2236,4282262142351072.5
217,constant_model_collapsed,SSP2,2237,4344145608428792.5
218,constant_model_collapsed,SSP2,2238,4406923359640512.5
219,constant_model_collapsed,SSP2,2239,4470608319404255.5
220,constant_model_collapsed,SSP2,2240,4535213597895855.0
221,constant_model_collapsed,SSP2,2241,4600752494747816.0
222,constant_model_collapsed,SSP2,2242,4667238501787171.0
223,constant_model_collapsed,SSP2,2243,4734685305812905.0
224,constant_model_collapsed,SSP2,2244,4803106791413526.0
225,constant_model_collapsed,SSP2,2245,4872517043825330.0
226,constant_model_collapsed,SSP2,2246,4942930351832003.0
227,constant_model_collapsed,SSP2,2247,5014361210706091.0
228,constant_model_collapsed,SSP2,2248,5086824325193007.0
229,constant_model_collapsed,SSP2,2249,5160334612538137.0
230,constant_model_collapsed,SSP2,2250,5234907205557715.0
231,constant_model_collapsed,SSP2,2251,5310557455754048.0
232,constant_model_collapsed,SSP2,2252,5387300936475784.0
233,constant_model_collapsed,SSP2,2253,5465153446123835.0
234,constant_model_collapsed,SSP2,2254,5544131011403634.0
235,constant_model_collapsed,SSP2,2255,5624249890624388.0
236,constant_model_collapsed,SSP2,2256,5705526577046015.0
237,constant_model_collapsed,SSP2,2257,5787977802274444.0
238,constant_model_collapsed,SSP2,2258,5871620539705973.0
239,constant_model_collapsed,SSP2,2259,5956472008021420.0
240,constant_model_collapsed,SSP2,2260,6042549674730751.0
241,constant_model_collapsed,SSP2,2261,6129871259768944.0
242,constant_model_collapsed,SSP2,2262,6218454739143804.0
243,constant_model_collapsed,SSP2,2263,6308318348636513.0
244,constant_model_collapsed,SSP2,2264,6399480587555632.0
245,constant_model_collapsed,SSP2,2265,6491960222545377.0
246,constant_model_collapsed,SSP2,2266,6585776291448908.0
247,constant_model_collapsed,SSP2,2267,6680948107227467.0
248,constant_model_collapsed,SSP2,2268,6777495261936131.0
249,constant_model_collapsed,SSP2,2269,6875437630757032.0
250,constant_model_collapsed,SSP2,2270,6974795376090866.0
251,constant_model_collapsed,SSP2,2271,7075588951707510.0
252,constant_model_collapsed,SSP2,2272,7177839106956643.0
253,constant_model_collapsed,SSP2,2273,7281566891039197.0
254,constant_model_collapsed,SSP2,2274,7386793657340542.0
255,constant_model_collapsed,SSP2,2275,7493541067826296.0
256,constant_model_collapsed,SSP2,2276,7601831097501648.0
257,constant_model_collapsed,SSP2,2277,7711686038935131.0
258,constant_model_collapsed,SSP2,2278,7823128506847771.0
259,constant_model_collapsed,SSP2,2279,7936181442768542.0
260,constant_model_collapsed,SSP2,2280,8050868119757112.0
261,constant_model_collapsed,SSP2,2281,8167212147194830.0
262,constant_model_collapsed,SSP2,2282,8285237475644944.0
263,constant_model_collapsed,SSP2,2283,8404968401783070.0
264,constant_model_collapsed,SSP2,2284,8526429573398895.0
265,constant_model_collapsed,SSP2,2285,8649645994470168.0
266,constant_model_collapsed,SSP2,2286,8774643030310016.0
267,constant_model_collapsed,SSP2,2287,8901446412788645.0
268,constant_model_collapsed,SSP2,2288,9030082245630494.0
269,constant_model_collapsed,SSP2,2289,9160577009787950.0
270,constant_model_collapsed,SSP2,2290,9292957568892704.0
271,constant_model_collapsed,SSP2,2291,9427251174785904.0
272,constant_model_collapsed,SSP2,2292,9563485473128208.0
273,constant_model_collapsed,SSP2,2293,9701688509090918.0
274,constant_model_collapsed,SSP2,2294,9841888733129354.0
275,constant_model_collapsed,SSP2,2295,9984115006839662.0
276,constant_model_collapsed,SSP2,2296,1.0128396608900248e+16
277,constant_model_collapsed,SSP2,2297,1.0274763241099104e+16
278,constant_model_collapsed,SSP2,2298,1.0423245034448184e+16
279,constant_model_collapsed,SSP2,2299,1.0573872555386194e+16
280,constant_model_collapsed,SSP2,2300,1.0726676812070988e+16
281,constant_model_collapsed,SSP3,2020,129252283307119.88
282,constant_model_collapsed,SSP3,2021,133438781759047.3
283,constant_model_collapsed,SSP3,2022,137810561281902.88
284,constant_model_collapsed,SSP3,2023,142377423276384.88
285,constant_model_collapsed,SSP3,2024,147149757847038.7
286,constant_model_collapsed,SSP3,2025,152138584224126.44
287,constant_model_collapsed,SSP3,2026,155961367567281.0
288,constant_model_collapsed,SSP3,2027,159904668872190.0
289,constant_model_collapsed,SSP3,2028,163972947544871.12
290,constant_model_collapsed,SSP3,2029,168170851504198.25
291,constant_model_collapsed,SSP3,2030,172503226489657.16
292,constant_model_collapsed,SSP3,2031,175844495604288.94
293,constant_model_collapsed,SSP3,2032,179261342809958.5
294,constant_model_collapsed,SSP3,2033,182755716201347.06
295,constant_model_collapsed,SSP3,2034,186329619389619.25
296,constant_model_collapsed,SSP3,2035,189985113306012.06
297,constant_model_collapsed,SSP3,2036,192981075671825.2
298,constant_model_collapsed,SSP3,2037,196029733339098.6
299,constant_model_collapsed,SSP3,2038,199132120483814.88
300,constant_model_collapsed,SSP3,2039,202289293152061.38
301,constant_model_collapsed,SSP3,2040,205502329779220.7
302,constant_model_collapsed,SSP3,2041,208183556210493.1
303,constant_model_collapsed,SSP3,2042,210903148260447.38
304,constant_model_collapsed,SSP3,2043,213661752349356.4
