year,cons,beta1,beta2,ssp,global_consumption,ratio
2020,0,.1136376,-.2101336,SSP3,129252283307119.9,
2021,0,.098788902,-.1173222,SSP3,133438781759047.3,
2022,0,.1471661,-.18112031,SSP3,137810561281902.9,
2023,0,.1578289,-.15589251,SSP3,142377423276384.9,
2024,0,.17557269,-.1428971,SSP3,147149757847038.7,
2025,0,.15577281,-.081486396,SSP3,152138584224126.4,
2026,0,.17147879,-.1106767,SSP3,155961367567281,
2027,0,.1862902,-.1231293,SSP3,159904668872190,
2028,0,.1627907,-.069695503,SSP3,163972947544871.1,
2029,0,.1338564,-.0235526,SSP3,168170851504198.3,
2030,0,.1259111,-.0028780999,SSP3,172503226489657.2,
2031,0,.1293274,.0214462,SSP3,175844495604288.9,
2032,0,.1643804,-.0031784,SSP3,179261342809958.5,
2033,0,.14713161,.0172312,SSP3,182755716201347.1,
2034,0,.17898829,-.0127831,SSP3,186329619389619.3,
2035,0,.17155971,.0112724,SSP3,189985113306012.1,
2036,0,.1574589,.0280353,SSP3,192981075671825.2,
2037,0,.158675,.030080101,SSP3,196029733339098.6,
2038,0,.1973193,.0096620005,SSP3,199132120483814.9,
2039,0,.2237432,.0001015,SSP3,202289293152061.4,
2040,0,.2257873,.0023121999,SSP3,205502329779220.7,
2041,0,.2387481,.00052080001,SSP3,208183556210493.1,
2042,0,.248868,.0111465,SSP3,210903148260447.4,
2043,0,.23653869,.031536799,SSP3,213661752349356.4,
2044,0,.2270526,.046214499,SSP3,216460027539270.9,
2045,0,.2287901,.053275298,SSP3,219298645824932.8,
2046,0,.2128696,.0728181,SSP3,221616441685438.7,
2047,0,.2150301,.076229699,SSP3,223962863373954.6,
2048,0,.2080301,.085373297,SSP3,226338388196874.4,
2049,0,.21102349,.091978297,SSP3,228743503359462.7,
2050,0,.20582549,.1014792,SSP3,231178706203161.2,
2051,0,.21008851,.109102,SSP3,233299625784911.1,
2052,0,.2264763,.1018997,SSP3,235445971224308.1,
2053,0,.2375908,.1046765,SSP3,237618195397537.4,
2054,0,.239076,.1085649,SSP3,239816761082924.6,
2055,0,.2436796,.1120944,SSP3,242042141204133.7,
2056,0,.2267669,.1211944,SSP3,244096901759190.2,
2057,0,.22084659,.1300416,SSP3,246176311999802.8,
2058,0,.2203621,.1359842,SSP3,248280829435116.5,
2059,0,.2263397,.1400421,SSP3,250410921920579.1,
2060,0,.2389171,.1380268,SSP3,252567067918406.1,
2061,0,.24124379,.1431348,SSP3,254663958799882.7,
2062,0,.2517451,.1435409,SSP3,256786865171144.8,
2063,0,.23895299,.1491458,SSP3,258936279191390.5,
2064,0,.25034359,.1470176,SSP3,261112704386866,
2065,0,.2412097,.1558442,SSP3,263316655941422.9,
2066,0,.23410019,.1636029,SSP3,265412058881479.7,
2067,0,.2453776,.1624521,SSP3,267534118910479.6,
2068,0,.26010609,.1606658,SSP3,269683351481490.3,
2069,0,.23169111,.17421409,SSP3,271860284246804.1,
2070,0,.22638939,.1808681,SSP3,274065457373847.1,
2071,0,.2375606,.17702299,SSP3,276218726424605.8,
2072,0,.2420496,.17850751,SSP3,278400394321345.7,
2073,0,.2403724,.1829787,SSP3,280611016411705.4,
2074,0,.23854899,.18746901,SSP3,282851161162068.4,
2075,0,.2314087,.19454271,SSP3,285121410492403.6,
2076,0,.2446485,.1938601,SSP3,287316759627791.8,
2077,0,.2408419,.20001189,SSP3,289540692783834.8,
2078,0,.2371812,.208147,SSP3,291793760679372.7,
2079,0,.2384644,.2111932,SSP3,294076526846845.5,
2080,0,.22691999,.21637671,SSP3,296389567952848.4,
2081,0,.20642421,.2293781,SSP3,298677592325088.5,
2082,0,.1976444,.2348627,SSP3,300995428244356.6,
2083,0,.1696896,.2436493,SSP3,303343632805454.4,
2084,0,.1736446,.24725141,SSP3,305722775577599.4,
2085,0,.17755041,.248638,SSP3,308133438904072.1,
2086,0,.1695044,.25132561,SSP3,310521404115446.1,
2087,0,.15758561,.25806829,SSP3,312939678617661.5,
2088,0,.16460741,.26065439,SSP3,315388803487793.6,
2089,0,.16242769,.2634674,SSP3,317869331437347.1,
2090,0,.15603121,.2705335,SSP3,320381827081861.8,
2091,0,.14648379,.2766889,SSP3,322970784344267.8,
2092,0,.14964449,.278162,SSP3,325592159441410.1,
2093,0,.1327585,.28598881,SSP3,328246505417970.8,
2094,0,.1326199,.28905219,SSP3,330934386601307.1,
