time_cut,discrate,rcp45,rcp85
all,1.0,34.925874814010584,87.66172063060831
all,2.0,10.318752523381562,22.731178385496523
all,2.5,6.539756039022324,13.386761570746101
all,3.0,4.458661497166577,8.510537518203787
all,5.0,1.469645407569962,2.2887039967016447
post2099,1.0,27.553586877599685,75.87028426724433
post2099,2.0,5.784118604096183,15.71459350649733
post2099,2.5,2.9370944609465006,7.902398782093299
post2099,3.0,1.5720454485471418,4.185501655346846
post2099,5.0,0.1804058139907069,0.46200622874279185
pre2099,1.0,7.372287936410904,11.79143636336398
pre2099,2.0,4.534633919285381,7.016584878999194
pre2099,2.5,3.602661578075823,5.484362788652801
pre2099,3.0,2.8866160486194343,4.32503586285694
pre2099,5.0,1.2892395935792549,1.826697767958853
share_post2099,1.0,0.7889161552668256,0.8654893347000214
share_post2099,2.0,0.5605443672565826,0.6913233110925706
share_post2099,2.5,0.44911376562383026,0.5903144491168274
share_post2099,3.0,0.3525823724331073,0.4918022682344308
share_post2099,5.0,0.12275465432781188,0.20186368766280394
