ph1,ph2,ph3,year,cons,beta1,beta2,anomalymin,anomalymax
"vv","aa","ss",2015,.0097319,.000432,.1320251,-.0607367,.6120303
"vv","aa","ss",2016,.0067418,.0190717,.1271202,-.1465827,.4774173
"vv","aa","ss",2017,.0080706,.055293,-.0324311,-.0514101,.5996702
"vv","aa","ss",2018,.0107702,.0349234,-.0675013,-.0322141,.5363861
"vv","aa","ss",2019,.0114266,.0302838,-.0580498,-.00958,.674127
"vv","aa","ss",2020,.0174869,.0663668,-.1166389,-.0691401,.714441
"vv","aa","ss",2021,.0430113,-.0458628,.0322456,.0854919,.750299
"vv","aa","ss",2022,.0456757,.0301097,-.1026618,.1639922,.7959229
"vv","aa","ss",2023,.0954196,-.1132221,.0298257,.0865599,.831049
"vv","aa","ss",2024,.134775,-.2513899,.1714272,.1652039,.753
"vv","aa","ss",2025,.1071279,-.1716678,.1427117,.2826452,.8871613
"vv","aa","ss",2026,.1331896,-.2201517,.1556218,.2045719,1.026382
"vv","aa","ss",2027,.0937095,-.0362855,.0095347,.194644,1.07991
"vv","aa","ss",2028,.0970438,-.0219881,.0172833,.348636,1.121271
"vv","aa","ss",2029,.0840796,.016136,.0047113,.3236209,1.072992
"vv","aa","ss",2030,.1934383,-.3245156,.2605901,.1377079,1.201318
"vv","aa","ss",2031,.1154678,-.0799117,.1222688,.3318413,1.173
"vv","aa","ss",2032,.0542077,.1239611,-.0028799,.4348454,1.288705
"vv","aa","ss",2033,.0241388,.1498559,.0166628,.361117,1.361282
"vv","aa","ss",2034,.0210556,.2373337,-.0448772,.473422,1.368209
"vv","aa","ss",2035,.0064555,.3042007,-.0791829,.4244509,1.443
"vv","aa","ss",2036,.0336964,.2314113,-.0339555,.532,1.513
"vv","aa","ss",2037,.0348432,.2318275,-.0315474,.532596,1.593
"vv","aa","ss",2038,.1434693,.0665333,.051546,.5545469,1.663
"vv","aa","ss",2039,.1683342,.0394731,.0713815,.5664189,1.733
"vv","aa","ss",2040,.2643346,-.1517929,.1715956,.58295,1.813
"vv","aa","ss",2041,.3478519,-.2871725,.2503619,.4972049,1.893
"vv","aa","ss",2042,.367376,-.2503913,.2391169,.5483829,1.983
"vv","aa","ss",2043,.3991683,-.3067111,.2664553,.692,2.073
"vv","aa","ss",2044,.3378874,-.193366,.2260753,.722,2.173
"vv","aa","ss",2045,.2841181,-.0835035,.1796574,.742,2.273
"vv","aa","ss",2046,.4527445,-.3574567,.2828027,.6620571,2.353
"vv","aa","ss",2047,.5726787,-.5094632,.3326667,.7743959,2.443
"vv","aa","ss",2048,.5382467,-.4678315,.3235035,.822,2.533
"vv","aa","ss",2049,.3816785,-.2477586,.2594113,.8419999,2.623
"vv","aa","ss",2050,.4162869,-.2945778,.2854127,.872,2.703
