ph1,ph2,ph3,year,cons,beta1,beta2,anomalymin,anomalymax
"vv","aa","ss",2015,.0016462,.0089688,.1546617,-.1475855,.6120303
"vv","aa","ss",2016,.0024582,.0277439,.0911778,-.1465827,.5393157
"vv","aa","ss",2017,.0006298,.0869457,-.1139167,-.0514101,.5996702
"vv","aa","ss",2018,.0040343,.0689777,-.1400127,-.0322141,.5642603
"vv","aa","ss",2019,.0038368,.0830778,-.1749386,-.1148715,.674127
"vv","aa","ss",2020,.0092216,.0932755,-.1782312,-.0691401,.714441
"vv","aa","ss",2021,.0198886,.0494206,-.0866895,.0586825,.750299
"vv","aa","ss",2022,.0203776,.1037151,-.1723252,-.0393405,.7959229
"vv","aa","ss",2023,.0405883,.0422372,-.0917734,.0350583,.831049
"vv","aa","ss",2024,.0445179,.0273535,-.046524,.1639829,.7773013
"vv","aa","ss",2025,.0319228,.0524524,-.0350953,.1467255,.8871613
"vv","aa","ss",2026,.052122,-.0060097,.0014774,.1196255,1.026382
"vv","aa","ss",2027,.0362403,.0764142,-.0596667,.1614349,1.07991
"vv","aa","ss",2028,.0403663,.0797113,-.0520808,.1199315,1.121271
"vv","aa","ss",2029,.0498547,.0412483,-.0085861,.2484673,1.072992
"vv","aa","ss",2030,.1110472,-.1496636,.1311166,.1377079,1.201318
"vv","aa","ss",2031,.1065513,-.1340285,.1392172,.2831849,1.173
"vv","aa","ss",2032,.0886381,-.0662874,.0942599,.2354705,1.288705
"vv","aa","ss",2033,.0799403,-.0645412,.108509,.1482515,1.361282
"vv","aa","ss",2034,.0785899,-.0246032,.0775372,.2427335,1.368209
"vv","aa","ss",2035,.0582429,.0493414,.0397438,.2774935,1.443
"vv","aa","ss",2036,.0388923,.0906942,.0181403,.2354095,1.513
"vv","aa","ss",2037,.0635583,.0503657,.0323367,.1182525,1.593
"vv","aa","ss",2038,.0610875,.0678077,.0324679,.1167265,1.663
"vv","aa","ss",2039,.0773371,.050086,.0407024,.2255215,1.733
"vv","aa","ss",2040,.1127714,-.0255406,.0825336,.1780675,1.813
"vv","aa","ss",2041,.1500329,-.0900426,.1205137,.4144865,1.893
"vv","aa","ss",2042,.12054,-.0069554,.089142,.3137175,1.983
"vv","aa","ss",2043,.1659913,-.0992008,.1296446,.2821935,2.073
"vv","aa","ss",2044,.1392877,-.0570425,.1191977,.2434665,2.173
"vv","aa","ss",2045,.1058138,-.0019729,.0959743,.2779205,2.273
"vv","aa","ss",2046,.1561759,-.0948861,.1324802,.4751255,2.353
"vv","aa","ss",2047,.1584646,-.104095,.1408712,.5,2.443
"vv","aa","ss",2048,.1319193,-.0683952,.1317419,.5077485,2.533
"vv","aa","ss",2049,.1025704,-.0267819,.1195715,.3319065,2.623
"vv","aa","ss",2050,.1216149,-.0509227,.1306905,.5136995,2.703
"vv","aa","ss",2051,.1166529,-.0423525,.1300827,.54,2.783
"vv","aa","ss",2052,.0997088,-.01276,.117803,.55,2.863
"vv","aa","ss",2053,.1710767,-.0863288,.1388002,.56,2.983
"vv","aa","ss",2054,.1936663,-.1107074,.1479925,.57,3.083
"vv","aa","ss",2055,.1511773,-.0496188,.1348339,.58,3.173
"vv","aa","ss",2056,.1562187,-.048544,.135204,.5668915,3.273
"vv","aa","ss",2057,.1912277,-.0823807,.1454899,.4566315,3.373
"vv","aa","ss",2058,.1612276,-.0379588,.1379703,.5690279,3.463
"vv","aa","ss",2059,.1872176,-.0488846,.1415326,.61,3.583
"vv","aa","ss",2060,.2155356,-.0550049,.1399266,.61,3.713
"vv","aa","ss",2061,.2256633,-.0553885,.1449795,.62,3.803
"vv","aa","ss",2062,.2426131,-.0458915,.1441865,.4280365,3.903
"vv","aa","ss",2063,.3074948,-.0964106,.1524812,.4245885,3.993
"vv","aa","ss",2064,.3036003,-.0669704,.1450696,.64,4.123
"vv","aa","ss",2065,.329125,-.0878707,.1508138,.6196865,4.263
"vv","aa","ss",2066,.4040505,-.1560753,.1647751,.65,4.423
"vv","aa","ss",2067,.390894,-.1344943,.1593644,.65,4.603
"vv","aa","ss",2068,.348509,-.0837093,.1494825,.5796475,4.753
"vv","aa","ss",2069,.3532345,-.1129171,.1593916,.5591405,4.863
"vv","aa","ss",2070,.3573353,-.1142623,.1619175,.5639315,4.983
"vv","aa","ss",2071,.3262119,-.0745573,.1527156,.6183445,5.093
"vv","aa","ss",2072,.3093553,-.053414,.1491891,.67,5.203
"vv","aa","ss",2073,.3181958,-.0564242,.1506545,.67,5.313
"vv","aa","ss",2074,.3297687,-.0524669,.1496642,.5767795,5.423
"vv","aa","ss",2075,.3343913,-.0553317,.1530746,.6257295,5.553
"vv","aa","ss",2076,.3645296,-.059939,.1527957,.5862395,5.703
"vv","aa","ss",2077,.3719903,-.0667383,.1567547,.6261565,5.863
"vv","aa","ss",2078,.3625977,-.0626023,.1594304,.68,6.043
"vv","aa","ss",2079,.3490569,-.0579076,.1605975,.6430325,6.243
"vv","aa","ss",2080,.3728594,-.0817642,.1646412,.68,6.403
"vv","aa","ss",2081,.3717732,-.1007278,.1740725,.5753445,6.573
"vv","aa","ss",2082,.3952797,-.1206554,.1788764,.5878575,6.723
"vv","aa","ss",2083,.4083605,-.1447614,.1837257,.5288975,6.883
"vv","aa","ss",2084,.424137,-.1535504,.1855662,.6570405,7.033
"vv","aa","ss",2085,.4261209,-.1523236,.1849865,.5746435,7.183
"vv","aa","ss",2086,.4388756,-.1574818,.1855887,.68,7.303
"vv","aa","ss",2087,.4698261,-.1835071,.1907016,.68,7.433
"vv","aa","ss",2088,.4980811,-.1925049,.1928687,.6326565,7.553
"vv","aa","ss",2089,.4946012,-.1857665,.1926775,.6408665,7.773
"vv","aa","ss",2090,.4996956,-.1900637,.1959648,.69,7.902999
"vv","aa","ss",2091,.485824,-.1997255,.199089,.5692105,8.033
"vv","aa","ss",2092,.4559517,-.1865172,.1983951,.5683865,8.163
"vv","aa","ss",2093,.4438324,-.1971863,.2012915,.6647915,8.283
"vv","aa","ss",2094,.4598693,-.2138094,.2037174,.69,8.403
"vv","aa","ss",2095,.4480494,-.2118917,.2030086,.5614595,8.513
"vv","aa","ss",2096,.4403478,-.2070441,.2026202,.5649685,8.653
"vv","aa","ss",2097,.4366751,-.2124537,.2032856,.6889615,8.873
"vv","aa","ss",2098,.4287032,-.2009365,.2010832,.69,9.073
"vv","aa","ss",2099,.4240336,-.2029084,.2052719,0,11
