ph1,ph2,ph3,year,cons,beta1,beta2,anomalymin,anomalymax
"vv","aa","ss",2015,-.0060495,.007541,.2295534,-.1475855,.4415223
"vv","aa","ss",2016,-.0025232,.0739017,-.0447149,-.0435825,.5393157
"vv","aa","ss",2017,-.0062558,.1526956,-.2965131,-.0187437,.4121522
"vv","aa","ss",2018,-.0037235,.1502715,-.322993,-.0318357,.5642603
"vv","aa","ss",2019,-.0067545,.215816,-.4653674,-.1148715,.5969753
"vv","aa","ss",2020,.0038836,.1526193,-.3145362,-.0001255,.5601413
"vv","aa","ss",2021,.0067691,.1408357,-.2172962,.0586825,.6929744
"vv","aa","ss",2022,.0087036,.1626715,-.2345863,-.0393405,.7371423
"vv","aa","ss",2023,.0252324,.0810585,-.102055,.0350583,.7552702
"vv","aa","ss",2024,.0152684,.1259654,-.103082,.1639829,.7773013
"vv","aa","ss",2025,-.0008364,.1875864,-.135211,.1467255,.8856723
"vv","aa","ss",2026,.0279377,.0895256,-.0602873,.1196255,.9820064
"vv","aa","ss",2027,.0314372,.0928189,-.046303,.1614349,1.035269
"vv","aa","ss",2028,.028526,.142594,-.0932136,.1199315,.9727083
"vv","aa","ss",2029,.0661469,-.0022241,.048908,.2484673,1.009417
"vv","aa","ss",2030,.0905329,-.0316357,.0405102,.2434665,1.036
"vv","aa","ss",2031,.1545466,-.2664542,.2525661,.2831849,1.086
"vv","aa","ss",2032,.155839,-.2535591,.2384714,.2354705,1.146
"vv","aa","ss",2033,.1322625,-.1682178,.18169,.1482515,1.206
"vv","aa","ss",2034,.1427065,-.1816609,.1862588,.2427335,1.256
"vv","aa","ss",2035,.1396296,-.1648747,.2040647,.2774935,1.316
"vv","aa","ss",2036,.0944142,-.0405065,.127515,.2354095,1.376
"vv","aa","ss",2037,.1177511,-.0513905,.1140321,.1182525,1.426
"vv","aa","ss",2038,.1007468,-.013532,.1130321,.1167265,1.486
"vv","aa","ss",2039,.1087576,.0304872,.0757059,.2255215,1.536
"vv","aa","ss",2040,.1239039,.0307085,.0694237,.1780675,1.596
"vv","aa","ss",2041,.1363182,.0441112,.061556,.4144865,1.656
"vv","aa","ss",2042,.0566533,.2611687,-.0406909,.3137175,1.706
"vv","aa","ss",2043,.1219404,.1235216,.020121,.2821935,1.766
"vv","aa","ss",2044,.1526497,.0028385,.1091752,.2434665,1.826
"vv","aa","ss",2045,.1303166,.0237345,.1017017,.2779205,1.906
"vv","aa","ss",2046,.1881682,-.0773763,.1380287,.4751255,1.976
"vv","aa","ss",2047,.1830313,-.1064156,.1719171,.5,2.056
"vv","aa","ss",2048,.119917,-.004175,.1427689,.5077485,2.106
"vv","aa","ss",2049,.0880779,.0569007,.1176176,.3319065,2.156
"vv","aa","ss",2050,.035998,.1896321,.057667,.5136995,2.206
"vv","aa","ss",2051,.027834,.195732,.0666302,.54,2.256
"vv","aa","ss",2052,.1175762,.0401941,.1279258,.55,2.306
"vv","aa","ss",2053,.2043336,-.0305803,.1396513,.56,2.346
"vv","aa","ss",2054,.2442286,-.0939101,.1703448,.57,2.396
"vv","aa","ss",2055,.2214765,-.1071798,.2051921,.58,2.446
"vv","aa","ss",2056,.1379237,.0487954,.1463636,.5668915,2.486
"vv","aa","ss",2057,.1885383,.0192858,.1509972,.4566315,2.526
"vv","aa","ss",2058,.1888326,-.0028514,.1839257,.5690279,2.576
"vv","aa","ss",2059,.2153049,.0091502,.1752496,.61,2.616
"vv","aa","ss",2060,.2472567,.0408797,.156184,.61,2.666
"vv","aa","ss",2061,.1851624,.1474649,.1392182,.62,2.706
"vv","aa","ss",2062,.1796,.1910796,.132159,.4280365,2.756
