ph1,ph2,ph3,year,cons,beta1,beta2,anomalymin,anomalymax
"vv","aa","ss",2015,.0017827,.0094233,.1568328,-.1475855,.6120303
"vv","aa","ss",2016,.0027142,.0283725,.0931871,-.1465827,.5393157
"vv","aa","ss",2017,.0008903,.0879245,-.1124333,-.0514101,.5996702
"vv","aa","ss",2018,.0043818,.069515,-.1368594,-.0322141,.5642603
"vv","aa","ss",2019,.0042021,.0842946,-.172568,-.1148715,.674127
"vv","aa","ss",2020,.009643,.0945516,-.1754533,-.0691401,.714441
"vv","aa","ss",2021,.0200051,.0521733,-.0849046,.0586825,.750299
"vv","aa","ss",2022,.0205832,.108074,-.1734392,-.0393405,.7959229
"vv","aa","ss",2023,.0412365,.0453709,-.0903901,.0350583,.831049
"vv","aa","ss",2024,.0458946,.0283769,-.0424666,.1639829,.7773013
"vv","aa","ss",2025,.0337482,.0531921,-.0311797,.1467255,.8871613
"vv","aa","ss",2026,.0549068,-.0073207,.0060673,.1196255,1.026382
"vv","aa","ss",2027,.0391964,.0754675,-.0559758,.1614349,1.07991
"vv","aa","ss",2028,.042715,.0802131,-.0491282,.1199315,1.121271
"vv","aa","ss",2029,.051906,.0430674,-.0064785,.2484673,1.072992
"vv","aa","ss",2030,.1120824,-.1454225,.1323983,.1377079,1.201318
"vv","aa","ss",2031,.1059693,-.1248554,.1372157,.2831849,1.173
"vv","aa","ss",2032,.0869938,-.0526396,.0883389,.2354705,1.288705
"vv","aa","ss",2033,.0782548,-.0510054,.102374,.1482515,1.361282
"vv","aa","ss",2034,.0757727,-.0104841,.0717657,.2427335,1.368209
"vv","aa","ss",2035,.0558953,.0605308,.0357486,.2774935,1.443
"vv","aa","ss",2036,.03813,.0970597,.016792,.2354095,1.513
"vv","aa","ss",2037,.0596456,.0628303,.0279035,.1182525,1.593
"vv","aa","ss",2038,.058364,.0782096,.0293499,.1167265,1.663
"vv","aa","ss",2039,.0755473,.0591289,.0382415,.2255215,1.733
"vv","aa","ss",2040,.1096288,-.0125262,.0770852,.1780675,1.813
"vv","aa","ss",2041,.1443453,-.0722628,.1125648,.4144865,1.893
"vv","aa","ss",2042,.1183989,.0045029,.0831501,.3137175,1.983
"vv","aa","ss",2043,.1617481,-.0861638,.1229676,.2821935,2.073
"vv","aa","ss",2044,.1352938,-.0479566,.1144012,.2434665,2.173
"vv","aa","ss",2045,.1035219,.0033463,.0924887,.2779205,2.273
"vv","aa","ss",2046,.1567602,-.0951872,.130744,.4751255,2.353
"vv","aa","ss",2047,.1564277,-.1004389,.1370074,.5,2.443
"vv","aa","ss",2048,.1302097,-.0674997,.1292715,.5077485,2.533
"vv","aa","ss",2049,.1013746,-.0271501,.1173783,.3319065,2.623
"vv","aa","ss",2050,.1190048,-.0506827,.1284548,.5136995,2.703
"vv","aa","ss",2051,.1127551,-.0398325,.1266302,.54,2.783
"vv","aa","ss",2052,.0938425,-.007879,.1137276,.55,2.863
"vv","aa","ss",2053,.1669192,-.0842911,.1357475,.56,2.983
"vv","aa","ss",2054,.1889976,-.1095975,.1456514,.57,3.083
"vv","aa","ss",2055,.1461858,-.0477274,.1320388,.58,3.173
"vv","aa","ss",2056,.150609,-.0469886,.132653,.5668915,3.273
"vv","aa","ss",2057,.1842822,-.0778934,.1417715,.4566315,3.373
"vv","aa","ss",2058,.1557991,-.0351252,.1349371,.5690279,3.463
"vv","aa","ss",2059,.1858853,-.0499617,.1393328,.61,3.583
"vv","aa","ss",2060,.2134294,-.054635,.1374154,.61,3.713
"vv","aa","ss",2061,.2199857,-.04952,.1411097,.62,3.803
"vv","aa","ss",2062,.2351493,-.0363829,.1390499,.4280365,3.903
"vv","aa","ss",2063,.3037687,-.0913442,.1488866,.4245885,3.993
"vv","aa","ss",2064,.2990582,-.060991,.1418813,.64,4.123
"vv","aa","ss",2065,.3232883,-.0810884,.1478455,.6196865,4.263
"vv","aa","ss",2066,.3990311,-.1503915,.1622933,.65,4.423
"vv","aa","ss",2067,.3799344,-.1220801,.1555182,.65,4.603
