year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax
2015,"ss","value",0,.0338485,-.0983988,.0929553,.4047082
2016,"ss","value",0,.0968093,-.3256628,.1043945,.452688
2017,"ss","value",0,.0831236,-.2827754,.1150177,.4898569
2018,"ss","value",0,.0899698,-.2460199,.1313385,.5439752
2019,"ss","value",0,.1135605,-.2932122,.1356659,.5908411
2020,"ss","value",0,.1003884,-.2334377,.1499573,.6200281
2021,"ss","value",0,.094004,-.1551914,.1627564,.6496592
2022,"ss","value",0,.1042497,-.1406753,.185022,.6868663
2023,"ss","value",0,.0726428,-.0537865,.2035401,.7117258
2024,"ss","value",0,.0601638,.0132813,.2167926,.7473537
2025,"ss","value",0,.0683776,.0216299,.2303988,.7808254
2026,"ss","value",0,.090375,-.0140839,.25,.816
2027,"ss","value",0,.089578,-.0020385,.27,.876
2028,"ss","value",0,.1029708,-.0124612,.2737382,.9260001
2029,"ss","value",0,.0710283,.0491966,.2793244,.976
2030,"ss","value",0,.1388779,-.0403844,.296344,1.036
2031,"ss","value",0,.1197602,.0146169,.3052537,1.086
2032,"ss","value",0,.1319139,.0142249,.3230438,1.146
2033,"ss","value",0,.1557438,-.0097486,.34,1.206
2034,"ss","value",0,.1458857,-.0047539,.3436951,1.256
2035,"ss","value",0,.1075828,.0696234,.3410126,1.316
2036,"ss","value",0,.1098775,.0765547,.3475724,1.376
2037,"ss","value",0,.1425381,.0473858,.3653474,1.426
2038,"ss","value",0,.1458862,.0557163,.3843217,1.486
2039,"ss","value",0,.1957191,.0246605,.4037126,1.536
2040,"ss","value",0,.2310145,-.0068433,.4052308,1.596
2041,"ss","value",0,.2588652,-.0310546,.4187425,1.656
2042,"ss","value",0,.282049,-.0323498,.4325287,1.706
2043,"ss","value",0,.2882142,-.0253545,.46,1.766
2044,"ss","value",0,.2425504,.0291992,.47,1.826
2045,"ss","value",0,.2344554,.047602,.48,1.906
2046,"ss","value",0,.2485772,.0479179,.49,1.976
2047,"ss","value",0,.2304374,.0758513,.5,2.056
2048,"ss","value",0,.2364631,.0845518,.51,2.106
2049,"ss","value",0,.2601734,.080122,.52,2.156
2050,"ss","value",0,.3187135,.0457941,.53,2.206
2051,"ss","value",0,.3287586,.0618223,.54,2.256
2052,"ss","value",0,.3291856,.0722357,.55,2.306
2053,"ss","value",0,.3889615,.0453843,.56,2.346
2054,"ss","value",0,.3978827,.048458,.57,2.396
2055,"ss","value",0,.3339196,.1027128,.58,2.446
2056,"ss","value",0,.341752,.0937858,.59,2.486
2057,"ss","value",0,.3644697,.0910405,.59,2.526
2058,"ss","value",0,.3268784,.1300361,.6,2.576
2059,"ss","value",0,.3594987,.1230717,.61,2.616
2060,"ss","value",0,.4084177,.110088,.61,2.666
2061,"ss","value",0,.4162563,.1187935,.62,2.706
2062,"ss","value",0,.4272261,.1203419,.63,2.756
2063,"ss","value",0,.4788733,.0916651,.63,2.816
2064,"ss","value",0,.4930624,.0903282,.64,2.866
2065,"ss","value",0,.4879947,.0984613,.64,2.916
2066,"ss","value",0,.5015345,.1035819,.65,2.956
2067,"ss","value",0,.4854944,.1182658,.65,3.006
2068,"ss","value",0,.4692121,.1353565,.66,3.056
2069,"ss","value",0,.446416,.1477743,.66,3.106
2070,"ss","value",0,.4483296,.1494066,.66,3.156
2071,"ss","value",0,.4397008,.1566828,.67,3.206
2072,"ss","value",0,.4475482,.1619365,.67,3.246
2073,"ss","value",0,.4739914,.1485222,.67,3.286
2074,"ss","value",0,.4649183,.1597121,.67,3.326
2075,"ss","value",0,.4535548,.1780056,.68,3.366
2076,"ss","value",0,.470493,.1762292,.68,3.406
2077,"ss","value",0,.4628174,.1818821,.68,3.446
2078,"ss","value",0,.4257467,.2171013,.68,3.476
2079,"ss","value",0,.438382,.217723,.68,3.516
2080,"ss","value",0,.4589092,.2071285,.68,3.546
2081,"ss","value",0,.4567703,.2138435,.68,3.596
2082,"ss","value",0,.463426,.215412,.68,3.636
2083,"ss","value",0,.4723381,.2049432,.68,3.666
2084,"ss","value",0,.4776565,.2118661,.68,3.696
2085,"ss","value",0,.4641612,.2187914,.68,3.726
2086,"ss","value",0,.4719837,.2133259,.68,3.756
2087,"ss","value",0,.4878662,.2093974,.68,3.786
2088,"ss","value",0,.510981,.2010964,.69,3.816
2089,"ss","value",0,.5184318,.1945272,.69,3.846
2090,"ss","value",0,.5303165,.1907702,.69,3.876
2091,"ss","value",0,.5143704,.1973594,.69,3.906
2092,"ss","value",0,.487832,.2070952,.69,3.936
2093,"ss","value",0,.4779059,.2156679,.69,3.966
2094,"ss","value",0,.4941743,.2056358,.69,3.986
2095,"ss","value",0,.4862144,.2077496,.69,4.016
2096,"ss","value",0,.4870769,.215472,.69,4.046
2097,"ss","value",0,.4988962,.2176228,.69,4.076
2098,"ss","value",0,.4990626,.2176412,.69,4.106
2099,"ss","value",0,.4724403,.235815,.69,4.126
2100,"ss","value",0,.4887826,.2256501,0,11
2101,"ss","value",0,.4881503,.2275788,0,11
2102,"ss","value",0,.4875181,.2295074,0,11
2103,"ss","value",0,.4868859,.2314361,0,11
2104,"ss","value",0,.4862537,.2333647,0,11
2105,"ss","value",0,.4856215,.2352933,0,11
2106,"ss","value",0,.4849893,.237222,0,11
2107,"ss","value",0,.4843571,.2391506,0,11
2108,"ss","value",0,.4837248,.2410793,0,11
2109,"ss","value",0,.4830926,.2430079,0,11
2110,"ss","value",0,.4824604,.2449366,0,11
2111,"ss","value",0,.4818282,.2468652,0,11
2112,"ss","value",0,.481196,.2487938,0,11
2113,"ss","value",0,.4805638,.2507225,0,11
2114,"ss","value",0,.4799316,.2526511,0,11
2115,"ss","value",0,.4792993,.2545798,0,11
2116,"ss","value",0,.4786671,.2565084,0,11
2117,"ss","value",0,.4780349,.258437,0,11
2118,"ss","value",0,.4774027,.2603657,0,11
2119,"ss","value",0,.4767705,.2622943,0,11
2120,"ss","value",0,.4761383,.264223,0,11
2121,"ss","value",0,.475506,.2661516,0,11
2122,"ss","value",0,.4748738,.2680803,0,11
2123,"ss","value",0,.4742416,.2700089,0,11
2124,"ss","value",0,.4736094,.2719375,0,11
2125,"ss","value",0,.4729772,.2738662,0,11
2126,"ss","value",0,.472345,.2757948,0,11
2127,"ss","value",0,.4717128,.2777235,0,11
