,discount_type,ssp,year,global_cons_constant_model_collapsed
394,constant_model_collapsed,SSP3,2133,400945643930500.94
395,constant_model_collapsed,SSP3,2134,402731484594577.8
396,constant_model_collapsed,SSP3,2135,404525279521098.44
397,constant_model_collapsed,SSP3,2136,406327064138918.3
398,constant_model_collapsed,SSP3,2137,408136874034695.7
399,constant_model_collapsed,SSP3,2138,409954744953594.4
400,constant_model_collapsed,SSP3,2139,411780712799989.8
401,constant_model_collapsed,SSP3,2140,413614813638177.9
402,constant_model_collapsed,SSP3,2141,415457083693087.6
403,constant_model_collapsed,SSP3,2142,417307559350996.3
404,constant_model_collapsed,SSP3,2143,419166277160248.4
405,constant_model_collapsed,SSP3,2144,421033273831977.3
406,constant_model_collapsed,SSP3,2145,422908586240830.75
407,constant_model_collapsed,SSP3,2146,424792251425698.1
408,constant_model_collapsed,SSP3,2147,426684306590443.3
409,constant_model_collapsed,SSP3,2148,428584789104638.44
410,constant_model_collapsed,SSP3,2149,430493736504302.75
411,constant_model_collapsed,SSP3,2150,432411186492643.44
412,constant_model_collapsed,SSP3,2151,434337176940800.44
413,constant_model_collapsed,SSP3,2152,436271745888594.44
414,constant_model_collapsed,SSP3,2153,438214931545278.4
415,constant_model_collapsed,SSP3,2154,440166772290291.9
416,constant_model_collapsed,SSP3,2155,442127306674019.3
417,constant_model_collapsed,SSP3,2156,444096573418551.25
418,constant_model_collapsed,SSP3,2157,446074611418449.06
419,constant_model_collapsed,SSP3,2158,448061459741513.56
420,constant_model_collapsed,SSP3,2159,450057157629556.3
421,constant_model_collapsed,SSP3,2160,452061744499174.6
422,constant_model_collapsed,SSP3,2161,454075259942530.0
423,constant_model_collapsed,SSP3,2162,456097743728130.6
424,constant_model_collapsed,SSP3,2163,458129235801616.3
425,constant_model_collapsed,SSP3,2164,460169776286547.44
426,constant_model_collapsed,SSP3,2165,462219405485197.94
427,constant_model_collapsed,SSP3,2166,464278163879350.75
428,constant_model_collapsed,SSP3,2167,466346092131097.5
429,constant_model_collapsed,SSP3,2168,468423231083641.94
430,constant_model_collapsed,SSP3,2169,470509621762106.2
431,constant_model_collapsed,SSP3,2170,472605305374341.25
432,constant_model_collapsed,SSP3,2171,474710323311740.94
433,constant_model_collapsed,SSP3,2172,476824717150059.1
434,constant_model_collapsed,SSP3,2173,478948528650231.25
435,constant_model_collapsed,SSP3,2174,481081799759198.94
436,constant_model_collapsed,SSP3,2175,483224572610738.4
437,constant_model_collapsed,SSP3,2176,485376889526292.6
438,constant_model_collapsed,SSP3,2177,487538793015807.6
439,constant_model_collapsed,SSP3,2178,489710325778571.7
440,constant_model_collapsed,SSP3,2179,491891530704058.44
441,constant_model_collapsed,SSP3,2180,494082450872774.8
442,constant_model_collapsed,SSP3,2181,496283129557111.2
443,constant_model_collapsed,SSP3,2182,498493610222196.1
444,constant_model_collapsed,SSP3,2183,500713936526755.25
445,constant_model_collapsed,SSP3,2184,502944152323973.06
446,constant_model_collapsed,SSP3,2185,505184301662359.44
447,constant_model_collapsed,SSP3,2186,507434428786619.44
448,constant_model_collapsed,SSP3,2187,509694578138527.3
449,constant_model_collapsed,SSP3,2188,511964794357803.75
450,constant_model_collapsed,SSP3,2189,514245122282998.5
451,constant_model_collapsed,SSP3,2190,516535606952375.2
452,constant_model_collapsed,SSP3,2191,518836293604801.0
453,constant_model_collapsed,SSP3,2192,521147227680640.44
454,constant_model_collapsed,SSP3,2193,523468454822652.5
455,constant_model_collapsed,SSP3,2194,525800020876892.7
456,constant_model_collapsed,SSP3,2195,528141971893617.44
457,constant_model_collapsed,SSP3,2196,530494354128194.94
458,constant_model_collapsed,SSP3,2197,532857214042017.9
459,constant_model_collapsed,SSP3,2198,535230598303421.44
460,constant_model_collapsed,SSP3,2199,537614553788604.6
461,constant_model_collapsed,SSP3,2200,540009127582556.75
462,constant_model_collapsed,SSP3,2201,542414366979986.75
463,constant_model_collapsed,SSP3,2202,544830319486257.9
464,constant_model_collapsed,SSP3,2203,547257032818325.44
465,constant_model_collapsed,SSP3,2204,549694554905679.5
466,constant_model_collapsed,SSP3,2205,552142933891291.7
467,constant_model_collapsed,SSP3,2206,554602218132565.9
468,constant_model_collapsed,SSP3,2207,557072456202292.9
469,constant_model_collapsed,SSP3,2208,559553696889610.8
470,constant_model_collapsed,SSP3,2209,562045989200967.7
471,constant_model_collapsed,SSP3,2210,564549382361089.9
