"","bin","T[2099]","T[2015]","T[diff]","beta^F","beta^I","beta^N","beta^F*T[2099]-beta^I*T[2015]","beta^I*T[2099]-beta^I*T[2015]","beta^N*T[2099]-beta^N*T[2015]"
"1","(18,19]","0","1","-1","2.96","2.96","1.66","-2.96","-2.96","-1.66"
"2","(19,20]","0","2","-2","2.61","2.61","1.47","-5.23","-5.23","-2.93"
"3","(20,21]","1","2","-1","2.26","2.26","1.27","-2.26","-2.26","-1.27"
"4","(21,22]","1","1","0","1.92","1.92","1.07","0","0","0"
"5","(22,23]","2","3","-1","1.57","1.57","0.88","-1.57","-1.57","-0.88"
"6","(23,24]","2","5","-3","1.22","1.22","0.68","-3.66","-3.66","-2.05"
"7","(24,25]","1","15","-14","0.87","0.87","0.49","-12.2","-12.2","-6.84"
"8","(25,26]","3","15","-12","0.52","0.52","0.29","-6.27","-6.27","-3.52"
"9","(26,27]","2","18","-16","0.17","0.17","0.1","-2.79","-2.79","-1.56"
"10","(27,28]","20","10","10","-0.17","-0.17","-0.1","-1.73","-1.73","-0.97"
"11","(28,29]","20","18","2","-0.5","-0.5","-0.28","-1","-1","-0.55"
"12","(29,30]","25","14","11","-0.76","-0.76","-0.41","-8.35","-8.35","-4.54"
"13","(30,31]","15","28","-13","-0.91","-0.91","-0.48","11.86","11.86","6.18"
"14","(31,32]","15","4","11","-0.91","-0.91","-0.44","-10.06","-10.06","-4.81"
"15","(32,33]","22","6","16","-0.72","-0.72","-0.27","-11.58","-11.58","-4.27"
"16","(33,34]","11","13","-2","-0.3","-0.3","0.06","0.59","0.59","-0.13"
"17","(34,35]","11","17","-6","0.41","0.41","0.58","-2.47","-2.47","-3.49"
"18","(35,36]","6","10","-4","1.44","1.44","1.32","-5.76","-5.76","-5.28"
"19","(36,37]","13","16","-3","2.84","2.84","2.3","-8.51","-8.51","-6.91"
"20","(37,38]","20","22","-2","4.64","4.64","3.56","-9.27","-9.27","-7.13"
"21","(38,39]","12","10","2","6.75","6.75","5.04","13.5","13.5","10.07"
"22","(39,40]","11","23","-12","8.98","8.98","6.58","-107.75","-107.75","-79.01"
"23","(40,41]","12","36","-24","11.21","11.21","8.14","-269.07","-269.07","-195.26"
"24","(41,42]","13","39","-26","13.44","13.44","9.69","-349.53","-349.53","-251.87"
"25","(42,43]","21","23","-2","15.68","15.68","11.24","-31.35","-31.35","-22.48"
"26","(43,44]","27","13","14","17.91","17.91","12.79","250.72","250.72","179.07"
"27","(44,45]","26","1","25","20.14","20.14","14.34","503.52","503.52","358.56"
"28","(45,46]","36","0","36","22.37","22.37","15.89","805.43","805.43","572.18"
"29","(46,47]","17","0","17","24.61","24.61","17.45","418.29","418.29","296.58"
"30","Total <20C","","","","","","","-8.19","-8.19","-4.59"
"31","Total >20C","","","","","","","1158.73","1158.73","819.82"
"32","Total","","","","","","","1150.54","1150.54","815.23"
