time_cut,discrate,rcp45,rcp85
all,1.0,-57.214053300713864,114.65729443414477
all,2.0,-10.188921350341658,27.955538980021178
all,2.5,-4.666920121849419,16.01991688457074
all,3.0,-2.2453129012026616,9.934965876301135
all,5.0,-0.2756152782248554,2.4141904529881097
post2099,1.0,-58.64987934859399,100.82973533044282
post2099,2.0,-10.955862467845915,19.887066909376756
post2099,2.5,-5.206440861140049,9.792178220541944
post2099,3.0,-2.6073498624497913,5.095600462665395
post2099,5.0,-0.2367842971092712,0.5394990828120233
pre2099,1.0,1.4358260478801275,13.827559103701969
pre2099,2.0,0.766941117504257,8.068472070644418
pre2099,2.5,0.5395207392906296,6.227738664028797
pre2099,3.0,0.36203696124712936,4.839365413635739
pre2099,5.0,-0.038830981115584126,1.8746913701760868
share_post2099,1.0,1.025095688297655,0.8794009646578218
share_post2099,2.0,1.0752720617947,0.7113819885064399
share_post2099,2.5,1.1156053082555926,0.6112502512402597
share_post2099,3.0,1.1612412065388353,0.5128956179729253
share_post2099,5.0,0.8591116524247808,0.22346997609251187
