,year,ce_damages,reg_damages,fair_temperatures_anomaly_rcp,diff,level_ce,level_reg,slope_ce,slope_reg
95,2110,0.00111871521381246,0.001118749583014056,1.3670715,-3.436920159582968e-08,0.6186186230218852,0.6304707321580978,0.8185458843666863,0.818579672776
100,2115,0.001200867033181452,0.0012009435766269227,1.4089973999999998,-7.654344547081138e-08,0.6723425108526925,0.6864637155617681,0.8746252872390851,0.8746907587396799
101,2116,0.001212181233808396,0.0012123863060401474,1.4103004,-2.050722317514797e-07,0.6772783890094287,0.6918557852061157,0.8820934829634977,0.8822526907420799
102,2117,0.0012231318337839747,0.0012234789543037472,1.4108704,-3.4712051977248137e-07,0.6815808761639026,0.6966142026754467,0.8891546862105638,0.8894172660448001
103,2118,0.0012339498293443274,0.0012344407728464013,1.4113508,-4.909435020739039e-07,0.6858109306001672,0.7013004181785383,0.8961703344359394,0.8965373914350399
104,2119,0.0012455091878665892,0.0012461253936061345,1.4127159,-6.162057395453502e-07,0.6908468774140616,0.7067930989880553,0.903710881604967,0.9041687459977202
105,2120,0.0012597933788057736,0.0012604629382146904,1.4173639999999998,-6.695594089167756e-07,0.6988972232810192,0.7153021094369816,0.913213286394012,0.9137096386664
106,2121,0.001277463436852977,0.0012780950963711124,1.4259917,-6.316595181354856e-07,0.7107003364673018,0.7275665609644626,0.9251509464399256,0.9256195987004799
107,2122,0.00129803034497189,0.001298543837038868,1.4378886,-5.134920669780385e-07,0.725732820518845,0.7430624475170716,0.9391630115352052,0.9395459148310399
108,2123,0.0013152129461987405,0.001315698349565464,1.4453938,-4.854033667234248e-07,0.7368340248725254,0.7546257290555027,0.950632476491301,0.9509949107151598
109,2124,0.0013324887957307796,0.0013329440710299068,1.452718,-4.552752991271447e-07,0.7478995296383417,0.7661538397765995,0.962076526090514,0.9624170373800001
110,2125,0.001345869434275948,0.001346392071130853,1.4556832,-5.226368549049454e-07,0.7548622177113541,0.7735782173692848,0.9708955368681673,0.9712845964544
111,2126,0.0013569093356627926,0.0013575692002070205,1.4556537,-6.598645442279505e-07,0.758940602101325,0.7781172748693176,0.9778702508741715,0.9783580881330601
112,2127,0.001367353157606166,0.001368164964390961,1.4550363000000002,-8.118067847950883e-07,0.7624396936708868,0.7820766857904276,0.9844725239367705,0.98506957996328
113,2128,0.001377785878080795,0.001378756947719273,1.4541746000000002,-9.710696384779283e-07,0.7656882970738711,0.7857853730849104,0.9909116932383504,0.9916229337249601
114,2129,0.001389414599383021,0.0013905089468176923,1.4547521,-1.0943474346714055e-06,0.7703613780123324,0.7909194576288646,0.9982684033125299,0.9990677743957401
115,2130,0.0014040668458742411,0.0014051954818312673,1.4587476000000001,-1.1286359570261695e-06,0.778483791774245,0.7995059061778301,1.0078538788132954,1.0086773598971202
116,2131,0.0014250570290904596,0.001426036588679347,1.4695791999999999,-9.79559588887291e-07,0.7936435626043845,0.8151355968338783,1.0219686932715961,1.0226846825094398
117,2132,0.0014457346510595714,0.0014465707111698256,1.4798447,-8.360601102541665e-07,0.8084470111800095,0.8304083722146284,1.0358331445702547,1.0364458407155
118,2133,0.0014664440925600264,0.001467132581600472,1.4899293,-6.884890404457167e-07,0.8232766990902222,0.8457069889938407,1.0496945523642784,1.05020123276624
119,2134,0.0014839872045822045,0.0014846254003838544,1.4962122,-6.381958016499212e-07,0.8342803635428108,0.8571780990783622,1.0611128022587666,1.06158319995136
120,2135,0.00149760452346126,0.00149830059418532,1.4984455,-6.960707240599717e-07,0.8410633435496101,0.8644266955282224,1.069854253077149,1.0703658120973
