ISO,RMSE (unint), RMSE (int)
BRA,709.9783585049956, 714.1416212743339
ESP,406.631115134258, 404.5152261325466
FRA,417.299889115851, 420.6874219713692
GBR,418.1541406446655, 417.0645607944439
IND,472.057558451402, 473.8926499493215
MEX,1004.68915277917, 1003.386532332893
USA,495.4223250224645, 500.9921768365576
drop_BRA_MEX,470.0776337846792, 473.5849446449529
all_ISOs,836.9923451036362, 838.46858031766
