year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax
2015,"ss","value",0,.1379248,-.3333111,.0913345,.3942165
2016,"ss","value",0,.0999424,-.1660626,.1049561,.4366802
2017,"ss","value",0,.0934219,-.1613679,.1205384,.4804653
2018,"ss","value",0,.0908708,-.1681891,.1484467,.535368
2019,"ss","value",0,.0749224,-.1155022,.1803589,.5882549
2020,"ss","value",0,.1234878,-.1863469,.1993836,.6357951
2021,"ss","value",0,.0944045,-.0897117,.2071762,.6857845
2022,"ss","value",0,.1520568,-.1732219,.2330613,.7193935
2023,"ss","value",0,.1949756,-.2104167,.2598542,.7588283
2024,"ss","value",0,.2170496,-.2119027,.2800279,.8046947
2025,"ss","value",0,.1732354,-.1132091,.302,.8440318
2026,"ss","value",0,.1832653,-.1296398,.3145173,.8832209
2027,"ss","value",0,.2045796,-.1478017,.3392319,.9260995
2028,"ss","value",0,.1669205,-.069105,.362,.983
2029,"ss","value",0,.1383633,-.0239843,.382,1.043
2030,"ss","value",0,.0841402,.0639367,.402,1.103
2031,"ss","value",0,.1107747,.0632071,.422,1.173
2032,"ss","value",0,.1611961,.0291027,.452,1.233
2033,"ss","value",0,.1332822,.0638361,.472,1.303
2034,"ss","value",0,.2101605,-.000573,.492,1.363
2035,"ss","value",0,.2061513,.0160519,.512,1.443
2036,"ss","value",0,.1882781,.0417095,.532,1.513
2037,"ss","value",0,.1804624,.0534674,.552,1.593
2038,"ss","value",0,.2664123,.0028101,.582,1.663
2039,"ss","value",0,.2826751,.0084868,.602,1.733
2040,"ss","value",0,.2785747,.0233395,.622,1.813
2041,"ss","value",0,.2879029,.0373637,.652,1.893
2042,"ss","value",0,.3104088,.0506212,.672,1.983
2043,"ss","value",0,.302123,.07399,.692,2.073
2044,"ss","value",0,.3134899,.0777408,.722,2.173
2045,"ss","value",0,.3274525,.0841057,.742,2.273
2046,"ss","value",0,.287278,.1257535,.772,2.353
2047,"ss","value",0,.2946058,.1306634,.792,2.443
2048,"ss","value",0,.2818784,.1449023,.822,2.533
2049,"ss","value",0,.2824005,.1572553,.8419999,2.623
