,SDN.4.11.49.163,THA.3.R3edeff05b7928bfc,USA.5.221,CAN.3.50.1276
beta^F*T[2099]-beta^I*T[2015]_high_-20C,-23.929643835616442,-16.779726027397263,11.417863013698621,20.041999999999994
beta^F*T[2099]-beta^I*T[2015]_low_-20C,-4.5944657534246565,-3.129726027397259,2.531917808219177,4.482767123287672
high_risk_term_-20C,-16.996547766894512,-5.575437512479422,0.5302926199125922,2.0144198011308903
low_risk_term_-20C,-1.3311469519464938,-2.089804789497426,2.414325118709917,4.032204461618645
extra_term_-20C,31.08828386066516,20.538934383151037,0.0,6.1217552904721195
comb_response_-20C,12.76058914182415,12.8736920811742,2.9446177386225103,12.168379553221655
beta^F*T[2099]-beta^I*T[2015]_high_0C,-23.929643835616442,-16.779726027397253,11.417863013698632,20.041999999999998
beta^F*T[2099]-beta^I*T[2015]_low_0C,-4.594465753424657,-3.1297260273972607,2.531917808219177,4.482767123287672
high_risk_term_0C,-16.99654776689451,-5.575437512479414,0.5302926199125918,2.0144198011308907
low_risk_term_0C,-1.3311469519464936,-2.089804789497429,2.414325118709915,4.032204461618646
extra_term_0C,16.32662780106933,11.838285405969273,0.0,2.1139863459631005
comb_response_0C,-2.001066917771674,4.173043103992431,2.944617738622507,8.160610608712638
beta^F*T[2099]-beta^I*T[2015]_high_10C,-23.92964383561644,-16.779726027397263,11.417863013698632,20.041999999999998
beta^F*T[2099]-beta^I*T[2015]_low_10C,-4.594465753424657,-3.1297260273972625,2.5319178082191782,4.482767123287672
high_risk_term_10C,-16.996547766894512,-5.575437512479415,0.5302926199125917,2.014419801130891
low_risk_term_10C,-1.3311469519464938,-2.089804789497428,2.4143251187099173,4.032204461618646
extra_term_10C,8.94580046825583,7.487961328187089,0.0,0.11010206293888315
comb_response_10C,-9.381894250585173,-0.17728097378975485,2.9446177386225085,6.156726325688418
beta^F*T[2099]-beta^I*T[2015]_high_20C,-23.92964383561644,-16.77972602739726,11.417863013698629,20.041999999999998
beta^F*T[2099]-beta^I*T[2015]_low_20C,-4.594465753424657,-3.1297260273972602,2.5319178082191782,4.482767123287672
high_risk_term_20C,-16.99654776689451,-5.575437512479417,0.5302926199125919,2.0144198011308903
low_risk_term_20C,-1.3311469519464938,-2.0898047894974274,2.4143251187099173,4.032204461618646
extra_term_20C,1.5649715622489455,3.1376363231509874,0.0,-1.893782647205135
comb_response_20C,-16.76272315659206,-4.527605978825858,2.944617738622508,4.1528416155444
beta^F*T[2099]-beta^I*T[2015]_high_40C,-23.92964383561644,-16.779726027397263,11.417863013698632,20.041999999999998
beta^F*T[2099]-beta^I*T[2015]_low_40C,-4.594465753424657,-3.1297260273972607,2.5319178082191782,4.482767123287672
high_risk_term_40C,-16.99654776689451,-5.575437512479417,0.5302926199125917,2.0144198011308907
low_risk_term_40C,-1.3311469519464938,-2.089804789497428,2.414325118709917,4.032204461618646
extra_term_40C,0.4329107043111093,2.470389768566649,0.0,-2.2011355845327993
comb_response_40C,-17.894784014529897,-5.194852533410196,2.944617738622508,3.8454886782167375
beta^F*T[2099]-beta^I*T[2015]_high_27C,-23.92964383561644,-16.77972602739726,11.417863013698629,20.041999999999998
beta^F*T[2099]-beta^I*T[2015]_low_27C,-4.594465753424657,-3.1297260273972602,2.5319178082191782,4.482767123287672
high_risk_term_27C,-16.99654776689451,-5.575437512479417,0.5302926199125917,2.014419801130891
low_risk_term_27C,-1.3311469519464936,-2.0898047894974274,2.4143251187099173,4.032204461618646
extra_term_27C,-3.1637745497259373,0.35047207434291705,0.0,-3.1776305933656963
comb_response_27C,-21.49146926856694,-7.314770227633927,2.9446177386225085,2.86899366938384
