,SDN.4.11.49.163,THA.3.R3edeff05b7928bfc,USA.5.221,CAN.3.50.1276
beta^F*T[2099]-beta^I*T[2015]_high_-20C,-20.20945205479452,-15.867068493150686,1.8544383561643827,2.0989863013698633
beta^F*T[2099]-beta^I*T[2015]_low_-20C,-3.6253424657534246,-2.9115616438356167,0.10780821917808207,-0.03673972602739729
high_risk_term_-20C,-14.354200988183281,-5.272186729708762,0.08612776078824723,0.2109689436075214
low_risk_term_-20C,-1.0503644671750396,-1.944130385516441,0.10280116152273462,-0.0330470183107951
extra_term_-20C,2.335748424426034,3.3621465390828784,0.0,1.124549946395237
comb_response_-20C,-13.06881703093229,-3.854170576142326,0.18892892231098188,1.3024718716919634
beta^F*T[2099]-beta^I*T[2015]_high_0C,-20.209452054794518,-15.867068493150686,1.8544383561643836,2.098986301369863
beta^F*T[2099]-beta^I*T[2015]_low_0C,-3.6253424657534246,-2.9115616438356167,0.10780821917808216,-0.036739726027397286
high_risk_term_0C,-14.354200988183281,-5.272186729708764,0.08612776078824722,0.21096894360752136
low_risk_term_0C,-1.0503644671750396,-1.9441303855164414,0.10280116152273465,-0.033047018310795095
extra_term_0C,-0.35811040041424946,1.774362625516989,0.0,0.3931710485602437
comb_response_0C,-15.76267585577257,-5.441954489708215,0.18892892231098182,0.57109297385697
beta^F*T[2099]-beta^I*T[2015]_high_10C,-20.20945205479452,-15.867068493150684,1.8544383561643836,2.098986301369863
beta^F*T[2099]-beta^I*T[2015]_low_10C,-3.6253424657534246,-2.9115616438356167,0.10780821917808216,-0.03673972602739725
high_risk_term_10C,-14.354200988183281,-5.2721867297087615,0.08612776078824717,0.2109689436075214
low_risk_term_10C,-1.0503644671750396,-1.944130385516441,0.10280116152273465,-0.03304701831079508
extra_term_10C,-1.7050400020158742,0.9804705572288266,0.0,0.027481548280239316
comb_response_10C,-17.109605457374197,-6.235846557996376,0.18892892231098185,0.20540347357696562
beta^F*T[2099]-beta^I*T[2015]_high_20C,-20.209452054794518,-15.867068493150686,1.8544383561643836,2.098986301369863
beta^F*T[2099]-beta^I*T[2015]_low_20C,-3.6253424657534246,-2.9115616438356167,0.10780821917808221,-0.03673972602739726
high_risk_term_20C,-14.354200988183281,-5.272186729708763,0.0861277607882472,0.21096894360752136
low_risk_term_20C,-1.0503644671750396,-1.944130385516441,0.10280116152273462,-0.0330470183107951
extra_term_20C,-3.0519693825738714,0.1865786192257081,0.0,-0.3382078919867299
comb_response_20C,-18.456534837932196,-7.0297384959994975,0.18892892231098185,-0.16028596669000364
beta^F*T[2099]-beta^I*T[2015]_high_40C,-20.20945205479452,-15.867068493150686,1.8544383561643836,2.098986301369863
beta^F*T[2099]-beta^I*T[2015]_low_40C,-3.6253424657534246,-2.9115616438356167,0.10780821917808216,-0.03673972602739725
high_risk_term_40C,-14.354200988183281,-5.272186729708764,0.0861277607882472,0.21096894360752136
low_risk_term_40C,-1.0503644671750396,-1.944130385516441,0.10280116152273462,-0.033047018310795095
extra_term_40C,0.5818419986576109,2.3283787769953244,0.0,0.6483668083793552
comb_response_40C,-14.822723456700713,-4.88793833822988,0.18892892231098182,0.8262887336760816
beta^F*T[2099]-beta^I*T[2015]_high_27C,-20.20945205479452,-15.867068493150686,1.8544383561643838,2.0989863013698633
beta^F*T[2099]-beta^I*T[2015]_low_27C,-3.6253424657534246,-2.9115616438356167,0.1078082191780822,-0.03673972602739727
high_risk_term_27C,-14.354200988183285,-5.272186729708764,0.08612776078824719,0.2109689436075214
low_risk_term_27C,-1.0503644671750396,-1.9441303855164414,0.10280116152273466,-0.03304701831079509
extra_term_27C,-3.994820024039647,-0.36914578162644013,0.0,-0.594190520556414
comb_response_27C,-19.399385479397967,-7.585462896851643,0.18892892231098185,-0.4162685952596877
