temp,ref,yhat_low_gdp,se_low_gdp,lowerci_low_gdp,upperci_low_gdp,yhat_high_gdp,se_high_gdp,lowerci_high_gdp,upperci_high_gdp,yhat_low_lrt,se_low_lrt,lowerci_low_lrt,upperci_low_lrt,yhat_high_lrt,se_high_lrt,lowerci_high_lrt,upperci_high_lrt
-10,27,10.204134,8.037859,-5.5497794,25.958048,6.8553791,53.756207,-98.504852,112.21561,.28695756,1.3185256,-2.2973049,2.8712201,-24.025047,14.027246,-51.517944,3.4678507
-5,27,8.8251972,6.9516616,-4.7998095,22.450203,5.9289765,46.491856,-85.193382,97.051338,.24817953,1.1403464,-1.9868584,2.4832175,-20.778419,12.131673,-44.556061,2.999222
0,27,7.44626,5.8654647,-4.049839,18.94236,5.002574,39.227501,-71.88192,81.887062,.20940147,.96216726,-1.6764117,2.0952146,-17.531792,10.236098,-37.594177,2.5305936
5,27,6.0673232,4.7792673,-3.2998688,15.434515,4.0761714,31.96315,-58.57045,66.722794,.17062342,.78398812,-1.3659651,1.707212,-14.285163,8.3405247,-30.632292,2.0619652
10,27,4.688386,3.6930702,-2.5498986,11.926671,3.1497688,24.698797,-45.258984,51.558521,.13184537,.60580903,-1.0555185,1.3192092,-11.038535,6.4449511,-23.670406,1.5933367
27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,27,-.57389414,.4820815,-1.5187565,.37096822,-.25395092,3.4618855,-7.0391216,6.53122,.029957589,.086226322,-.1390429,.19895807,1.1544859,.96707892,-.74095398,3.0499258
35,27,-.24006553,1.2662666,-2.7219024,2.2417712,.85961884,5.4643226,-9.8502569,11.569494,.3508341,.25382081,-.14664552,.84831375,-.96075994,2.5614486,-5.9811072,4.059587
40,27,1.0482455,3.0461648,-4.9221272,7.0186186,3.1100154,7.6414108,-11.866875,18.086905,.87213731,.56822419,-.24156164,1.9858363,-6.0640473,5.1702886,-16.197626,4.0695329
45,27,2.5635111,5.1648479,-7.5594044,12.686426,5.630724,12.010011,-17.908464,29.169912,1.4410975,.93382448,-.38916487,3.2713599,-11.877823,8.2349911,-28.01811,4.2624636
