temp,ref,mins_worked,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
27,22,,7.8272767,7.4648528,-6.803566,22.458118,-17.288895,14.814684,-46.325142,11.747353
28,22,,7.8272767,7.4648528,-6.803566,22.458118,-17.288895,14.814684,-46.325142,11.747353
29,22,,7.8272767,7.4648528,-6.803566,22.458118,-17.288895,14.814684,-46.325142,11.747353
30,22,,18.723766,9.1990623,.69393569,36.753597,16.386461,16.526724,-16.005322,48.778244
31,22,,18.723766,9.1990623,.69393569,36.753597,16.386461,16.526724,-16.005322,48.778244
32,22,,18.723766,9.1990623,.69393569,36.753597,16.386461,16.526724,-16.005322,48.778244
33,22,,17.020412,10.289856,-3.1473351,37.18816,-1.2124529,27.214031,-54.550972,52.126068
34,22,,17.020412,10.289856,-3.1473351,37.18816,-1.2124529,27.214031,-54.550972,52.126068
35,22,,17.020412,10.289856,-3.1473351,37.18816,-1.2124529,27.214031,-54.550972,52.126068
36,22,,-13.97253,17.292959,-47.866108,19.921047,7.0461206,23.298895,-38.618874,52.711117
37,22,,-13.97253,17.292959,-47.866108,19.921047,7.0461206,23.298895,-38.618874,52.711117
38,22,,-13.97253,17.292959,-47.866108,19.921047,7.0461206,23.298895,-38.618874,52.711117
39,22,,13.754749,14.734441,-15.124224,42.63372,-22.235926,25.709627,-72.62587,28.154018
40,22,,13.754749,14.734441,-15.124224,42.63372,-22.235926,25.709627,-72.62587,28.154018
41,22,,13.754749,14.734441,-15.124224,42.63372,-22.235926,25.709627,-72.62587,28.154018
42,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
43,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
44,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
45,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
46,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
47,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
48,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
49,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
50,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
51,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
52,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
53,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
54,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
55,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
56,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
57,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
58,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
59,22,,-2.7966921,17.85743,-37.796612,32.203224,-41.365017,30.14296,-100.44413,17.714098
60,22,,,,,,,,,
