bin_code,temp_mid,low,se_low,high,se_high,diff,se_diff,is_ref,ord
below0,-1.5,6.687977041786271,14.75353221947353,136.5005354807585,273.6082905826852,129.8125584389721,273.7591414851726,0,-999
14,1.5,-6.659770246028714,20.46179584523993,693.502103729079,348.9672928546859,700.1618739751077,350.0645748103082,0,1.5
15,4.5,-3.494321972836023,16.29614993122414,-373.7637464915139,141.8847588008285,-370.2694245186779,143.0126108645711,0,4.5
16,7.5,-22.10459442396892,12.86502595009699,43.66168735228815,95.7064671442145,65.76628177625709,96.59425904986978,0,7.5
17,10.5,15.43761772286017,10.48087992249845,16.6854944081383,76.0118537268534,1.247876685278186,77.04075257174642,0,10.5
18,13.5,-2.609910176408142,10.72000810118586,15.94535240787291,57.90530808718935,18.55526258428105,58.83295213438462,0,13.5
19,16.5,-1.58701766260312,8.063764717704487,-17.67098092094977,37.26339180500023,-16.08396325834667,38.08198125093882,0,16.5
20,19.5,8.822699389399375,4.040211295836453,-35.64774879460209,28.8229965174618,-44.47044818400147,29.1356459822066,0,19.5
21,22.5,1.117909017830153,2.189978118884239,14.79752330605992,28.98554120393993,13.67961428822977,29.04113846324192,0,22.5
22,25.5,0,,0,,0,,1,25.5
23,28.5,1.22988986469,1.478332490775052,21.38398912354907,18.21022146833125,20.15409925885907,18.24300537719899,0,28.5
24,31.5,1.159756996525293,1.605287163046248,34.65719032393412,16.98497712004048,33.49743332740882,17.13155809996951,0,31.5
25,34.5,.3192043575797152,2.333380672476427,14.85252619944946,20.49346803882271,14.53332184186974,20.626421422806,0,34.5
26,37.5,3.593398862230313,4.830502994523455,37.20361038151039,23.85713770989147,33.61021151928008,23.69845795953247,0,37.5
27,40.5,-16.84655521842387,8.001732624985006,-9.947889671015393,24.88456078559451,6.898665547408473,26.31901157908961,0,40.5
above42,43.5,2.498393645609138,14.59804445154055,-24.65145757495347,30.98869703085552,-27.14985122056261,34.07011119409644,0,999
