bin_code,temp_mid,low,se_low,high,se_high,diff,se_diff,is_ref,ord
below9,3,-8.320527535244828,7.652744903054851,-93.06896580059902,69.35292970054003,-84.7484382653542,69.70434676826376,0,-999
9,10.5,16.50352835588797,9.551411578566627,40.78287147145877,56.32176803646555,24.27934311557078,57.35469327761479,0,10.5
12,13.5,-16.04819172440614,10.5375920685208,-57.20111853332639,61.85592735287738,-41.15292680892026,62.73583944330871,0,13.5
15,16.5,4.218107462964795,6.028106106764526,87.62645278998188,79.21975716202209,83.40834532701709,79.40295551589787,0,16.5
18,19.5,6.357364037280732,3.029679142079249,-66.1130662385999,29.34289194194671,-72.47043027588063,29.56611803286017,0,19.5
21,22.5,-2.631238821178209,1.999392150012329,45.41400331317901,21.75909655474762,48.04524213435722,21.86634655512903,0,22.5
24,25.5,0,,0,,0,,1,25.5
27,28.5,-.2496694421530541,1.399995791059355,35.59999439127971,17.68843643224303,35.84966383343276,17.86065626575616,0,28.5
30,31.5,-.0909966864581571,1.642379353377534,39.76368080595685,18.78833403954074,39.85467749241501,18.91721852945129,0,31.5
33,34.5,-2.248208788993825,2.869062652440267,14.13035694112837,19.4988737333397,16.3785657301222,19.63597772081895,0,34.5
36,37.5,2.99062771720412,4.706403856174675,41.5641488104586,24.66618200658774,38.57352109325448,24.59003455246794,0,37.5
39,40.5,-26.77363185662406,9.515209034785707,-29.28511282668869,23.12990007906699,-2.511480970064625,26.72447045668758,0,40.5
above42,45,21.8801047546991,20.31652660953318,-2.433284794590719,48.77447887999308,-24.31338954928982,52.24681501490388,0,999
