time_cut,discrate,rcp45,rcp85
all,1.0,32.95057757997048,40.938353340598844
all,2.0,10.05195664149514,14.891373269538551
all,2.5,6.347149580533076,9.953148382488438
all,3.0,4.273887804736534,6.986810383602947
all,5.0,1.3041454084436008,2.342044213300895
post2099,1.0,25.860273404025634,28.526978650276632
post2099,2.0,5.806478378255088,7.405364291646031
post2099,2.5,3.022007293713877,4.060905056127067
post2099,3.0,1.648227397676356,2.3066342964938342
post2099,5.0,0.19653192078377596,0.3009832930529562
pre2099,1.0,7.090304175944844,12.411374690322221
pre2099,2.0,4.245478263240054,7.486008977892517
pre2099,2.5,3.325142286819199,5.89224332636137
pre2099,3.0,2.625660407060178,4.680176087109113
pre2099,5.0,1.107613487659825,2.0410609202479386
share_post2099,1.0,0.7848200336174138,0.6968277012252526
share_post2099,2.0,0.5776465801976863,0.49729223474602396
share_post2099,2.5,0.47612038370459653,0.40800206126453625
share_post2099,3.0,0.3856506003385744,0.3301412475579955
share_post2099,5.0,0.15069785892841656,0.12851307048074384
