year,pctile,beta1,beta2
2026,.7,.3770697,-.2159958
2026,.75,.4258358,-.2188104
2026,.8,.4978938,-.2471199
2026,.85,.5914266,-.2932979
2026,.9,.724389,-.3680223
2026,.95,.8992594,-.4250684
2027,.05,-.4252176,-.006661
2027,.1,-.2728961,-.0266612
2027,.15,-.1976421,.0005155
2027,.2,-.1091636,-.0363888
2027,.25,-.0543167,-.0446838
2027,.3,.0055807,-.0688297
2027,.35,.0506476,-.0830733
2027,.4,.0908711,-.0922926
2027,.45,.1310136,-.1022931
2027,.5,.181273,-.1280384
2027,.55,.2311373,-.1529593
2027,.6,.2843011,-.1808539
2027,.65,.3261435,-.1834211
2027,.7,.3821566,-.2078954
2027,.75,.4290275,-.2053619
2027,.8,.5044485,-.2383275
2027,.85,.5905411,-.2695373
2027,.9,.7193097,-.3245561
2027,.95,.8994271,-.3949313
2028,.05,-.3992697,-.0316106
2028,.1,-.2630216,-.0258054
2028,.15,-.1760688,-.0163033
2028,.2,-.1072764,-.0248727
2028,.25,-.0512577,-.0370389
2028,.3,.0004289,-.045857
2028,.35,.0388885,-.0499258
2028,.4,.076124,-.0564986
2028,.45,.1144611,-.0647114
2028,.5,.1602264,-.0835992
2028,.55,.2100844,-.1070515
2028,.6,.2493872,-.1077622
2028,.65,.3013185,-.1274445
2028,.7,.3354857,-.1178826
2028,.75,.386113,-.1207096
2028,.8,.4488679,-.1320055
2028,.85,.5305846,-.1551076
2028,.9,.6605774,-.2114329
2028,.95,.8293295,-.2503068
2029,.05,-.4320926,.0049882
2029,.1,-.300531,.0172256
2029,.15,-.2113135,.024437
2029,.2,-.1312516,.0028298
2029,.25,-.0735547,-.0087778
2029,.3,-.0204045,-.0168323
2029,.35,.0184592,-.0208861
2029,.4,.052923,-.0200646
2029,.45,.0878288,-.0224098
2029,.5,.1351263,-.0397955
2029,.55,.1770301,-.0523089
2029,.6,.2282992,-.0694153
2029,.65,.2709261,-.0713912
2029,.7,.310069,-.0644083
2029,.75,.3675591,-.0815594
2029,.8,.4394951,-.1009291
2029,.85,.5232904,-.1256459
2029,.9,.6552036,-.1804605
2029,.95,.8563634,-.2470649
2030,.05,-.4219815,-.0106867
2030,.1,-.2890188,-.0068938
2030,.15,-.2059488,.0087008
2030,.2,-.1338316,.0021418
2030,.25,-.0728434,-.0119271
2030,.3,-.0176207,-.0205642
2030,.35,.0192093,-.0216595
2030,.4,.0558312,-.019779
2030,.45,.0915212,-.0222737
2030,.5,.137699,-.0371099
2030,.55,.1753846,-.0382965
2030,.6,.2155589,-.0383666
2030,.65,.2605391,-.0422893
2030,.7,.3064983,-.0418247
2030,.75,.3599677,-.0498797
2030,.8,.4157524,-.0442323
2030,.85,.513055,-.0776864
2030,.9,.6301231,-.0957335
2030,.95,.8498273,-.197032
2031,.05,-.4301047,.0209419
2031,.1,-.2815415,.0117042
2031,.15,-.1922551,.0266813
2031,.2,-.118917,.0133384
2031,.25,-.059503,.003912
2031,.3,-.0147793,.0035993
2031,.35,.008437,.0206091
2031,.4,.0495897,.0156143
2031,.45,.0910701,.0063185
2031,.5,.1296552,.0035645
2031,.55,.1642802,.0069814
2031,.6,.2062667,.0026028
2031,.65,.2485019,.0047727
2031,.7,.2961767,-.002855
2031,.75,.3468158,-.0036923
2031,.8,.4103077,-.0105784
