year,beta1,beta2
2193,.2295931,.438941
2194,.2306157,.440896
2195,.2316429,.4428598
2196,.2326746,.4448324
2197,.233711,.4468137
2198,.2347519,.4488038
2199,.2357975,.4508028
2200,.2368478,.4528107
2201,.2379027,.4548276
2202,.2389624,.4568534
2203,.2400267,.4588883
2204,.2410958,.4609322
2205,.2421697,.4629852
2206,.2432483,.4650474
2207,.2443318,.4671188
2208,.24542,.4691993
2209,.2465132,.4712892
2210,.2476111,.4733883
2211,.248714,.4754968
2212,.2498218,.4776148
2213,.2509345,.4797421
2214,.2520522,.4818789
2215,.2531749,.4840252
2216,.2543025,.4861811
2217,.2554352,.4883465
2218,.2565729,.4905217
2219,.2577157,.4927065
2220,.2588636,.4949011
2221,.2600166,.4971054
2222,.2611747,.4993195
2223,.262338,.5015435
2224,.2635065,.5037774
2225,.2646802,.5060213
2226,.2658591,.5082752
2227,.2670433,.5105391
2228,.2682327,.512813
2229,.2694274,.5150971
2230,.2706275,.5173914
2231,.2718328,.5196959
2232,.2730436,.5220107
2233,.2742598,.5243357
2234,.2754813,.5266712
2235,.2767083,.529017
2236,.2779408,.5313733
2237,.2791788,.5337401
2238,.2804223,.5361174
2239,.2816713,.5385053
2240,.2829259,.5409038
2241,.2841861,.5433131
2242,.2854519,.545733
2243,.2867233,.5481638
2244,.2880003,.5506053
2245,.2892831,.5530577
2246,.2905716,.5555211
2247,.2918659,.5579954
2248,.2931658,.5604808
2249,.2944716,.5629772
2250,.2957832,.5654848
2251,.2971006,.5680035
2252,.2984239,.5705334
2253,.2997532,.5730746
2254,.3010883,.5756271
2255,.3024293,.578191
2256,.3037764,.5807663
2257,.3051294,.583353
2258,.3064885,.5859514
2259,.3078536,.5885612
2260,.3092248,.5911827
2261,.3106022,.5938159
2262,.3119856,.5964608
2263,.3133752,.5991175
2264,.314771,.601786
2265,.316173,.6044664
2266,.3175812,.6071587
2267,.3189958,.6098631
2268,.3204166,.6125794
2269,.3218438,.6153079
2270,.3232773,.6180485
2271,.3247172,.6208014
2272,.3261635,.6235664
2273,.3276162,.6263438
2274,.3290755,.6291336
2275,.3305412,.6319358
2276,.3320135,.6347505
2277,.3334923,.6375778
2278,.3349777,.6404176
2279,.3364697,.6432701
2280,.3379683,.6461352
2281,.3394737,.6490132
2282,.3409857,.6519039
2283,.3425045,.6548075
2284,.3440301,.6577241
2285,.3455624,.6606537
2286,.3471015,.6635962
2287,.3486475,.6665519
2288,.3502004,.6695208
2289,.3517602,.6725029
2290,.353327,.6754983
2291,.3549008,.678507
2292,.3564815,.6815291
2293,.3580693,.6845647
2294,.3596642,.6876138
2295,.3612662,.6906765
2296,.3628753,.6937528
2297,.3644915,.6968428
2298,.366115,.6999466
2299,.3677457,.7030643
2300,.3693837,.7061957
