year,cons,beta1,beta2
2232,0,.2473951,.5324886
2233,0,.248497,.5348604
2234,0,.2496038,.5372427
2235,0,.2507156,.5396355
2236,0,.2518323,.5420392
2237,0,.252954,.5444534
2238,0,.2540807,.5468785
2239,0,.2552123,.5493143
2240,0,.2563491,.551761
2241,0,.2574909,.5542185
2242,0,.2586378,.5566871
2243,0,.2597898,.5591666
2244,0,.2609469,.5616572
2245,0,.2621092,.5641589
2246,0,.2632766,.5666717
2247,0,.2644493,.5691956
2248,0,.2656271,.5717309
2249,0,.2668102,.5742774
2250,0,.2679987,.5768353
2251,0,.2691923,.5794045
2252,0,.2703913,.5819852
2253,0,.2715957,.5845774
2254,0,.2728054,.5871812
2255,0,.2740205,.5897966
2256,0,.275241,.5924236
2257,0,.2764669,.5950623
2258,0,.2776983,.5977128
2259,0,.2789352,.6003749
2260,0,.2801776,.603049
2261,0,.2814256,.6057351
2262,0,.282679,.6084331
2263,0,.2839381,.6111431
2264,0,.2852028,.6138651
2265,0,.2864731,.6165993
2266,0,.2877491,.6193457
2267,0,.2890308,.6221044
2268,0,.2903181,.6248752
2269,0,.2916112,.6276585
2270,0,.2929101,.6304542
2271,0,.2942147,.6332623
2272,0,.2955251,.6360828
2273,0,.2968414,.638916
2274,0,.2981636,.6417618
2275,0,.2994916,.6446202
2276,0,.3008256,.6474914
2277,0,.3021655,.6503754
2278,0,.3035114,.6532722
2279,0,.3048632,.6561819
2280,0,.3062211,.6591046
2281,0,.307585,.6620403
2282,0,.308955,.6649891
2283,0,.3103311,.6679509
2284,0,.3117134,.6709261
2285,0,.3131018,.6739144
2286,0,.3144963,.6769161
2287,0,.3158971,.6799311
2288,0,.3173042,.6829596
2289,0,.3187174,.6860015
2290,0,.3201371,.6890571
2291,0,.321563,.6921262
2292,0,.3229952,.6952089
2293,0,.3244339,.6983054
2294,0,.3258789,.7014158
2295,0,.3273304,.7045399
2296,0,.3287884,.707678
2297,0,.3302528,.71083
2298,0,.3317238,.7139961
2299,0,.3332013,.7171763
2300,0,.3346854,.7203706
