temp,no_wgt_comm,risk_adj_sample_wgt_old_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_old_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_old_high,pop_adj_sample_wgt_high
-8.1,5,6.88222905865e-06,.0000138840341606,3,4.93707796068e-06,4.82494942844e-06,2,1.94515109797e-06,9.05908473214e-06
-8,4,.0000176513549377,.0000172504660441,4,.0000176513549377,.0000172504660441,0,0,0
-7.9,2,3.65815185432e-06,3.57506974069e-06,2,3.65815185432e-06,3.57506974069e-06,0,0,0
-7.8,6,.0000133816297421,.0000130777127652,6,.0000133816297421,.0000130777127652,0,0,0
-7.7,2,7.32089074518e-06,7.15462192602e-06,2,7.32089074518e-06,7.15462192602e-06,0,0,0
-7.6,7,.0000159125286245,.0000200723995931,6,.0000146839155377,.0000143504219068,1,1.22861308682e-06,5.72197768633e-06
-7.5,11,.0000324947449144,.0000317567407819,11,.0000324947449144,.0000317567407819,0,0,0
-7.4,3,5.62724960673e-06,5.49944650174e-06,3,5.62724960673e-06,5.49944650174e-06,0,0,0
-7.3,5,5.33627968480e-06,.0000248524729614,0,0,0,5,5.33627968480e-06,.0000248524729614
-7.2,3,4.08730227264e-06,3.99447344535e-06,3,4.08730227264e-06,3.99447344535e-06,0,0,0
-7.1,7,.0000111210869136,.0000123328611608,5,.0000107231630864,.0000104796242795,2,3.97923827222e-07,1.85323688129e-06
-7,4,.0000104175475713,.0000101809495732,4,.0000104175475713,.0000101809495732,0,0,0
-6.9,5,8.19221463644e-06,.0000107636975599,3,7.44287842736e-06,7.27383974208e-06,2,7.49336209083e-07,3.48985781784e-06
-6.8,3,4.67248560199e-06,6.81515439283e-06,2,4.06139815823e-06,3.96915766032e-06,1,6.11087443758e-07,2.84599673250e-06
-6.7,7,.0000256395729252,.000026502761898,6,.0000252467709743,.0000246733789027,1,3.92801950966e-07,1.82938299531e-06
-6.6,6,.0000143893200857,.0000140625171525,6,.0000143893200857,.0000140625171525,0,0,0
-6.5,8,.0000215420128598,.0000210527616673,8,.0000215420128598,.0000210527616673,0,0,0
-6.4,8,8.68294580414e-06,8.48574330803e-06,8,8.68294580414e-06,8.48574330803e-06,0,0,0
-6.3,10,.0000193205761434,.0000228194988949,8,.0000182505364137,.0000178360395466,2,1.07003972971e-06,4.98345934830e-06
-6.2,9,.0000355557476723,.000034748222788,9,.0000355557476723,.000034748222788,0,0,0
-6.1,7,8.43702559905e-06,8.24540791200e-06,7,8.43702559905e-06,8.24540791200e-06,0,0,0
-6,21,.0001120845050622,.0001197150681946,15,.0001093192248618,.0001068364240382,6,2.76528020038e-06,.0000128786441564
-5.9,5,.000012727299179,.0000133278911107,4,.0000124855453123,.0000122019791888,1,2.41753866703e-07,1.12591192192e-06
-5.8,8,9.80515710580e-06,.0000133706500947,5,8.77575325831e-06,8.57644261032e-06,3,1.02940384750e-06,4.79420748434e-06
-5.7,14,.000035716948787,.000054457043916,10,.000030404068184,.0000297135475193,4,5.31288060301e-06,.0000247434963967
-5.6,14,.0000592240247101,.0000598848523623,13,.000058678941059,.0000573462532429,1,5.45083651105e-07,2.53859911936e-06
-5.5,19,.0000270493629273,.0000314116226718,16,.0000256970198507,.0000251134014206,3,1.35234307663e-06,6.29822125120e-06
-5.4,12,.0000238077117274,.0000302351605797,6,.0000219141784328,.0000214164729186,6,1.89353329461e-06,8.81868766101e-06
-5.3,10,.0000179723933229,.0000210030720496,9,.0000170379152564,.0000166509593669,1,9.34478066483e-07,4.35211268268e-06
-5.2,13,.000011167145459,.0000326022018839,4,5.27344616330e-06,5.15367833032e-06,9,5.89369929571e-06,.0000274485235536
-5.1,13,.0000430962428482,.0000421174623284,13,.0000430962428482,.0000421174623284,0,0,0
-5,16,.0000240428722549,.000036318973514,10,.0000205585704407,.0000200916546191,6,3.48430181418e-06,.0000162273188948
