temp,no_wgt_comm,risk_adj_sample_wgt_sector_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_sector_low,pop_adj_sample_wgt_low,no_wgt_ag,risk_adj_sample_wgt_sector_ag,pop_adj_sample_wgt_ag,no_wgt_nonag,risk_adj_sample_wgt_sector_nonag,pop_adj_sample_wgt_nonag
-7.7,2,.0000143122033478,7.15462192602e-06,2,.0000143122033478,7.15462192602e-06,0,0,0,0,0,0
-7.6,7,.0000409686520015,.0000200723995931,6,.0000287067789486,.0000143504219068,0,0,0,1,.0000122618730529,5.72197768633e-06
-7.5,11,.0000635266155768,.0000317567407819,11,.0000635266155768,.0000317567407819,0,0,0,0,0,0
-7.4,3,.0000110011669676,5.49944650174e-06,3,.0000110011669676,5.49944650174e-06,0,0,0,0,0,0
-7.3,5,.0000532574322278,.0000248524729614,0,0,0,0,0,0,5,.0000532574322278,.0000248524729614
-7.2,3,7.99059921519e-06,3.99447344535e-06,3,7.99059921519e-06,3.99447344535e-06,0,0,0,0,0,0
-7.1,7,.0000249349641308,.0000123328611608,5,.0000209635827559,.0000104796242795,0,0,0,2,3.97138137487e-06,1.85323688129e-06
-7,4,.0000203661101068,.0000101809495732,4,.0000203661101068,.0000101809495732,0,0,0,0,0,0
-6.9,5,.0000220292538415,.0000107636975599,3,.0000145506871831,7.27383974208e-06,0,0,0,2,7.47856665839e-06,3.48985781784e-06
-6.8,3,.0000140387655847,6.81515439283e-06,2,7.93995695858e-06,3.96915766032e-06,0,0,0,1,6.09880862612e-06,2.84599673250e-06
-6.7,7,.0000532772246515,.000026502761898,6,.0000493569609716,.0000246733789027,0,0,0,1,3.92026367990e-06,1.82938299531e-06
-6.6,6,.000028130850751,.0000140625171525,6,.000028130850751,.0000140625171525,0,0,0,0,0,0
-6.5,8,.0000421142299274,.0000210527616673,8,.0000421142299274,.0000210527616673,0,0,0,0,0,0
-6.4,8,.0000169749959014,8.48574330803e-06,8,.0000169749959014,8.48574330803e-06,0,0,0,0,0,0
-6.3,10,.0000463587250579,.0000228194988949,8,.0000356794555501,.0000178360395466,0,0,0,2,.0000106792695078,4.98345934830e-06
-6.2,9,.0000695108192303,.000034748222788,9,.0000695108192303,.000034748222788,0,0,0,0,0,0
-6.1,7,.0000164942262018,8.24540791200e-06,7,.0000164942262018,8.24540791200e-06,0,0,0,0,0,0
-6,21,.0002413152298004,.0001197150681946,15,.0002137170282595,.0001068364240382,0,0,0,6,.000027598201541,.0000128786441564
-5.9,5,.000026821771371,.0000133278911107,4,.000024409006528,.0000122019791888,0,0,0,1,2.41276484303e-06,1.12591192192e-06
-5.8,8,.0000274301457921,.0000133706500947,5,.0000171564324773,8.57644261032e-06,0,0,0,3,.0000102737133147,4.79420748434e-06
-5.7,14,.000112463285177,.000054457043916,10,.0000594393820847,.0000297135475193,0,0,0,4,.0000530239030923,.0000247434963967
-5.6,14,.0001201562999995,.0000598848523623,13,.0001147162265625,.0000573462532429,0,0,0,1,5.44007343706e-06,2.53859911936e-06
-5.5,19,.000063733918978,.0000314116226718,16,.0000502371899529,.0000251134014206,0,0,0,3,.0000134967290251,6.29822125120e-06
-5.4,12,.0000617397499809,.0000302351605797,6,.0000428418043157,.0000214164729186,0,0,0,6,.0000188979456652,8.81868766101e-06
-5.3,10,.0000426351340366,.0000210030720496,9,.0000333088042908,.0000166509593669,0,0,0,1,9.32632974582e-06,4.35211268268e-06
-5.2,13,.0000691301115694,.0000326022018839,4,.0000103094878341,5.15367833032e-06,0,0,0,9,.0000588206237353,.0000274485235536
-5.1,13,.0000842523423898,.0000421174623284,13,.0000842523423898,.0000421174623284,0,0,0,0,0,0
-5,16,.0000749658393033,.000036318973514,10,.0000401916183819,.0000200916546191,0,0,0,6,.0000347742209215,.0000162273188948
