temp,risk,bins,poly2,poly3,poly4,rcs,ref
-15.4,high,-128.66896,-164.50732,182.73502,2.858686,-199.97711,27
-15.3,high,-128.66896,-163.66925,180.73167,3.380151,-199.50546,27
-15.2,high,-128.66896,-162.83331,178.74083,3.8911581,-199.03381,27
-15.1,high,-128.66896,-161.9995,176.7625,4.3917899,-198.56218,27
-15,high,-128.66896,-161.1678,174.79659,4.8821478,-198.09053,27
-14.9,high,-128.66896,-160.33824,172.84309,5.362319,-197.61888,27
-14.8,high,-128.66896,-159.51082,170.90199,5.8323908,-197.14725,27
-14.7,high,-128.66896,-158.68552,168.97321,6.2924628,-196.6756,27
-14.6,high,-128.66896,-157.86234,167.05675,6.7426171,-196.20396,27
-14.5,high,-128.66896,-157.04129,165.15254,7.1829529,-195.73232,27
-14.4,high,-128.66896,-156.22237,163.26056,7.6135554,-195.26067,27
-14.3,high,-128.66896,-155.40558,161.3808,8.0345106,-194.78903,27
-14.2,high,-128.66896,-154.59091,159.51318,8.4459162,-194.31738,27
-14.1,high,-128.66896,-153.77838,157.6577,8.8478537,-193.84573,27
-14,high,-128.66896,-152.96797,155.8143,9.2404175,-193.37408,27
-13.9,high,-128.66896,-152.15968,153.98294,9.6236944,-192.90245,27
-13.8,high,-128.66896,-151.35355,152.1636,9.9977684,-192.4308,27
-13.7,high,-128.66896,-150.54951,150.35625,10.362734,-191.95915,27
-13.6,high,-128.66896,-149.74762,148.56084,10.718671,-191.48752,27
-13.5,high,-128.66896,-148.94786,146.77731,11.065674,-191.01587,27
-13.4,high,-128.66896,-148.15021,145.00568,11.403826,-190.54422,27
-13.3,high,-128.66896,-147.35471,143.24588,11.73321,-190.07259,27
-13.2,high,-128.66896,-146.56133,141.49786,12.053918,-189.60094,27
-13.1,high,-128.66896,-145.77007,139.76163,12.36603,-189.1293,27
-13,high,-128.66896,-144.98094,138.03709,12.669637,-188.65765,27
-12.9,high,-128.66896,-144.19394,136.32425,12.964822,-188.186,27
-12.8,high,-128.66896,-143.40907,134.62309,13.251665,-187.71436,27
-12.7,high,-128.66896,-142.62633,132.93352,13.530258,-187.24272,27
-12.6,high,-128.66896,-141.84572,131.25554,13.800677,-186.77107,27
-12.5,high,-128.66896,-141.06723,129.5891,14.063013,-186.29942,27
-12.4,high,-128.66896,-140.29086,127.93417,14.317347,-185.82779,27
-12.3,high,-128.66896,-139.51665,126.29072,14.563757,-185.35614,27
-12.2,high,-128.66896,-138.74454,124.6587,14.802332,-184.88449,27
-12.1,high,-128.66896,-137.97456,123.03809,15.033149,-184.41286,27
-12,high,-128.66896,-137.20671,121.42883,15.256294,-183.94121,27
-11.9,high,-128.66896,-136.44099,119.83089,15.471848,-183.46956,27
-11.8,high,-128.66896,-135.67741,118.24426,15.67989,-182.99792,27
-11.7,high,-128.66896,-134.91594,116.66888,15.880503,-182.52628,27
-11.6,high,-128.66896,-134.15662,115.10472,16.073765,-182.05463,27
-11.5,high,-128.66896,-133.3994,113.55173,16.25976,-181.58299,27
-11.4,high,-128.66896,-132.64432,112.0099,16.438566,-181.11134,27
-11.3,high,-128.66896,-131.89137,110.47919,16.61026,-180.63969,27
-11.2,high,-128.66896,-131.14055,108.95953,16.774925,-180.16806,27
-11.1,high,-128.66896,-130.39186,107.45094,16.932636,-179.69641,27
-11,high,-128.66896,-129.64529,105.95332,17.083477,-179.22476,27
-10.9,high,-128.66896,-128.90085,104.46667,17.227522,-178.75313,27
-10.8,high,-128.66896,-128.15855,102.99097,17.364847,-178.28148,27
-10.7,high,-128.66896,-127.41837,101.52615,17.495535,-177.80983,27
-10.6,high,-128.66896,-126.68031,100.0722,17.619659,-177.3382,27
-10.5,high,-128.66896,-125.94439,98.629059,17.737297,-176.86655,27
-10.4,high,-128.66896,-125.21059,97.196701,17.848526,-176.3949,27
-10.3,high,-128.66896,-124.47892,95.775101,17.953423,-175.92326,27
-10.2,high,-128.66896,-123.74938,94.364204,18.052061,-175.45161,27
-10.1,high,-128.66896,-123.02197,92.964005,18.144516,-174.97997,27
-10,high,-128.66896,-122.29668,91.574425,18.230865,-174.50833,27
-9.8999996,high,-128.66896,-121.57352,90.19545,18.311182,-174.03668,27
-9.8000002,high,-128.66896,-120.85249,88.827057,18.38554,-173.56503,27
-9.6999998,high,-128.66896,-120.13359,87.469185,18.454014,-173.0934,27
-9.6000004,high,-128.66896,-119.41682,86.121819,18.51668,-172.62175,27
-9.5,high,-128.66896,-118.70218,84.784904,18.573606,-172.1501,27
-9.3999996,high,-128.66896,-117.98965,83.458412,18.62487,-171.67847,27
