temp,risk,bins,poly_2,poly_3,poly_4,spline
-16.299999,low,-18.214924,-41.243809,13.241167,-91.017204,-2.1648643
-16.200001,high,-100.39586,-307.99088,-18.845076,-36.621841,-31.379419
-16.200001,low,-18.214924,-41.143486,12.786256,-90.008224,-2.1598649
-16.1,high,-100.39586,-306.76321,-20.292868,-37.836761,-31.306782
-16.1,low,-18.214924,-41.043182,12.334702,-89.010162,-2.154865
-16,high,-100.39586,-305.53793,-21.727903,-39.041073,-31.234144
-16,low,-18.214924,-40.942905,11.886503,-88.022957,-2.1498654
-15.9,high,-100.39586,-304.31506,-23.150227,-40.234802,-31.161507
-15.9,low,-18.214924,-40.842651,11.441651,-87.046539,-2.1448658
-15.8,high,-100.39586,-303.09457,-24.559862,-41.417973,-31.088869
-15.8,low,-18.214924,-40.74242,11.00014,-86.080833,-2.1398661
-15.7,high,-100.39586,-301.87646,-25.956877,-42.59063,-31.016232
-15.7,low,-18.214924,-40.642212,10.561953,-85.125748,-2.1348662
-15.6,high,-100.39586,-300.66077,-27.341288,-43.752781,-30.943594
-15.6,low,-18.214924,-40.54203,10.127086,-84.181221,-2.1298666
-15.5,high,-100.39586,-299.44745,-28.71316,-44.904476,-30.870956
-15.5,low,-18.214924,-40.441868,9.6955223,-83.247154,-2.124867
-15.4,high,-100.39586,-298.23651,-30.072519,-46.045734,-30.798319
-15.4,low,-18.214924,-40.341732,9.2672567,-82.323494,-2.1198673
-15.3,high,-100.39586,-297.02798,-31.419397,-47.176575,-30.725681
-15.3,low,-18.214924,-40.241619,8.8422832,-81.410164,-2.1148677
-15.2,high,-100.39586,-295.82181,-32.75386,-48.297043,-30.653044
-15.2,low,-18.214924,-40.141529,8.4205828,-80.507072,-2.1098678
-15.1,high,-100.39586,-294.61804,-34.075920000000004,-49.407146,-30.580406
-15.1,low,-18.214924,-40.041466,8.0021563,-79.614166,-2.1048682
-15,high,-100.39586,-293.41666,-35.385643,-50.506939,-30.507769
-15,low,-18.214924,-39.941422,7.5869832,-78.731339,-2.0998685
-14.9,high,-100.39586,-292.21768,-36.68306,-51.596436,-30.435131
-14.9,low,-18.214924,-39.8414,7.1750593,-77.858543,-2.0948689
-14.8,high,-100.39586,-291.02106,-37.968197,-52.675655,-30.362494
-14.8,low,-18.214924,-39.741405,6.7663789,-76.995697,-2.0898693
-14.7,high,-100.39586,-289.82684,-39.241123,-53.744648,-30.289856
-14.7,low,-18.214924,-39.641434,6.3609238,-76.142715,-2.0848694
-14.6,high,-100.39586,-288.63504,-40.50185,-54.803421,-30.217218
-14.6,low,-18.214924,-39.541485,5.9586921,-75.299538,-2.0798697
-14.5,high,-100.39586,-287.44559,-41.750446,-55.852024,-30.144581
-14.5,low,-18.214924,-39.441559,5.5596662,-74.46608,-2.0748701
-14.4,high,-100.39586,-286.25854,-42.986935,-56.890476,-30.071943
-14.4,low,-18.214924,-39.341656,5.1638408,-73.642265,-2.0698705
-14.3,high,-100.39586,-285.07388,-44.211353,-57.918793,-29.999306
-14.3,low,-18.214924,-39.241779,4.7712092,-72.828041,-2.0648706
-14.2,high,-100.39586,-283.8916,-45.423759,-58.937027,-29.926668
-14.2,low,-18.214924,-39.141926,4.3817549,-72.023315,-2.059871
-14.1,high,-100.39586,-282.71173,-46.624172,-59.945187,-29.854031
-14.1,low,-18.214924,-39.042095,3.9954748,-71.228027,-2.0548713
-14,high,-100.39586,-281.53424,-47.812653,-60.943321,-29.781393
-14,low,-18.214924,-38.942284,3.6123521,-70.442093,-2.0498717
-13.9,high,-100.39586,-280.35913,-48.989235,-61.931446,-29.708755
-13.9,low,-18.214924,-38.842499,3.2323811,-69.665443,-2.044872
-13.8,high,-100.39586,-279.1864,-50.153946,-62.90958,-29.636118
-13.8,low,-18.214924,-38.742741,2.8555551,-68.89801,-2.0398722
-13.7,high,-100.39586,-278.01608,-51.30685,-63.877781,-29.56348
-13.7,low,-18.214924,-38.643002,2.4818573,-68.139717,-2.0348725
-13.6,high,-100.39586,-276.84814,-52.447968,-64.836044,-29.490843
-13.6,low,-18.214924,-38.543289,2.1112852,-67.390495,-2.0298729
-13.5,high,-100.39586,-275.68259,-53.577354,-65.784431,-29.418205
-13.5,low,-18.214924,-38.443600000000004,1.7438217,-66.650269,-2.0248733
-13.4,high,-100.39586,-274.51941,-54.695045,-66.722954,-29.345568
-13.4,low,-18.214924,-38.343929,1.3794611,-65.918976,-2.0198734
-13.3,high,-100.39586,-273.35864,-55.801071,-67.651634,-29.27293
-13.3,low,-18.214924,-38.244289,1.0181965,-65.196541,-2.0148737
-13.2,high,-100.39586,-272.20026,-56.895493,-68.570526,-29.200293
-13.2,low,-18.214924,-38.144669,0.66001165,-64.482887,-2.0098741
-13.1,high,-100.39586,-271.04425,-57.978329,-69.479622,-29.127655
-13.1,low,-18.214924,-38.045071,0.30490348,-63.77795,-2.0048745
-13,high,-100.39586,-269.89066,-59.049641,-70.37899,-29.055017
-13,low,-18.214924,-37.945499,-0.047144502,-63.081657,-1.9998747
-12.9,high,-100.39586,-268.73941,-60.109459,-71.268639,-28.98238
-12.9,low,-18.214924,-37.845947,-0.39613867,-62.393944,-1.9948751
-12.8,high,-100.39586,-267.59058,-61.157814,-72.148598,-28.909742
-12.8,low,-18.214924,-37.746422,-0.74208552,-61.714737,-1.9898754
-12.7,high,-100.39586,-266.44415,-62.194767,-73.018898,-28.837105
-12.7,low,-18.214924,-37.646919,-1.0850013,-61.043964,-1.9848757
-12.6,high,-100.39586,-265.30008,-63.220341,-73.87957,-28.764467
-12.6,low,-18.214924,-37.547443,-1.4248893,-60.381565,-1.979876
-12.5,high,-100.39586,-264.15842,-64.234596,-74.730652,-28.69183
-12.5,low,-18.214924,-37.447987,-1.7617658,-59.727459,-1.9748763
-12.4,high,-100.39586,-263.01913,-65.237556,-75.572159,-28.619192
-12.4,low,-18.214924,-37.348553,-2.0956373,-59.081585,-1.9698766
-12.3,high,-100.39586,-261.88223,-66.229263,-76.404121,-28.546555
-12.3,low,-18.214924,-37.249146,-2.4265103,-58.443878,-1.964877
-12.2,high,-100.39586,-260.74774,-67.20977,-77.226578,-28.473917
-12.2,low,-18.214924,-37.149761,-2.754401,-57.814259,-1.9598773
-12.1,high,-100.39586,-259.61563,-68.179092,-78.039551,-28.401279
-12.1,low,-18.214924,-37.0504,-3.0793128,-57.192673,-1.9548776
-12,high,-100.39586,-258.4859,-69.137306,-78.843079,-28.328642
-12,low,-18.214924,-36.951061,-3.4012616,-56.579037,-1.9498779
-11.9,high,-100.39586,-257.35855,-70.084435,-79.637177,-28.256004
-11.9,low,-18.214924,-36.851746,-3.7202542,-55.973297,-1.9448782
-11.8,high,-100.39586,-256.23361,-71.0205,-80.421883,-28.183367
-11.8,low,-18.214924,-36.752457,-4.0362973,-55.375385,-1.9398786
-11.7,high,-100.39586,-255.11105,-71.94558,-81.197235,-28.110729
-11.7,low,-18.214924,-36.653187,-4.3494067,-54.785221,-1.9348788
-11.6,high,-100.39586,-253.99089,-72.85968,-81.963249,-28.038092
-11.6,low,-18.214924,-36.553944,-4.659586,-54.202759,-1.9298792
-11.5,high,-100.39586,-252.87309,-73.762863,-82.719963,-27.965454
-11.5,low,-18.214924,-36.454723,-4.9668512,-53.627914,-1.9248794
-11.4,high,-100.39586,-251.75769,-74.655174,-83.467407,-27.892817
-11.4,low,-18.214924,-36.355526,-5.2712088,-53.060627,-1.9198798
-11.3,high,-100.39586,-250.6447,-75.536621,-84.205605,-27.820179
-11.3,low,-18.214924,-36.256351,-5.5726657,-52.500839,-1.9148802
-11.2,high,-100.39586,-249.53407,-76.407288,-84.934586,-27.747541
-11.2,low,-18.214924,-36.1572,-5.8712378,-51.948475,-1.9098804
-11.1,high,-100.39586,-248.42584,-77.267181,-85.654388,-27.674904
