names,numbers
V_LR_T,0.0819920219999999
V_LR_TS,1.26393694e-05
V_HR_T,8.970215618
V_HR_T_G,0.0972127980000002
V_HR_TS,0.000873927000000004
V_HR_TS_G,9.58709800000002e-06
C_HR_TS_HR_TS_G,-9.14614300000002e-05
C_HR_T_G_HR_TS_G,-0.000656390100000002
C_HR_T_HR_TS_G,0.006270804
C_HR_T_HR_T_G,-0.933030134000002
C_HR_T_G_HR_TS,0.006262125
C_LR_TS_HR_TS_G,3.33166999999997e-07
C_LR_T_HR_T_G,-4.59600000000037e-06
C_LR_T_LR_TS,-0.0005305953
C_LR_T_HR_TS,1.15287999999997e-05
C_LR_T_HR_T,0.000829519000000008
C_LR_TS_HR_T,-6.89340000000003e-05
C_LR_TS_HR_TS,-3.05476200000002e-06
C_HR_T_HR_TS,-0.059908062
