,iso,commid,NAME_1,NAME_2,NAME_3,GID_3,adm0_id,adm1_id,adm2_id,adm3_id,adm1_id_old
0,CHN,111101.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
1,CHN,111102.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
2,CHN,111103.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
3,CHN,111104.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
4,CHN,111201.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
5,CHN,111202.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
6,CHN,111203.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
7,CHN,111204.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
8,CHN,111301.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
9,CHN,111302.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
10,CHN,111303.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
11,CHN,111304.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
12,CHN,111401.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
13,CHN,111402.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
14,CHN,111403.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
15,CHN,111404.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
16,CHN,112101.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
17,CHN,112102.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
18,CHN,112103.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
19,CHN,112104.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
20,CHN,112201.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
21,CHN,112202.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
22,CHN,112203.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
23,CHN,112204.0,Beijing,Beijing,Beijing,CHN.2.1.1_1,20000000,20000000,20000100,20000101,20000000
24,CHN,211101.0,Liaoning,Shenyang,Shenyang Shì,CHN.18.12.4_1,20000000,20900000,20902900,20902933,20090000
25,CHN,211102.0,Liaoning,Shenyang,Shenyang Shì,CHN.18.12.4_1,20000000,20900000,20902900,20902933,20090000
26,CHN,211103.0,Liaoning,Shenyang,Shenyang Shì,CHN.18.12.4_1,20000000,20900000,20902900,20902933,20090000
27,CHN,211104.0,Liaoning,Shenyang,Shenyang Shì,CHN.18.12.4_1,20000000,20900000,20902900,20902933,20090000
28,CHN,211201.0,Liaoning,Tieling,Yingkou,CHN.18.13.8_1,20000000,20900000,20904700,20904746,20090000
29,CHN,211202.0,Liaoning,Tieling,Yingkou,CHN.18.13.8_1,20000000,20900000,20904700,20904746,20090000
30,CHN,211203.0,Liaoning,Tieling,Yingkou,CHN.18.13.8_1,20000000,20900000,20904700,20904746,20090000
31,CHN,211204.0,Liaoning,Tieling,Yingkou,CHN.18.13.8_1,20000000,20900000,20904700,20904746,20090000
32,CHN,211208.0,Liaoning,Tieling,Yingkou,CHN.18.13.8_1,20000000,20900000,20904700,20904746,20090000
33,CHN,212101.0,Liaoning,Dalian,Wafangdian,CHN.18.4.5_1,20000000,20900000,20900900,20900942,20090000
34,CHN,212102.0,Liaoning,Dalian,Wafangdian,CHN.18.4.5_1,20000000,20900000,20900900,20900942,20090000
35,CHN,212103.0,Liaoning,Dalian,Wafangdian,CHN.18.4.5_1,20000000,20900000,20900900,20900942,20090000
36,CHN,212104.0,Liaoning,Dalian,Wafangdian,CHN.18.4.5_1,20000000,20900000,20900900,20900942,20090000
37,CHN,212201.0,Liaoning,Benxi,Huanren Manchu,CHN.18.2.3_1,20000000,20900000,20900200,20900216,20090000
38,CHN,212202.0,Liaoning,Benxi,Huanren Manchu,CHN.18.2.3_1,20000000,20900000,20900200,20900216,20090000
39,CHN,212203.0,Liaoning,Benxi,Huanren Manchu,CHN.18.2.3_1,20000000,20900000,20900200,20900216,20090000
40,CHN,212204.0,Liaoning,Benxi,Huanren Manchu,CHN.18.2.3_1,20000000,20900000,20900200,20900216,20090000
41,CHN,212301.0,Liaoning,Fushun,Qingyuan Manchu,CHN.18.6.2_1,20000000,20900000,20901000,20901027,20090000
42,CHN,212302.0,Liaoning,Fushun,Qingyuan Manchu,CHN.18.6.2_1,20000000,20900000,20901000,20901027,20090000
43,CHN,212303.0,Liaoning,Fushun,Qingyuan Manchu,CHN.18.6.2_1,20000000,20900000,20901000,20901027,20090000
44,CHN,212304.0,Liaoning,Fushun,Qingyuan Manchu,CHN.18.6.2_1,20000000,20900000,20901000,20901027,20090000
45,CHN,212305.0,Liaoning,Fushun,Qingyuan Manchu,CHN.18.6.2_1,20000000,20900000,20901000,20901027,20090000
46,CHN,212401.0,Liaoning,Chaoyang,Chaoyang Shì,CHN.18.3.2_1,20000000,20900000,20900500,20900505,20090000
47,CHN,212402.0,Liaoning,Chaoyang,Chaoyang Shì,CHN.18.3.2_1,20000000,20900000,20900500,20900505,20090000
48,CHN,212403.0,Liaoning,Chaoyang,Chaoyang Shì,CHN.18.3.2_1,20000000,20900000,20900500,20900505,20090000
49,CHN,212404.0,Liaoning,Chaoyang,Chaoyang Shì,CHN.18.3.2_1,20000000,20900000,20900500,20900505,20090000
50,CHN,231101.0,Heilongjiang,Harbin,Harbin,CHN.11.3.5_1,20000000,20400000,20401200,20401212,20040000
51,CHN,231102.0,Heilongjiang,Harbin,Harbin,CHN.11.3.5_1,20000000,20400000,20401200,20401212,20040000
52,CHN,231103.0,Heilongjiang,Harbin,Harbin,CHN.11.3.5_1,20000000,20400000,20401200,20401212,20040000
53,CHN,231104.0,Heilongjiang,Harbin,Harbin,CHN.11.3.5_1,20000000,20400000,20401200,20401212,20040000
54,CHN,231201.0,Heilongjiang,Harbin,Shuangcheng,CHN.11.3.9_1,20000000,20400000,20401200,20401235,20040000
55,CHN,231202.0,Heilongjiang,Harbin,Shuangcheng,CHN.11.3.9_1,20000000,20400000,20401200,20401235,20040000
56,CHN,231203.0,Heilongjiang,Harbin,Shuangcheng,CHN.11.3.9_1,20000000,20400000,20401200,20401235,20040000
57,CHN,231204.0,Heilongjiang,Harbin,Shuangcheng,CHN.11.3.9_1,20000000,20400000,20401200,20401235,20040000
