,iso,adm0_id,adm1_id,adm2_id,state,master_county_name,NAME_1,NAME_2
87,USA,80000000,80090000,80090138,FL,Hillsborough County,Florida,Hillsborough
88,USA,80000000,80090000,80090242,FL,Osceola County,Florida,Osceola
89,USA,80000000,80090000,80090247,FL,Palm Beach County,Florida,Palm Beach
90,USA,80000000,80090000,80090297,FL,Sarasota County,Florida,Sarasota
91,USA,80000000,80090000,80090297,FL,FLORIDASARASOTA,Florida,Sarasota
92,USA,80000000,80100000,80100072,GA,Cobb County,Georgia,Cobb
93,USA,80000000,80100000,80100116,GA,Fulton County,Georgia,Fulton
94,USA,80000000,80100000,80100116,GA,GEORGIAFULTON,Georgia,Fulton
95,USA,80000000,80100000,80100123,GA,Gwinnett County,Georgia,Gwinnett
96,USA,80000000,80110000,80110140,HI,Honolulu County,Hawaii,Honolulu
97,USA,80000000,80130000,80130190,IL,Macon County,Illinois,Macon
98,USA,80000000,80140000,80140315,IN,St. Joseph County,Indiana,Saint Joseph
99,USA,80000000,80150000,80150182,IA,Linn County,Iowa,Linn
100,USA,80000000,80160000,80160303,KS,Shawnee County,Kansas,Shawnee
101,USA,80000000,80160000,80160303,KS,KANSASSHAWNEE,Kansas,Shawnee
102,USA,80000000,80180000,80180245,LA,Ouachita Parish,Louisiana,Ouachita
103,USA,80000000,80180000,80180245,LA,LOUISIANAOUACHITA,Louisiana,Ouachita
104,USA,80000000,80200000,80200114,MD,Frederick County,Maryland,Frederick
105,USA,80000000,80200000,80200127,MD,Harford County,Maryland,Harford
106,USA,80000000,80200000,80200143,MD,Howard County,Maryland,Howard
107,USA,80000000,80220000,80220189,MI,Macomb County,Michigan,Macomb
108,USA,80000000,80220000,80220215,MI,Monroe County,Michigan,Monroe
109,USA,80000000,80220000,80220346,MI,Washtenaw County,Michigan,Washtenaw
110,USA,80000000,80220000,80220346,MI,MICHIGANWASHTENAW,Michigan,Washtenaw
111,USA,80000000,80230000,80230082,MN,Dakota County,Minnesota,Dakota
112,USA,80000000,80230000,80230272,MN,Ramsey County,Minnesota,Ramsey
113,USA,80000000,80230000,80230317,MN,St. Louis County,Minnesota,Saint Louis
114,USA,80000000,80250000,80250152,MO,Jefferson County,Missouri,Jefferson
115,USA,80000000,80280000,80280067,NV,Clark County,Nevada,Clark
116,USA,80000000,80300000,80300041,NJ,Burlington County,New Jersey,Burlington
117,USA,80000000,80300000,80300049,NJ,Camden County,New Jersey,Camden
118,USA,80000000,80300000,80300049,NJ,NEWJERSEYCAMDEN,New Jersey,Camden
119,USA,80000000,80300000,80300208,NJ,Middlesex County,New Jersey,Middlesex
120,USA,80000000,80300000,80300214,NJ,Monmouth County,New Jersey,Monmouth
121,USA,80000000,80300000,80300306,NJ,Somerset County,New Jersey,Somerset
122,USA,80000000,80320000,80320035,NY,Bronx County,New York,Bronx
123,USA,80000000,80320000,80320061,NY,Chautauqua County,New York,Chautauqua
