,iso,adm0_id,adm1_id,adm2_id,region_name,region_code,NAME_1
0,FRA,40000000,40210000,40210001,Ile De France,11,Île-de-France
1,FRA,40000000,40070000,40070001,Champagne-Ardennes,21,Champagne-Ardenne
2,FRA,40000000,40170000,40170001,Picardie,22,Picardie
3,FRA,40000000,40100000,40100001,Haute-Normandie,23,Haute-Normandie
4,FRA,40000000,40060000,40060001,Centre,24,Centre
5,FRA,40000000,40030000,40030001,Basse-Normandie,25,Basse-Normandie
6,FRA,40000000,40040000,40040001,Bourgogne,26,Bourgogne
7,FRA,40000000,40150000,40150001,Nord-Pas-De-Calais,31,Nord-Pas-de-Calais
8,FRA,40000000,40130000,40130001,Lorraine,41,Lorraine
9,FRA,40000000,40000000,40000001,Alsace,42,Alsace
10,FRA,40000000,40090000,40090001,Franche-Comté,43,Franche-Comté
11,FRA,40000000,40160000,40160001,Pays de la Loire,52,Pays de la Loire
12,FRA,40000000,40050000,40050001,Bretagne,53,Bretagne
13,FRA,40000000,40180000,40180001,Poitou-Charente,54,Poitou-Charentes
14,FRA,40000000,40010000,40010001,Aquitaine,72,Aquitaine
15,FRA,40000000,40140000,40140001,Midi-Pyrénées,73,Midi-Pyrénées
16,FRA,40000000,40120000,40120001,Limousin,74,Limousin
17,FRA,40000000,40200000,40200001,Rhône-Alpes,82,Rhône-Alpes
18,FRA,40000000,40020000,40020001,Auvergne,83,Auvergne
19,FRA,40000000,40110000,40110001,Languedoc-Roussillon,91,Languedoc-Roussillon
20,FRA,40000000,40190000,40190001,Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur
21,FRA,40000000,40080000,40080001,Corse,94,Corse
