ISO,RMSE (unint), RMSE (int)
BRA,727.0211023242874, 693.8562053614182
ESP,391.0644555582122, 386.4889481297917
FRA,416.2531586982573, 415.7827994456071
GBR,415.3351561270145, 411.3603775287912
IND,473.0134740990885, 492.850383533577
MEX,975.8601574012976, 953.887268141404
USA,496.0867910118725, 494.2863969542849
drop_BRA_MEX,469.0106334392526, 474.8051083092774
all_ISOs,843.4522227091538, 816.9945354684316
