ISO,RMSE (unint), RMSE (int)
BRA,693.8574071009846, 693.8562053614182
ESP,386.4565908547633, 386.4889481297917
FRA,414.6574641190415, 415.7827994456071
GBR,410.216370075316, 411.3603775287912
IND,492.5270075115586, 492.850383533577
MEX,953.8828294537429, 953.887268141404
USA,493.85126617585, 494.2863969542849
