year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax,ssp,global_consumption,ratio
2018,"ss","value",0,.0989037,-.247981,.1313385,.5439752,"SSP2",1.214e+14,
2019,"ss","value",0,.0963564,-.2268463,.1356659,.5908411,"SSP2",1.268e+14,
2020,"ss","value",0,.1161257,-.2358344,.1499573,.6357951,"SSP2",1.326e+14,
2021,"ss","value",0,.0982248,-.1343456,.1627564,.6857845,"SSP2",1.377e+14,
2022,"ss","value",0,.1397435,-.1782905,.185022,.7193935,"SSP2",1.431e+14,
2023,"ss","value",0,.1557801,-.1696242,.2035401,.7588283,"SSP2",1.487e+14,
2024,"ss","value",0,.1664049,-.1428124,.2167926,.8046947,"SSP2",1.546e+14,
2025,"ss","value",0,.1433585,-.0742211,.2303988,.8440318,"SSP2",1.608e+14,
2026,"ss","value",0,.1607111,-.1055287,.25,.8832209,"SSP2",1.661e+14,
2027,"ss","value",0,.1701567,-.1062665,.27,.9260995,"SSP2",1.715e+14,
2028,"ss","value",0,.1537805,-.0591943,.2737382,.983,"SSP2",1.771e+14,
2029,"ss","value",0,.1267432,-.0136832,.2793244,1.043,"SSP2",1.830e+14,
2030,"ss","value",0,.1270777,-.0016087,.296344,1.103,"SSP2",1.890e+14,
2031,"ss","value",0,.135527,.020233,.3052537,1.173,"SSP2",1.942e+14,
2032,"ss","value",0,.1687565,-.0001858,.3230438,1.233,"SSP2",1.995e+14,
2033,"ss","value",0,.1577015,.0163334,.34,1.303,"SSP2",2.049e+14,
2034,"ss","value",0,.1845877,-.0053293,.3436951,1.363,"SSP2",2.105e+14,
2035,"ss","value",0,.1746947,.0257494,.3410126,1.443,"SSP2",2.163e+14,
2036,"ss","value",0,.1705391,.0380246,.3475724,1.513,"SSP2",2.214e+14,
2037,"ss","value",0,.1751136,.0370772,.3653474,1.593,"SSP2",2.266e+14,
2038,"ss","value",0,.2135708,.0190551,.3843217,1.663,"SSP2",2.320e+14,
2039,"ss","value",0,.2454463,.0065962,.4037126,1.733,"SSP2",2.375e+14,
2040,"ss","value",0,.2478845,.0097171,.4052308,1.813,"SSP2",2.431e+14,
2041,"ss","value",0,.2475441,.0206354,.4187425,1.893,"SSP2",2.482e+14,
2042,"ss","value",0,.2576413,.0349779,.4325287,1.983,"SSP2",2.534e+14,
2043,"ss","value",0,.2485716,.055344,.46,2.073,"SSP2",2.587e+14,
2044,"ss","value",0,.2404639,.0720951,.47,2.173,"SSP2",2.642e+14,
2045,"ss","value",0,.2428612,.08178,.48,2.273,"SSP2",2.698e+14,
2046,"ss","value",0,.2226385,.107167,.49,2.353,"SSP2",2.748e+14,
2047,"ss","value",0,.2269997,.113278,.5,2.443,"SSP2",2.800e+14,
2048,"ss","value",0,.2212898,.1245985,.51,2.533,"SSP2",2.853e+14,
2049,"ss","value",0,.2237569,.1343238,.52,2.623,"SSP2",2.907e+14,
2050,"ss","value",0,.2207055,.1461118,.53,2.703,"SSP2",2.963e+14,
2051,"ss","value",0,.2274961,.1574149,.54,2.783,"SSP2",3.014e+14,
2052,"ss","value",0,.2470436,.1509482,.55,2.863,"SSP2",3.067e+14,
2053,"ss","value",0,.2634102,.1549963,.56,2.983,"SSP2",3.121e+14,
2054,"ss","value",0,.2730542,.1579554,.57,3.083,"SSP2",3.176e+14,
2055,"ss","value",0,.2775058,.1648262,.58,3.173,"SSP2",3.233e+14,
2056,"ss","value",0,.2551069,.1782877,.59,3.273,"SSP2",3.287e+14,
2057,"ss","value",0,.2541198,.1884987,.59,3.373,"SSP2",3.341e+14,
2058,"ss","value",0,.2582501,.1955767,.6,3.463,"SSP2",3.398e+14,
2059,"ss","value",0,.2696889,.2015375,.61,3.583,"SSP2",3.455e+14,
2060,"ss","value",0,.2921787,.1986786,.61,3.713,"SSP2",3.514e+14,
2061,"ss","value",0,.2999572,.205241,.62,3.803,"SSP2",3.569e+14,
2062,"ss","value",0,.319339,.206211,.63,3.903,"SSP2",3.627e+14,
2063,"ss","value",0,.3113091,.2119627,.63,3.993,"SSP2",3.685e+14,
2064,"ss","value",0,.3275664,.2104732,.64,4.123,"SSP2",3.745e+14,
2065,"ss","value",0,.314751,.2242595,.64,4.263,"SSP2",3.806e+14,
2066,"ss","value",0,.3035492,.2375332,.65,4.423,"SSP2",3.863e+14,
2067,"ss","value",0,.3103151,.2397634,.65,4.603,"SSP2",3.922e+14,
2068,"ss","value",0,.3285449,.239115,.66,4.753,"SSP2",3.982e+14,
2069,"ss","value",0,.2877224,.2591211,.66,4.863,"SSP2",4.043e+14,
2070,"ss","value",0,.2787327,.2701845,.66,4.983,"SSP2",4.106e+14,
2071,"ss","value",0,.2934138,.2665071,.67,5.093,"SSP2",4.164e+14,
2072,"ss","value",0,.3044559,.2695815,.67,5.203,"SSP2",4.224e+14,
2073,"ss","value",0,.3057304,.275313,.67,5.313,"SSP2",4.286e+14,
2074,"ss","value",0,.3073218,.2814343,.67,5.423,"SSP2",4.348e+14,
2075,"ss","value",0,.2962892,.2935819,.68,5.553,"SSP2",4.412e+14,
2076,"ss","value",0,.3170403,.2930335,.68,5.703,"SSP2",4.472e+14,
2077,"ss","value",0,.3082929,.3032827,.68,5.863,"SSP2",4.534e+14,
2078,"ss","value",0,.3070116,.3142905,.68,6.043,"SSP2",4.596e+14,
2079,"ss","value",0,.308592,.3199818,.68,6.243,"SSP2",4.660e+14,
2080,"ss","value",0,.2915374,.3278523,.68,6.403,"SSP2",4.725e+14,
2081,"ss","value",0,.254122,.3495999,.68,6.573,"SSP2",4.788e+14,
2082,"ss","value",0,.2398973,.3595446,.68,6.723,"SSP2",4.851e+14,
2083,"ss","value",0,.1954158,.3740992,.68,6.883,"SSP2",4.915e+14,
2084,"ss","value",0,.1944853,.3815602,.68,7.033,"SSP2",4.981e+14,
2085,"ss","value",0,.1954392,.3853078,.68,7.183,"SSP2",5.049e+14,
2086,"ss","value",0,.1825167,.3909105,.68,7.303,"SSP2",5.112e+14,
2087,"ss","value",0,.1533399,.4047473,.68,7.433,"SSP2",5.177e+14,
2088,"ss","value",0,.1622269,.4094385,.69,7.553,"SSP2",5.243e+14,
2089,"ss","value",0,.1563576,.414367,.69,7.773,"SSP2",5.311e+14,
2090,"ss","value",0,.1428517,.4263157,.69,7.902999,"SSP2",5.379e+14,
2091,"ss","value",0,.1130491,.4394817,.69,8.033,"SSP2",5.446e+14,
2092,"ss","value",0,.1083654,.4442887,.69,8.163,"SSP2",5.513e+14,
2093,"ss","value",0,.0742503,.4574755,.69,8.283,"SSP2",5.582e+14,
2094,"ss","value",0,.0668163,.4632799,.69,8.403,"SSP2",5.651e+14,
2095,"ss","value",0,.0587524,.4667801,.69,8.513,"SSP2",5.723e+14,
2096,"ss","value",0,.074276,.4689738,.69,8.653,"SSP2",5.790e+14,
2097,"ss","value",0,.0567996,.4795283,.69,8.873,"SSP2",5.858e+14,
2098,"ss","value",0,.0730174,.4776186,.69,9.073,"SSP2",5.927e+14,
2099,"ss","value",0,.0693993,.483112,.69,9.243,"SSP2",5.998e+14,
2100,"ss","value",0,.0704165,.490193,0,11,"SSP2",6.086e+14,1.014657
2101,"ss","value",0,.0714486,.497378,0,11,"SSP2",6.175e+14,1.029529
2102,"ss","value",0,.0724959,.5046682,0,11,"SSP2",6.266e+14,1.044619
2103,"ss","value",0,.0735584,.5120652,0,11,"SSP2",6.357e+14,1.059931
2104,"ss","value",0,.0746366,.5195706,0,11,"SSP2",6.451e+14,1.075466
2105,"ss","value",0,.0757306,.5271862,0,11,"SSP2",6.545e+14,1.09123
2106,"ss","value",0,.0768406,.5349133,0,11,"SSP2",6.641e+14,1.107224
2107,"ss","value",0,.0779669,.5427536,0,11,"SSP2",6.738e+14,1.123453
2108,"ss","value",0,.0791096,.550709,0,11,"SSP2",6.837e+14,1.13992
2109,"ss","value",0,.0802692,.5587808,0,11,"SSP2",6.937e+14,1.156628
2110,"ss","value",0,.0814457,.566971,0,11,"SSP2",7.039e+14,1.173581
2111,"ss","value",0,.0826395,.5752813,0,11,"SSP2",7.142e+14,1.190782
2112,"ss","value",0,.0838507,.5837133,0,11,"SSP2",7.247e+14,1.208236
2113,"ss","value",0,.0850797,.5922689,0,11,"SSP2",7.353e+14,1.225945
2114,"ss","value",0,.0863268,.6009499,0,11,"SSP2",7.461e+14,1.243914
2115,"ss","value",0,.0875921,.6097583,0,11,"SSP2",7.570e+14,1.262147
2116,"ss","value",0,.088876,.6186956,0,11,"SSP2",7.681e+14,1.280646
2117,"ss","value",0,.0901786,.627764,0,11,"SSP2",7.794e+14,1.299417
2118,"ss","value",0,.0915004,.6369654,0,11,"SSP2",7.908e+14,1.318463
2119,"ss","value",0,.0928416,.6463016,0,11,"SSP2",8.024e+14,1.337788
2120,"ss","value",0,.0942023,.6557744,0,11,"SSP2",8.142e+14,1.357396
2121,"ss","value",0,.0955831,.6653863,0,11,"SSP2",8.261e+14,1.377292
2122,"ss","value",0,.0969841,.6751391,0,11,"SSP2",8.382e+14,1.397479
2123,"ss","value",0,.0984056,.6850348,0,11,"SSP2",8.505e+14,1.417963
2124,"ss","value",0,.099848,.6950755,0,11,"SSP2",8.630e+14,1.438746
2125,"ss","value",0,.1013115,.7052634,0,11,"SSP2",8.756e+14,1.459834
2126,"ss","value",0,.1027964,.7156006,0,11,"SSP2",8.884e+14,1.481231
2127,"ss","value",0,.1043031,.7260893,0,11,"SSP2",9.015e+14,1.502942
2128,"ss","value",0,.1058319,.7367318,0,11,"SSP2",9.147e+14,1.524971
2129,"ss","value",0,.1073831,.7475303,0,11,"SSP2",9.281e+14,1.547323
2130,"ss","value",0,.1089571,.758487,0,11,"SSP2",9.417e+14,1.570002
2131,"ss","value",0,.1105541,.7696044,0,11,"SSP2",9.555e+14,1.593014
2132,"ss","value",0,.1121745,.7808847,0,11,"SSP2",9.695e+14,1.616364
2133,"ss","value",0,.1138187,.7923303,0,11,"SSP2",9.837e+14,1.640055
2134,"ss","value",0,.115487,.8039437,0,11,"SSP2",9.981e+14,1.664094
