temp,no_wgt_comm,no_wgt_low,no_wgt_ag,no_wgt_nonag,pop_wgt_comm,risk_wgt_sector_low,risk_wgt_sector_ag,risk_wgt_sector_nonag,frac_no_wgt_comm,frac_no_wgt_low,frac_no_wgt_ag,frac_no_wgt_nonag,frac_pop_wgt_comm,frac_risk_wgt_sector_low,frac_risk_wgt_sector_ag,frac_risk_wgt_sector_nonag
-10,3,3,0,0,8.30221874199e-06,.0000166078712027,0,0,4.54831240175e-07,7.18420394710e-07,0,0,8.52179516038e-06,.0000273068142188,0,0
-9.9,4,4,0,0,8.54027690577e-06,.0000170840862666,0,0,6.06441653566e-07,9.57893859613e-07,0,0,8.76614946747e-06,.0000280898113963,0,0
-9.699999999999999,2,2,0,0,6.80424591153e-06,.0000136113058034,0,0,3.03220826783e-07,4.78946929806e-07,0,0,6.98420406411e-06,.0000223798338939,0,0
-9.6,2,2,0,0,4.92546176789e-06,9.85295991995e-06,0,0,3.03220826783e-07,4.78946929806e-07,0,0,5.05572998745e-06,.0000162003271073,0,0
-9.300000000000001,1,0,0,1,2.38850964095e-06,0,0,5.11844018547e-06,1.51610413392e-07,0,0,4.90254236042e-07,2.45168075322e-06,0,0,.000017847496715
-9.1,6,6,0,0,.0000234654785773,.0000469406622869,0,0,9.09662480349e-07,1.43684078942e-06,0,0,.0000240860916811,.0000771802676413,0,0
-8.9,10,10,0,0,.0000167640901117,.0000335351135163,0,0,1.51610413392e-06,2.39473464903e-06,0,0,.0000172074654284,.0000551387413486,0,0
-8.800000000000001,4,4,0,0,4.22104911518e-06,8.44384430820e-06,0,0,6.06441653566e-07,9.57893859613e-07,0,0,4.33268708515e-06,.000013883446289,0,0
-8.699999999999999,4,3,0,1,4.86991558635e-06,6.29425085208e-06,0,3.69323515770e-06,6.06441653566e-07,7.18420394710e-07,0,4.90254236042e-07,4.99871472493e-06,.0000103490650046,0,.0000128779471785
-8.6,9,6,0,3,.0000289215157154,.0000268687817879,0,.0000331939791067,1.36449372052e-06,1.43684078942e-06,0,1.47076270813e-06,.0000296864296537,.0000441778975531,0,.0001157441352442
-8.5,4,3,0,1,.0000143372098211,.0000206117272228,0,8.64351204655e-06,6.06441653566e-07,7.18420394710e-07,0,4.90254236042e-07,.0000147163992017,.0000338899910248,0,.0000301390750438
-8.300000000000001,9,9,0,0,.0000392950560246,.0000786063610576,0,0,1.36449372052e-06,2.15526118413e-06,0,0,.0000403343285288,.0001292453001121,0,0
-8.199999999999999,5,3,0,2,4.61566444226e-06,5.74052955926e-06,0,3.74156365979e-06,7.58052066958e-07,7.18420394710e-07,0,9.80508472083e-07,4.73773916689e-06,9.43863137419e-06,0,.0000130464639045
-8.1,5,3,0,2,.0000138840346681,9.65189474300e-06,0,.0000194131043827,7.58052066958e-07,7.18420394710e-07,0,9.80508472083e-07,.0000142512385084,.0000158697338984,0,.0000676915826197
-8,4,4,0,0,.0000172504655123,.0000345080661646,0,0,6.06441653566e-07,9.57893859613e-07,0,0,.0000177067044468,.0000567384790203,0,0
-7.9,2,2,0,0,3.57506982314e-06,7.15161831977e-06,0,0,3.03220826783e-07,4.78946929806e-07,0,0,3.66962298437e-06,.0000117587564618,0,0
