temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_manuf,se_manuf,lowerci_manuf,upperci_manuf,yhat_hr3,se_hr3,lowerci_hr3,upperci_hr3
-20,27,-2.4749506,13.459914,-28.855898,23.905998,1.7709134,9.9370718,-17.705391,21.247217,-155.81921,78.006653,-308.70944,-2.9289942
-19.9,27,-2.4696846,13.431276,-28.794502,23.855133,1.7671455,9.9159298,-17.667719,21.202009,-155.48769,77.840675,-308.05261,-2.9227622
-19.8,27,-2.4644186,13.402638,-28.733107,23.80427,1.7633775,9.8947868,-17.630047,21.156803,-155.15616,77.674706,-307.39578,-2.9165301
-19.7,27,-2.4591529,13.374001,-28.671713,23.753407,1.7596097,9.8736439,-17.592377,21.111597,-154.82463,77.508736,-306.73895,-2.9102983
-19.6,27,-2.453887,13.345363,-28.610317,23.702541,1.7558419,9.8525009,-17.554707,21.066389,-154.4931,77.342766,-306.08212,-2.9040666
-19.5,27,-2.4486213,13.316724,-28.54892,23.651678,1.7520739,9.8313589,-17.517035,21.021183,-154.16158,77.176796,-305.42529,-2.8978345
-19.4,27,-2.4433553,13.288086,-28.487524,23.600815,1.748306,9.810216,-17.479364,20.975975,-153.83003,77.010818,-304.76846,-2.8916028
-19.3,27,-2.4380894,13.259447,-28.426128,23.54995,1.7445381,9.789073,-17.441692,20.930769,-153.4985,76.844849,-304.11163,-2.8853707
-19.2,27,-2.4328237,13.23081,-28.364735,23.499086,1.7407702,9.767931,-17.404022,20.885563,-153.16698,76.678879,-303.45483,-2.8791389
-19.1,27,-2.4275577,13.202171,-28.303339,23.448223,1.7370023,9.746788,-17.36635,20.840355,-152.83545,76.512909,-302.798,-2.8729069
-19,27,-2.422292,13.173533,-28.241943,23.39736,1.7332344,9.7256451,-17.32868,20.795149,-152.50392,76.346931,-302.14117,-2.8666751
-18.9,27,-2.417026,13.144896,-28.180548,23.346495,1.7294664,9.7045021,-17.291008,20.749941,-152.17238,76.180962,-301.48431,-2.8604431
-18.8,27,-2.4117601,13.116257,-28.119152,23.295631,1.7256986,9.6833591,-17.253338,20.704735,-151.84085,76.014992,-300.82748,-2.8542113
-18.7,27,-2.4064944,13.087619,-28.057756,23.244768,1.7219307,9.6622171,-17.215668,20.659529,-151.50932,75.849022,-300.17068,-2.8479793
-18.6,27,-2.4012287,13.058981,-27.996361,23.193905,1.7181628,9.6410742,-17.177996,20.614321,-151.1778,75.683052,-299.51385,-2.8417475
-18.5,27,-2.3959627,13.030343,-27.934965,23.14304,1.7143949,9.6199312,-17.140324,20.569115,-150.84627,75.517075,-298.85703,-2.8355155
