temp,ref,yhat_agri,se_agri,lowerci_agri,upperci_agri,yhat_high,se_high,lowerci_high,upperci_high
-16,27,-138.72696,68.718979,-273.4137,-4.0402269,-31.314896,30.469351,-91.033722,28.403934
-15.9,27,-138.40433,68.559166,-272.77783,-4.0308313,-31.242069,30.398491,-90.822014,28.337877
-15.8,27,-138.08171,68.399361,-272.142,-4.0214353,-31.169245,30.327633,-90.610313,28.271822
-15.7,27,-137.75909,68.239548,-271.50613,-4.0120392,-31.096418,30.256773,-90.398605,28.205767
-15.6,27,-137.43648,68.079735,-270.8703,-4.0026436,-31.023594,30.185915,-90.186897,28.139711
-15.5,27,-137.11385,67.919922,-270.23447,-3.9932477,-30.950769,30.115055,-89.975189,28.073656
-15.4,27,-136.79123,67.760109,-269.5986,-3.9838517,-30.877943,30.044197,-89.763489,28.007599
-15.3,27,-136.46861,67.600304,-268.96277,-3.9744558,-30.805119,29.973337,-89.551781,27.941545
-15.2,27,-136.146,67.440491,-268.3269,-3.96506,-30.732292,29.902479,-89.340073,27.875488
-15.1,27,-135.82336,67.280678,-267.69107,-3.9556642,-30.659468,29.831619,-89.128372,27.809433
-15,27,-135.50075,67.120865,-267.05524,-3.9462683,-30.586641,29.760761,-88.916664,27.743378
-14.9,27,-135.17813,66.961052,-266.41937,-3.9368722,-30.513817,29.689901,-88.704956,27.677322
-14.8,27,-134.8555,66.801239,-265.78354,-3.9274766,-30.44099,29.619043,-88.493248,27.611267
-14.7,27,-134.53288,66.641434,-265.14767,-3.9180806,-30.368166,29.548183,-88.28154,27.54521
-14.6,27,-134.21027,66.481621,-264.51184,-3.9086847,-30.295341,29.477325,-88.069839,27.479155
-14.5,27,-133.88765,66.321808,-263.87601,-3.8992889,-30.222515,29.406466,-87.858131,27.413099
-14.4,27,-133.56502,66.161995,-263.24014,-3.8898931,-30.149689,29.335608,-87.646423,27.347044
-14.3,27,-133.2424,66.002182,-262.60431,-3.8804972,-30.076864,29.264748,-87.434715,27.280989
-14.2,27,-132.91978,65.842369,-261.96844,-3.8711011,-30.00404,29.19389,-87.223007,27.214931
-14.1,27,-132.59717,65.682564,-261.33261,-3.8617053,-29.931213,29.12303,-87.011307,27.148876
-14,27,-132.27454,65.522751,-260.69678,-3.8523095,-29.858389,29.052172,-86.799599,27.082821
-13.9,27,-131.95192,65.362938,-260.06091,-3.8429136,-29.785563,28.981312,-86.587891,27.016766
-13.8,27,-131.6293,65.203125,-259.42508,-3.8335178,-29.712738,28.910454,-86.376183,26.95071
-13.7,27,-131.30667,65.043312,-258.78925,-3.824122,-29.639912,28.839594,-86.164482,26.884653
-13.6,27,-130.98405,64.883507,-258.15338,-3.8147261,-29.567087,28.768736,-85.952774,26.818598
-13.5,27,-130.66144,64.723694,-257.51755,-3.80533,-29.494263,28.697876,-85.741066,26.752542
-13.4,27,-130.33881,64.563881,-256.88168,-3.7959342,-29.421436,28.627018,-85.529358,26.686487
-13.3,27,-130.01619,64.404068,-256.24585,-3.7865384,-29.348612,28.556158,-85.317657,26.620432
-13.2,27,-129.69357,64.244255,-255.61,-3.7771425,-29.275785,28.4853,-85.105949,26.554375
-13.1,27,-129.37096,64.08445,-254.97417,-3.7677467,-29.202961,28.41444,-84.894241,26.488319
-13,27,-129.04832,63.924633,-254.33832,-3.7583506,-29.130135,28.343582,-84.682533,26.422264
-12.9,27,-128.72571,63.76482,-253.70247,-3.7489548,-29.05731,28.272722,-84.470825,26.356209
-12.8,27,-128.40309,63.605011,-253.06662,-3.7395589,-28.984484,28.201864,-84.259125,26.290154
-12.7,27,-128.08047,63.445198,-252.43077,-3.7301631,-28.911659,28.131004,-84.047417,26.224096
-12.6,27,-127.75785,63.285389,-251.79494,-3.7207673,-28.838835,28.060146,-83.835709,26.158041
-12.5,27,-127.43523,63.125576,-251.15909,-3.7113714,-28.766008,27.989286,-83.624001,26.091986
-12.4,27,-127.1126,62.965763,-250.52324,-3.7019753,-28.693182,27.918428,-83.412292,26.02593
-12.3,27,-126.78999,62.805954,-249.88739,-3.6925795,-28.620358,27.847569,-83.200592,25.959875
-12.2,27,-126.46736,62.646141,-249.25154,-3.6831837,-28.547533,27.776711,-82.988884,25.893818
