temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,tmax_rcspl_3kn_t0,tmax_rcspl_3kn_t1,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
45,27,-43.768776,14.483268,-72.155457,-15.382093,45,3840,-42.885765,13.60515,-69.551369,-16.22016,-13.045757,31.469139,-74.724136,48.632622,29.840008,36.778252,-42.244041,101.92406
40,27,-21.865891,7.6274505,-36.815418,-6.9163613,40,2040,-22.276154,7.1568284,-36.30328,-8.2490282,-7.7217321,16.430141,-39.924217,24.480755,14.554422,19.210085,-23.096653,52.205498
35,27,-3.5774732,2.2053175,-7.8998156,.74486953,35,512,-4.892302,2.2585237,-9.3189278,-.46567672,-3.0283275,7.0073853,-16.76255,10.705895,1.8639747,7.4909921,-12.818101,16.546049
30,27,.85104847,.68893939,-.49924791,2.2013447,30,27,.12218885,.82468456,-1.4941632,1.7385409,-.75307679,3.2842677,-7.1901231,5.6839695,-.87526566,3.3678288,-7.476089,5.7255573
10,27,-6.8557467,4.1127114,-14.916513,1.2050194,10,0,-2.5068927,4.9258461,-12.161373,7.1475883,3.9127109,19.637577,-34.576233,42.401653,6.4196038,20.149904,-33.073483,45.912689
5,27,-8.8721428,5.3223324,-19.303722,1.5594368,5,0,-3.2442141,6.3746243,-15.738248,9.2498198,5.063508,25.413334,-44.745712,54.872726,8.3077221,26.076347,-42.800976,59.416424
0,27,-10.888539,6.5319533,-23.690933,1.9138542,0,0,-3.9815354,7.8234024,-19.315123,11.352052,6.2143054,31.189093,-54.915192,67.343803,10.195841,32.002789,-52.528473,72.920151
-5,27,-12.904936,7.7415743,-28.078142,2.2682717,-5,0,-4.7188568,9.2721806,-22.891998,13.454284,7.3651028,36.964851,-65.084671,79.81488,12.08396,37.92923,-62.255966,86.423889
-10,27,-14.921331,8.9511957,-32.465351,2.622689,-10,0,-5.4561782,10.720959,-26.468872,15.556516,8.5159006,42.740608,-75.25415,92.28595,13.972078,43.855675,-71.983459,99.92762
