temp,ref,yhat_comm,se_comm,lomacoerci_comm,upperci_comm,yhat_lomaco,se_lomaco,lomacoerci_lomaco,upperci_lomaco,yhat_low,se_low,lowerci_low,upperci_low
-18.8,27,-18.341679,11.215596,-40.323845,3.6404853,-3.0156341,10.569918,-23.732292,17.701023,-2.4529474,13.114471,-28.156839,23.250944
-18.7,27,-18.301632,11.191108,-40.235802,3.6325366,-3.0090499,10.54684,-23.680475,17.662374,-2.4475918,13.085838,-28.095364,23.20018
-18.6,27,-18.261585,11.16662,-40.147758,3.624588,-3.0024655,10.523761,-23.628658,17.623726,-2.4422359,13.057203,-28.033884,23.149412
-18.5,27,-18.221537,11.142132,-40.059715,3.6166394,-2.9958811,10.500682,-23.576839,17.585077,-2.4368801,13.028569,-27.972406,23.098646
-18.4,27,-18.18149,11.117643,-39.971672,3.6086907,-2.9892967,10.477604,-23.525023,17.546429,-2.4315243,12.999935,-27.910929,23.04788
-18.3,27,-18.141443,11.093155,-39.883625,3.6007419,-2.9827125,10.454525,-23.473206,17.50778,-2.4261687,12.9713,-27.849451,22.997114
-18.2,27,-18.101397,11.068667,-39.795586,3.5927935,-2.9761281,10.431447,-23.421389,17.469133,-2.4208128,12.942667,-27.787973,22.946348
-18.1,27,-18.061348,11.044179,-39.707542,3.5848448,-2.9695437,10.408369,-23.369572,17.430485,-2.415457,12.914033,-27.726496,22.895582
-18,27,-18.021301,11.019691,-39.619499,3.576896,-2.9629593,10.38529,-23.317755,17.391836,-2.4101012,12.885398,-27.665018,22.844814
-17.9,27,-17.981253,10.995202,-39.531452,3.5689473,-2.9563751,10.362211,-23.265936,17.353188,-2.4047456,12.856764,-27.60354,22.794048
-17.8,27,-17.941206,10.970714,-39.443409,3.5609987,-2.9497907,10.339133,-23.214119,17.314539,-2.3993897,12.82813,-27.542061,22.743282
-17.7,27,-17.901159,10.946226,-39.35537,3.55305,-2.9432063,10.316055,-23.162302,17.27589,-2.3940339,12.799496,-27.480585,22.692516
-17.6,27,-17.861111,10.921738,-39.267326,3.5451014,-2.9366219,10.292976,-23.110485,17.237242,-2.3886781,12.770862,-27.419107,22.64175
-17.5,27,-17.821064,10.897249,-39.179279,3.5371528,-2.9300375,10.269898,-23.058668,17.198593,-2.3833225,12.742227,-27.357628,22.590984
-17.4,27,-17.781017,10.872762,-39.091236,3.5292041,-2.9234533,10.246819,-23.006851,17.159945,-2.3779666,12.713593,-27.29615,22.540216
-17.3,27,-17.740969,10.848273,-39.003193,3.5212553,-2.9168689,10.223742,-22.955032,17.121296,-2.3726108,12.684958,-27.234673,22.48945
