temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_manuf2,se_manuf2,lowerci_manuf2,upperci_manuf2,yhat_hr4,se_hr4,lowerci_hr4,upperci_hr4
-20,27,-18.95412391,11.37043745088797,-41.2397718,3.331523980272603,-3.814399889,13.83286430249074,-30.92631573,23.29751594658032,-1.27136417,10.79096990708017,-22.42127655,19.87854820649195,-101.3572438,63.58749766369807,-225.9864491,23.27196145110713
-19.9,27,-18.91379583,11.34624493835807,-41.15202727,3.324435604,-3.806284114,13.80343256406543,-30.8605148,23.24794657466879,-1.268659129,10.76801030903468,-22.37357152,19.83625326169031,-101.1415893,63.45220459890647,-225.5056251,23.22244644970218
-19.8,27,-18.87346776,11.32205242607094,-41.06428274,3.317347228,-3.798168339,13.77400082562009,-30.79471388,23.19837720271802,-1.265954089,10.74505071,-22.32586649,19.79395831689046,-100.9259348,63.31691153489218,-225.024801,23.17293144982072
-19.7,27,-18.83314045,11.29786037507323,-40.97653989,3.310258987545474,-3.790052718,13.74456964854081,-30.72891421,23.14880877622896,-1.2632491,10.72209155089401,-22.27816238,19.75166417885952,-100.7102844,63.18162105077237,-224.5439861,23.12341739317139
-19.6,27,-18.79281237,11.27366786278611,-40.88879536,3.303170611822868,-3.781936943,13.71513791006626,-30.66311329,23.09923940422093,-1.260544059,10.69913195287011,-22.23045735,19.70936923410022,-100.4946298,63.04632798675804,-224.063162,23.07390239328986
-19.5,27,-18.7524843,11.24947535025621,-40.80105083,3.296082235624439,-3.773821167,13.68570617163926,-30.59731237,23.04967003,-1.257839019,10.67617235484925,-22.18275233,19.66707428934685,-100.2789753,62.91103492274375,-223.582338,23.02438739340839
-19.4,27,-18.71215622,11.22528283796909,-40.7133063,3.288993859901836,-3.765705392,13.65627443318486,-30.53151144,23.00010066033757,-1.255133978,10.65321275682382,-22.1350473,19.62477934458454,-100.0633208,62.77574185795216,-223.1015139,22.97487239200342
-19.3,27,-18.67182814,11.20109032543918,-40.62556177,3.281905483703369,-3.757589616,13.62684269473219,-30.46571052,22.95053128837243,-1.252428938,10.63025315880558,-22.08734228,19.5824844,-99.84766622,62.64044879393787,-222.6206898,22.92535739212197
-19.2,27,-18.63150083,11.17689827444147,-40.53781891,3.274817242897306,-3.749473996,13.59741151763457,-30.39991085,22.90096286184743,-1.249723949,10.607294,-22.03963816,19.54019026175698,-99.6320158,62.50515830981803,-222.1398749,22.87584334
-19.1,27,-18.59117276,11.15270576215435,-40.45007438,3.267728867174711,-3.74135822,13.56797977919235,-30.33410993,22.85139348990277,-1.247018909,10.58433440068291,-21.99193313,19.49789531704081,-99.41636127,62.36986524580372,-221.6590509,22.82632833559109
-19,27,-18.55084468,11.12851324974585,-40.36232985,3.260640491214208,-3.733242445,13.53854804073614,-30.26830901,22.80182411793069,-1.244313868,10.56137480266462,-21.94422811,19.45560037229248,-99.20070673,62.23457218178944,-221.1782268,22.77681333570963
-18.9,27,-18.5105166,11.10432073733733,-40.27458532,3.253552115253676,-3.725126669,13.50911630231095,-30.20250808,22.75225474601941,-1.241608828,10.53841520462011,-21.89652308,19.41330542749276,-98.9850522,62.09927911622054,-220.6974027,22.72729833278119
-18.8,27,-18.47018853,11.08012822492882,-40.18684079,3.246463739293137,-3.717010894,13.47968456,-30.13670716,22.70268537400786,-1.238903787,10.51545560661832,-21.84881806,19.37101048277679,-98.76939767,61.96398605220622,-220.2165787,22.67778333289966
-18.7,27,-18.42986122,11.05593617405249,-40.09909793,3.239375498724982,-3.708895273,13.45025338675546,-30.07090749,22.65311694751908,-1.236198798,10.49249644649763,-21.80111394,19.32871634469762,-98.55374725,61.82869557,-219.7357638,22.62826927625034
-18.6,27,-18.38953314,11.03174366,-40.0113534,3.232287122526557,-3.700779498,13.42082164831812,-30.00510657,22.60354757558398,-1.233493758,10.46953684847934,-21.75340892,19.28642139994931,-98.33809272,61.6934025,-219.2549397,22.57875427636884
-18.5,27,-18.34920506,11.00755114923547,-39.92360887,3.225198746803944,-3.692663723,13.39138990986925,-29.93930565,22.55397820362627,-1.230788717,10.44657725,-21.70570389,19.24412645518677,-98.12243818,61.55810944005782,-218.7741156,22.52923928
-18.4,27,-18.30887699,10.98335863682696,-39.83586434,3.218110370843434,-3.684547947,13.36195817143189,-29.87350473,22.50440883169115,-1.228083677,10.42361765243298,-21.65799886,19.20183151,-97.90678365,61.42281638,-218.2932916,22.47972427508239
-18.3,27,-18.26854891,10.95916612441845,-39.74811981,3.211021994882895,-3.676432172,13.33252643298786,-29.8077038,22.45483945974294,-1.225378636,10.40065805440905,-21.61029384,19.15953656567412,-97.69112912,61.28752331,-217.8124675,22.43020927520091
-18.2,27,-18.2282216,10.93497407342074,-39.66037696,3.203933754076836,-3.668316551,13.30309525589023,-29.74190414,22.40527103321792,-1.222673648,10.37769889431309,-21.56258972,19.11724242764342,-97.4754787,61.15223282713209,-217.3316526,22.38069521855161
-18.1,27,-18.18789352,10.91078156113361,-39.57263243,3.196845378354229,-3.660200776,13.27366351743922,-29.67610321,22.35570166125603,-1.219968607,10.35473929626845,-21.5148847,19.07494748284347,-97.25982416,61.01693976311779,-216.8508285,22.33118021867011
-18,27,-18.14756545,10.88658904860371,-39.4848879,3.189757002155783,-3.652085,13.24423177899389,-29.61030229,22.30613228930527,-1.217263567,10.33177969822295,-21.46717967,19.03265253804181,-97.04416963,60.88164669910349,-216.3700045,22.28166521878862
-17.9,27,-18.10723737,10.86239653631659,-39.39714337,3.182668626433188,-3.643969225,13.21480004053135,-29.54450137,22.25656291732078,-1.214558526,10.30882010022366,-21.41947465,18.99035759333072,-96.8285151,60.74635363,-215.8891804,22.23215021738368
-17.8,27,-18.06690929,10.83820402390809,-39.30939884,3.175580250472684,-3.63585345,13.18536830208601,-29.47870044,22.20699354537002,-1.211853486,10.28586050219235,-21.37176962,18.94806264855688,-96.61286057,60.61106057029759,-215.4083563,22.18263521750217
-17.7,27,-18.02658199,10.81401197291037,-39.22165598,3.168492009666608,-3.627737829,13.15593712499472,-29.41290078,22.15742511885742,-1.209148497,10.26290134209625,-21.3240655,18.90576851052592,-96.39721015,60.47577008617776,-214.9275415,22.13312116085284
-17.6,27,-17.98625391,10.78981946050185,-39.13391145,3.161403633706058,-3.619622054,13.12650538656011,-29.34709985,22.10785574692768,-1.206443456,10.23994174404607,-21.27636048,18.86347356571509,-96.18155561,60.34047702216348,-214.4467174,22.08360616097137
-17.5,27,-17.94592583,10.76562694809334,-39.04616692,3.154315257745534,-3.611506278,13.09707365,-29.28129893,22.05828637495305,-1.203738416,10.21698214603835,-21.22865545,18.82117862,-95.96590108,60.20518395814918,-213.9658933,22.03409116108988
-17.4,27,-17.90559775,10.74143443568483,-38.95842239,3.147226881785027,-3.603390503,13.06764190967872,-29.21549801,22.00871700304434,-1.201033375,10.19402255,-21.18095043,18.77888367625081,-95.75024655,60.06989089413473,-213.4850693,21.98457616
-17.3,27,-17.86526968,10.71724192327633,-38.87067786,3.140138506,-3.595274727,13.03821017122123,-29.14969709,21.95914763106973,-1.198328335,10.17106294999454,-21.1332454,18.73658873147668,-95.53459201,59.93459782934329,-213.0042452,21.93506115980344
-17.2,27,-17.82494237,10.69304987239999,-38.782935,3.133050265256344,-3.587159107,13.00877899414375,-29.08389742,21.90957920458421,-1.195623346,10.14810378986065,-21.08554129,18.69429459337164,-95.31894159,59.79930734522345,-212.5234303,21.8855471
-17.1,27,-17.78461429,10.66885735999149,-38.69519047,3.125961889295844,-3.579043331,12.97934725569971,-29.0180965,21.86000983263599,-1.192918306,10.12514419187205,-21.03783626,18.65199964868152,-95.10328706,59.66401428120916,-212.0426062,21.83603210327263
-17,27,-17.74428622,10.64466484758298,-38.60744594,3.118873513,-3.570927556,12.94991551722856,-28.95229557,21.81044046063462,-1.190213265,10.10218459384058,-20.99013123,18.60970470390736,-94.88763253,59.52872121719486,-211.5617822,21.78651710339112
-16.9,27,-17.70395814,10.62047233517447,-38.51970141,3.111785137374799,-3.562811781,12.92048377877837,-28.88649465,21.76087108867434,-1.187508225,10.07922499580921,-20.94242621,18.56740976,-94.671978,59.39342815318039,-211.0809581,21.73700210350933
-16.8,27,-17.66363006,10.59627982276594,-38.43195688,3.104696761414242,-3.554696005,12.89105204034067,-28.82069373,21.71130171673854,-1.184803184,10.05626539782052,-20.89472118,18.52511481,-94.45632346,59.25813508761165,-210.600134,21.68748710058117
-16.7,27,-17.62330275,10.57208777176825,-38.34421403,3.097608520608212,-3.546580385,12.86162086,-28.75489406,21.66173329025303,-1.182098195,10.03330624,-20.84701707,18.48282067633821,-94.24067304,59.12284461,-210.1193191,21.63797304697856
-16.6,27,-17.58297468,10.54789525948113,-38.2564695,3.090520144885613,-3.538464609,12.83218912479302,-28.68909314,21.61216391825358,-1.179393155,10.01034663965525,-20.79931204,18.44052573156409,-94.02501851,58.98755153947752,-209.6384951,21.58845804405034
-16.5,27,-17.5426466,10.52370274707262,-38.16872497,3.083431768925088,-3.530348834,12.80275738637547,-28.62329221,21.56259454635727,-1.176688114,9.987387041642823,-20.75160702,18.39823078682726,-93.80936398,58.85225848,-209.157671,21.53894304416882
