temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,tmax_rcspl_3kn_t0,tmax_rcspl_3kn_t1,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,-24.930061,14.345035,-53.045811,3.1856883,-20,0,-2.4749506,13.459548,-28.855179,23.905277,-155.81921,78.004524,-308.70529,-2.9331579,-153.34427,79.283257,-308.7366,2.0480535
-19.9,27,-24.87702,14.314512,-52.932949,3.17891,-19.9,0,-2.4696846,13.43091,-28.793785,23.854416,-155.48769,77.838562,-308.04846,-2.9269171,-153.01801,79.114563,-308.07971,2.0436959
-19.8,27,-24.823977,14.283991,-52.820084,3.172132,-19.799999,0,-2.4644186,13.402272,-28.732391,23.803553,-155.15616,77.672592,-307.39163,-2.9206765,-152.69174,78.945877,-307.42282,2.0393384
-19.7,27,-24.770935,14.25347,-52.707222,3.165354,-19.700001,0,-2.4591529,13.373635,-28.670998,23.752691,-154.82463,77.50663,-306.73483,-2.9144356,-152.36548,78.777191,-306.76593,2.0349808
-19.6,27,-24.717892,14.222949,-52.59436,3.158576,-19.6,0,-2.453887,13.344998,-28.609604,23.70183,-154.4931,77.34066,-306.078,-2.908195,-152.03922,78.608505,-306.10904,2.0306232
-19.5,27,-24.664848,14.192428,-52.481495,3.1517978,-19.5,0,-2.4486213,13.31636,-28.548208,23.650967,-154.16158,77.17469,-305.42117,-2.9019542,-151.71295,78.439812,-305.45215,2.0262656
-19.4,27,-24.611805,14.161906,-52.368633,3.1450198,-19.4,0,-2.4433553,13.287724,-28.486814,23.600103,-153.83003,77.00872,-304.76437,-2.8957133,-151.38669,78.271126,-304.79526,2.021908
-19.3,27,-24.558764,14.131385,-52.255768,3.1382418,-19.299999,0,-2.4380894,13.259086,-28.425421,23.549242,-153.4985,76.842758,-304.10754,-2.8894725,-151.06041,78.10244,-304.1384,2.0175505
-19.2,27,-24.505722,14.100863,-52.142906,3.1314638,-19.200001,0,-2.4328237,13.230449,-28.364027,23.498381,-153.16698,76.676788,-303.45071,-2.8832319,-150.73416,77.933754,-303.48151,2.0131931
-19.1,27,-24.452679,14.070342,-52.030041,3.1246858,-19.1,0,-2.4275577,13.201812,-28.302633,23.447517,-152.83545,76.510826,-302.79391,-2.876991,-150.4079,77.765068,-302.82462,2.0088356
-19,27,-24.399635,14.039821,-51.917179,3.1179075,-19,0,-2.422292,13.173174,-28.24124,23.396654,-152.50392,76.344856,-302.13708,-2.8707504,-150.08162,77.596375,-302.16772,2.004478
-18.9,27,-24.346592,14.009299,-51.804314,3.1111295,-18.9,0,-2.417026,13.144537,-28.179844,23.345793,-152.17238,76.178886,-301.48026,-2.8645096,-149.75536,77.427689,-301.51083,2.0001204
-18.8,27,-24.29355,13.978778,-51.691452,3.1043513,-18.799999,0,-2.4117601,13.115899,-28.11845,23.29493,-151.84085,76.012917,-300.82343,-2.8582687,-149.42909,77.259003,-300.85394,1.9957627
-18.7,27,-24.240507,13.948256,-51.57859,3.0975735,-18.700001,0,-2.4064944,13.087262,-28.057058,23.244068,-151.50932,75.846954,-300.16663,-2.8520281,-149.10283,77.090317,-300.19708,1.9914052
-18.6,27,-24.187466,13.917735,-51.465725,3.0907953,-18.6,0,-2.4012287,13.058625,-27.995663,23.193207,-151.1778,75.680984,-299.5098,-2.8457873,-148.77657,76.921623,-299.54019,1.9870477
-18.5,27,-24.134422,13.887214,-51.352859,3.0840173,-18.5,0,-2.3959627,13.029987,-27.934269,23.142344,-150.84627,75.515022,-298.853,-2.8395464,-148.4503,76.752937,-298.8833,1.9826901
-18.4,27,-24.081379,13.856692,-51.239998,3.0772393,-18.4,0,-2.3906968,13.00135,-27.872875,23.09148,-150.51474,75.349052,-298.19617,-2.8333058,-148.12404,76.584251,-298.22641,1.9783325
-18.3,27,-24.028336,13.826171,-51.127132,3.070461,-18.299999,0,-2.3854311,12.972713,-27.81148,23.040619,-150.1832,75.183083,-297.53934,-2.827065,-147.79778,76.415558,-297.56952,1.9739749
-18.2,27,-23.975294,13.79565,-51.014271,3.063683,-18.200001,0,-2.3801651,12.944076,-27.750088,22.989758,-149.85168,75.01712,-296.88254,-2.8208244,-147.47151,76.246872,-296.91263,1.9696174
-18.1,27,-23.922251,13.765129,-50.901409,3.056905,-18.1,0,-2.3748994,12.915439,-27.688694,22.938894,-149.52014,74.851151,-296.22571,-2.8145835,-147.14525,76.078186,-296.25577,1.9652598
-18,27,-23.869209,13.734607,-50.788544,3.050127,-18,0,-2.3696334,12.886801,-27.627298,22.888033,-149.18861,74.685188,-295.56888,-2.8083427,-146.81898,75.9095,-295.59888,1.9609022
-17.9,27,-23.816166,13.704085,-50.675678,3.0433488,-17.9,0,-2.3643675,12.858164,-27.565905,22.83717,-148.85709,74.519218,-294.91208,-2.8021019,-146.49272,75.740807,-294.94199,1.9565446
-17.8,27,-23.763123,13.673564,-50.562817,3.0365708,-17.799999,0,-2.3591018,12.829526,-27.504511,22.786306,-148.52556,74.353249,-294.25525,-2.7958612,-146.16644,75.572121,-294.2851,1.9521871
-17.7,27,-23.710081,13.643044,-50.449955,3.0297928,-17.700001,0,-2.3538358,12.800889,-27.443117,22.735445,-148.19403,74.187286,-293.59842,-2.7896204,-145.84019,75.403435,-293.6282,1.9478296
-17.6,27,-23.657038,13.612522,-50.33709,3.0230148,-17.6,0,-2.3485701,12.772252,-27.381723,22.684584,-147.86249,74.021317,-292.94162,-2.7833798,-145.51393,75.234749,-292.97131,1.943472
