temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_manuf,se_manuf,lowerci_manuf,upperci_manuf,yhat_hr3,se_hr3,lowerci_hr3,upperci_hr3
-20,27,-17.65408921807046,11.08624453135361,-39.38272922332766,4.074550787186748,-2.474950470337367,13.45991455753605,-28.8558982380944,23.90599729741967,1.770913400916622,9.937072120412941,-17.7053900668698,21.24721686870305,-155.8192197338929,78.00665055268566,-308.7094453717582,-2.928994096027537
-19.9,27,-17.61652718282987,11.06265668694112,-39.29893586256566,4.065881496905916,-2.469684598185188,13.43127633216748,-28.79450247563867,23.85513327926829,1.767145485690207,9.915929333109904,-17.66771888044948,21.20200985182989,-155.4876882144524,77.84067832279331,-308.052614259295,-2.922762169609797
-19.8,27,-17.57896514758928,11.03906884263847,-39.21514250201892,4.057212206840365,-2.464418726033009,13.40263810690458,-28.73310671339006,23.80426926132404,1.763377570463792,9.894786545832483,-17.63004769407936,21.15680283500694,-155.1561566950118,77.67470609274744,-307.3957831465307,-2.916530243492986
-19.7,27,-17.54140382878493,11.01548144817669,-39.13135073958036,4.048543082010504,-2.459152954318987,13.37400042780348,-28.67171212203709,23.75340621339911,1.759609727104382,9.873644161800541,-17.59237722618884,21.11159668039761,-154.8246314990091,77.50873702896942,-306.7389645629752,-2.910298435043018
-19.6,27,-17.50384179354434,10.99189360397044,-39.04755737922258,4.039873792133903,-2.453887082166808,13.34536220242308,-28.61031635955817,23.70254219522456,1.755841811877967,9.852501374515853,-17.55470603980448,21.06638966356041,-154.4930999795686,77.34276479873408,-306.0821334498396,-2.904066509297564
-19.5,27,-17.46627975830375,10.96830575968053,-38.96376401870082,4.031204502093324,-2.448621210014629,13.31672397710734,-28.54892059720601,23.65167817717675,1.752073896651551,9.831358587232625,-17.51703485342297,21.02118264672608,-154.1615684601281,77.17679256814817,-305.425302336017,-2.897834584239149
-19.4,27,-17.42871772306316,10.94471791526804,-38.87997065793881,4.022535211812492,-2.44335533786245,13.28808575179554,-28.48752483486155,23.60081415913665,1.748305981425136,9.810215799936806,-17.47936366701679,20.97597562986707,-153.8300369406875,77.01082033825368,-304.7684712235495,-2.891602657825644
-19.3,27,-17.39115568782258,10.92113007106181,-38.79617729758107,4.013865921935921,-2.438089465710271,13.25944752653263,-28.42612907261292,23.54995014119238,1.744538066198721,9.789073012633677,-17.44169248059629,20.93076861299373,-153.498505421247,76.84484810828836,-304.1116401109431,-2.88537073155095
-19.2,27,-17.35359436901822,10.89754267661299,-38.71238553516789,4.005196797131454,-2.432823693996249,13.23080984737478,-28.36473448114869,23.4990870931562,1.740770222839311,9.767930628589177,-17.40402201268116,20.88556245835979,-153.1669802252443,76.6788790433835,-303.454821525179,-2.879138925309547
-19.1,27,-17.31603233377763,10.87395483229738,-38.62859217459577,3.996527507040504,-2.42755782184407,13.20217162205114,-28.30333871878104,23.4482230750929,1.737002307612896,9.746787841286038,-17.36635082626063,20.84035544148643,-152.8354487058038,76.51290681419444,-302.7979904140941,-2.872906997513411
-19,27,-17.27847029853704,10.85036698810386,-38.54479881426295,3.987858217188862,-2.422291949691891,13.1735333967354,-28.24194295642887,23.39735905704509,1.733234392386481,9.72564505402122,-17.32867963991521,20.79514842468818,-152.5039171863633,76.34693458430212,-302.1411593016309,-2.866675071095642
-18.9,27,-17.24090826329645,10.82677914370434,-38.46100545352636,3.979188926933453,-2.417026077539712,13.14489517137864,-28.18054719399631,23.34649503891688,1.729466477160066,9.704502266756448,-17.29100845356988,20.74994140789002,-152.1723856669227,76.18096235398622,-301.4843281883374,-2.8604431455081
-18.8,27,-17.20334622805587,10.80319129938872,-38.37721209295422,3.970519636842489,-2.411760205387533,13.11625694605108,-28.11915143162097,23.2956310208459,1.725698561933651,9.683359479453275,-17.25333726714929,20.70473439101659,-151.8408541474822,76.01499012375091,-300.8274970752019,-2.854211219762561
-18.7,27,-17.16578490925151,10.77960390514592,-38.29342033094484,3.961850512441817,-2.406494433673511,13.08761926700283,-28.05775684037156,23.24476797302454,1.721930718574241,9.662217095408794,-17.2156667992342,20.65952823638268,-151.5093289514795,75.84902105919444,-300.1706784901206,-2.847979412838299
-18.6,27,-17.12822287401092,10.75601606073345,-38.20962697018285,3.95318122216101,-2.401228561521332,13.05898104163425,-27.99636107791582,23.19390395487316,1.718162803347826,9.641074308105688,-17.17799561281374,20.61432121950939,-151.1777974320389,75.68304882860851,-299.5138473762979,-2.841747487779969
-18.5,27,-17.09066083877034,10.73242821643078,-38.12583360963612,3.944511932095441,-2.395962689369153,13.03034281630669,-27.93496531554048,23.14303993680218,1.71439488812141,9.619931520809837,-17.1403244264075,20.56911420265032,-150.8462659125984,75.5170765987162,-298.8570162638347,-2.835515561362172
-18.4,27,-17.05309880352975,10.70884037223728,-38.04204024930331,3.935842642243813,-2.390696817216974,13.00170459100277,-27.87356955321147,23.09217591877753,1.710626972894995,9.598788733526609,-17.10265324002599,20.52390718581598,-150.5147343931579,75.35110436944659,-298.2001851525919,-2.829283633723918
-18.3,27,-17.01553676828916,10.6852525278248,-37.95824688854134,3.92717335196302,-2.385430945064795,12.97306636567914,-27.81217379084384,23.04131190071426,1.70685905766858,9.577645946241912,-17.06498205364161,20.47870016897877,-150.1832028737174,75.18513213921125,-297.5433540394563,-2.823051707978465
-18.2,27,-16.97797544948481,10.66166513347284,-37.874455126318,3.918504227348393,-2.380165173350774,12.94442868657412,-27.75077919948315,22.9904488527816,1.70309121430917,9.556503562209947,-17.02731158575105,20.4334940143694,-149.8516776777147,75.01916307438479,-296.8865354538459,-2.816819901583386
-18.1,27,-16.94041341424422,10.63807728906037,-37.79066176555602,3.909834937067593,-2.374899301198594,12.91579046125838,-27.68938343713099,22.93958483473381,1.699323299082755,9.535360774932617,-16.98964039938111,20.38828699754662,-149.5201461582741,74.85319084449242,-296.2297043413826,-2.810587975165731
-18,27,-16.90285137900363,10.61448944485413,-37.70686840519826,3.901165647191007,-2.369633429046415,12.88715223593476,-27.62798767476337,22.88872081667053,1.69555538385634,9.514217987629468,-16.95196921296056,20.34307998067325,-149.1886146388336,74.68721861444659,-295.5728732286184,-2.804356049048806
-17.9,27,-16.86528934376304,10.5909016005642,-37.62307504467648,3.892496357150396,-2.364367556894236,12.85851401061901,-27.56659191241118,22.83785679862271,1.691787468629925,9.49307520032629,-16.91429802653996,20.29787296379981,-148.8570831193931,74.52124638421122,-294.9160421154828,-2.798124123303381
