temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,tmax_rcspl_3kn_t0,tmax_rcspl_3kn_t1,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,-.082690611,9.6463985,-18.989285,18.823904,-20,0,-2.4749506,13.458329,-28.852793,23.902891,1.7709134,9.9359016,-17.703096,21.244925,4.2458639,16.588713,-28.267414,36.759144
-19.9,27,-.082514673,9.6258745,-18.948881,18.783852,-19.9,0,-2.4696846,13.429695,-28.791403,23.852034,1.7671455,9.9147615,-17.66543,21.199722,4.2368302,16.553417,-28.207272,36.680931
-19.8,27,-.082338735,9.6053495,-18.908478,18.743801,-19.799999,0,-2.4644186,13.40106,-28.730013,23.801176,1.7633775,9.8936214,-17.627764,21.15452,4.2277961,16.518122,-28.147127,36.602718
-19.7,27,-.082162797,9.5848255,-18.868076,18.703751,-19.700001,0,-2.4591529,13.372426,-28.668625,23.75032,1.7596097,9.8724813,-17.590099,21.109318,4.2187629,16.482826,-28.086985,36.524509
-19.6,27,-.081986859,9.5643015,-18.827673,18.6637,-19.6,0,-2.453887,13.343791,-28.607237,23.699463,1.7558419,9.8513412,-17.552433,21.064116,4.2097287,16.447533,-28.026842,36.446301
-19.5,27,-.081810921,9.5437775,-18.787271,18.62365,-19.5,0,-2.4486213,13.315156,-28.545847,23.648605,1.7520739,9.8302011,-17.514767,21.018913,4.200695,16.412237,-27.966698,36.368088
-19.4,27,-.081634983,9.5232525,-18.746868,18.583597,-19.4,0,-2.4433553,13.286521,-28.484459,23.597748,1.748306,9.8090611,-17.4771,20.973711,4.1916614,16.376942,-27.906553,36.289875
-19.3,27,-.081459045,9.5027285,-18.706465,18.543547,-19.299999,0,-2.4380894,13.257886,-28.423069,23.54689,1.7445381,9.78792,-17.439434,20.928509,4.1826277,16.341646,-27.846411,36.211666
-19.2,27,-.081283115,9.4822044,-18.666063,18.503496,-19.200001,0,-2.4328237,13.229252,-28.361681,23.496033,1.7407702,9.7667809,-17.401768,20.883308,4.173594,16.306351,-27.786268,36.133457
-19.1,27,-.081107177,9.4616804,-18.62566,18.463446,-19.1,0,-2.4275577,13.200617,-28.300291,23.445177,1.7370023,9.7456398,-17.364101,20.838106,4.1645603,16.271057,-27.726124,36.055244
-19,27,-.080931239,9.4411564,-18.585257,18.423395,-19,0,-2.422292,13.171982,-28.238903,23.39432,1.7332344,9.7244997,-17.326435,20.792904,4.1555262,16.235762,-27.665979,35.977032
-18.9,27,-.080755301,9.4206314,-18.544853,18.383343,-18.9,0,-2.417026,13.143348,-28.177513,23.343462,1.7294664,9.7033596,-17.288769,20.747702,4.1464925,16.200466,-27.605837,35.898823
-18.8,27,-.080579363,9.4001074,-18.504452,18.343292,-18.799999,0,-2.4117601,13.114713,-28.116125,23.292604,1.7256986,9.6822195,-17.251102,20.702499,4.1374588,16.165171,-27.545692,35.82061
-18.7,27,-.080403425,9.3795834,-18.464048,18.303242,-18.700001,0,-2.4064944,13.086079,-28.054737,23.241747,1.7219307,9.6610794,-17.213436,20.657299,4.1284251,16.129875,-27.48555,35.742401
-18.6,27,-.080227487,9.3590593,-18.423647,18.263191,-18.6,0,-2.4012287,13.057444,-27.993347,23.190889,1.7181628,9.6399393,-17.17577,20.612097,4.1193914,16.09458,-27.425407,35.664188
-18.5,27,-.080051549,9.3385344,-18.383244,18.223141,-18.5,0,-2.3959627,13.028809,-27.931957,23.140032,1.7143949,9.6187992,-17.138103,20.566895,4.1103578,16.059286,-27.365263,35.585979
-18.4,27,-.079875611,9.3180103,-18.34284,18.183088,-18.4,0,-2.3906968,13.000174,-27.870569,23.089176,1.710627,9.5976582,-17.100437,20.521692,4.1013236,16.023991,-27.305119,35.507767
-18.3,27,-.079699673,9.2974863,-18.302437,18.143038,-18.299999,0,-2.3854311,12.971539,-27.809179,23.038319,1.7068591,9.5765181,-17.062771,20.47649,4.0922899,15.988695,-27.244976,35.429554
