temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_manuft,se_manuft,lowerci_manuft,upperci_manuft,yhat_connmine,se_connmine,lowerci_connmine,upperci_connmine,yhat_agri,se_agri,lowerci_agri,upperci_agri
-20,27,-18.95412391,11.37043745088797,-41.2397718,3.331523980272603,-3.814399889,13.83286430249074,-30.92631573,23.29751594658032,-1.27136417,10.79096990708017,-22.42127655,19.87854820649195,10.817494,54.292122,-95.593109,117.2281,-155.81921,78.004524,-308.70529,-2.9331579
-19.9,27,-18.91379583,11.34624493835807,-41.15202727,3.324435604,-3.806284114,13.80343256406543,-30.8605148,23.24794657466879,-1.268659129,10.76801030903468,-22.37357152,19.83625326169031,10.794478,54.176609,-95.389717,116.97868,-155.48769,77.838562,-308.04846,-2.9269171
-19.8,27,-18.87346776,11.32205242607094,-41.06428274,3.317347228,-3.798168339,13.77400082562009,-30.79471388,23.19837720271802,-1.265954089,10.74505071,-22.32586649,19.79395831689046,10.771462,54.061092,-95.186333,116.72926,-155.15616,77.672592,-307.39163,-2.9206765
-19.7,27,-18.83314045,11.29786037507323,-40.97653989,3.310258987545474,-3.790052718,13.74456964854081,-30.72891421,23.14880877622896,-1.2632491,10.72209155089401,-22.27816238,19.75166417885952,10.748447,53.94558,-94.982941,116.47984,-154.82463,77.50663,-306.73483,-2.9144356
-19.6,27,-18.79281237,11.27366786278611,-40.88879536,3.303170611822868,-3.781936943,13.71513791006626,-30.66311329,23.09923940422093,-1.260544059,10.69913195287011,-22.23045735,19.70936923410022,10.725431,53.830063,-94.779556,116.23042,-154.4931,77.34066,-306.078,-2.908195
-19.5,27,-18.7524843,11.24947535025621,-40.80105083,3.296082235624439,-3.773821167,13.68570617163926,-30.59731237,23.04967003,-1.257839019,10.67617235484925,-22.18275233,19.66707428934685,10.702415,53.714546,-94.576164,115.981,-154.16158,77.17469,-305.42117,-2.9019542
-19.4,27,-18.71215622,11.22528283796909,-40.7133063,3.288993859901836,-3.765705392,13.65627443318486,-30.53151144,23.00010066033757,-1.255133978,10.65321275682382,-22.1350473,19.62477934458454,10.679399,53.599033,-94.372772,115.73157,-153.83003,77.00872,-304.76437,-2.8957133
-19.3,27,-18.67182814,11.20109032543918,-40.62556177,3.281905483703369,-3.757589616,13.62684269473219,-30.46571052,22.95053128837243,-1.252428938,10.63025315880558,-22.08734228,19.5824844,10.656384,53.483517,-94.16938,115.48215,-153.4985,76.842758,-304.10754,-2.8894725
-19.2,27,-18.63150083,11.17689827444147,-40.53781891,3.274817242897306,-3.749473996,13.59741151763457,-30.39991085,22.90096286184743,-1.249723949,10.607294,-22.03963816,19.54019026175698,10.633368,53.368004,-93.965996,115.23273,-153.16698,76.676788,-303.45071,-2.8832319
-19.1,27,-18.59117276,11.15270576215435,-40.45007438,3.267728867174711,-3.74135822,13.56797977919235,-30.33410993,22.85139348990277,-1.247018909,10.58433440068291,-21.99193313,19.49789531704081,10.610352,53.252487,-93.762604,114.98331,-152.83545,76.510826,-302.79391,-2.876991
-19,27,-18.55084468,11.12851324974585,-40.36232985,3.260640491214208,-3.733242445,13.53854804073614,-30.26830901,22.80182411793069,-1.244313868,10.56137480266462,-21.94422811,19.45560037229248,10.587336,53.136971,-93.559212,114.73389,-152.50392,76.344856,-302.13708,-2.8707504
-18.9,27,-18.5105166,11.10432073733733,-40.27458532,3.253552115253676,-3.725126669,13.50911630231095,-30.20250808,22.75225474601941,-1.241608828,10.53841520462011,-21.89652308,19.41330542749276,10.56432,53.021458,-93.355827,114.48447,-152.17238,76.178886,-301.48026,-2.8645096
-18.8,27,-18.47018853,11.08012822492882,-40.18684079,3.246463739293137,-3.717010894,13.47968456,-30.13670716,22.70268537400786,-1.238903787,10.51545560661832,-21.84881806,19.37101048277679,10.541304,52.905941,-93.152435,114.23504,-151.84085,76.012917,-300.82343,-2.8582687
-18.7,27,-18.42986122,11.05593617405249,-40.09909793,3.239375498724982,-3.708895273,13.45025338675546,-30.07090749,22.65311694751908,-1.236198798,10.49249644649763,-21.80111394,19.32871634469762,10.518288,52.790428,-92.949051,113.98563,-151.50932,75.846954,-300.16663,-2.8520281
-18.6,27,-18.38953314,11.03174366,-40.0113534,3.232287122526557,-3.700779498,13.42082164831812,-30.00510657,22.60354757558398,-1.233493758,10.46953684847934,-21.75340892,19.28642139994931,10.495272,52.674911,-92.745659,113.7362,-151.1778,75.680984,-299.5098,-2.8457873
-18.5,27,-18.34920506,11.00755114923547,-39.92360887,3.225198746803944,-3.692663723,13.39138990986925,-29.93930565,22.55397820362627,-1.230788717,10.44657725,-21.70570389,19.24412645518677,10.472256,52.559395,-92.542267,113.48678,-150.84627,75.515022,-298.853,-2.8395464
-18.4,27,-18.30887699,10.98335863682696,-39.83586434,3.218110370843434,-3.684547947,13.36195817143189,-29.87350473,22.50440883169115,-1.228083677,10.42361765243298,-21.65799886,19.20183151,10.44924,52.443882,-92.338875,113.23736,-150.51474,75.349052,-298.19617,-2.8333058
-18.3,27,-18.26854891,10.95916612441845,-39.74811981,3.211021994882895,-3.676432172,13.33252643298786,-29.8077038,22.45483945974294,-1.225378636,10.40065805440905,-21.61029384,19.15953656567412,10.426224,52.328365,-92.135483,112.98793,-150.1832,75.183083,-297.53934,-2.827065
-18.2,27,-18.2282216,10.93497407342074,-39.66037696,3.203933754076836,-3.668316551,13.30309525589023,-29.74190414,22.40527103321792,-1.222673648,10.37769889431309,-21.56258972,19.11724242764342,10.403208,52.212852,-91.932098,112.73852,-149.85168,75.01712,-296.88254,-2.8208244
-18.1,27,-18.18789352,10.91078156113361,-39.57263243,3.196845378354229,-3.660200776,13.27366351743922,-29.67610321,22.35570166125603,-1.219968607,10.35473929626845,-21.5148847,19.07494748284347,10.380192,52.097336,-91.728706,112.48909,-149.52014,74.851151,-296.22571,-2.8145835
-18,27,-18.14756545,10.88658904860371,-39.4848879,3.189757002155783,-3.652085,13.24423177899389,-29.61030229,22.30613228930527,-1.217263567,10.33177969822295,-21.46717967,19.03265253804181,10.357176,51.981819,-91.525322,112.23967,-149.18861,74.685188,-295.56888,-2.8083427
-17.9,27,-18.10723737,10.86239653631659,-39.39714337,3.182668626433188,-3.643969225,13.21480004053135,-29.54450137,22.25656291732078,-1.214558526,10.30882010022366,-21.41947465,18.99035759333072,10.33416,51.866306,-91.32193,111.99025,-148.85709,74.519218,-294.91208,-2.8021019
-17.8,27,-18.06690929,10.83820402390809,-39.30939884,3.175580250472684,-3.63585345,13.18536830208601,-29.47870044,22.20699354537002,-1.211853486,10.28586050219235,-21.37176962,18.94806264855688,10.311144,51.75079,-91.118538,111.74083,-148.52556,74.353249,-294.25525,-2.7958612
-17.7,27,-18.02658199,10.81401197291037,-39.22165598,3.168492009666608,-3.627737829,13.15593712499472,-29.41290078,22.15742511885742,-1.209148497,10.26290134209625,-21.3240655,18.90576851052592,10.288128,51.635277,-90.915154,111.49141,-148.19403,74.187286,-293.59842,-2.7896204
-17.6,27,-17.98625391,10.78981946050185,-39.13391145,3.161403633706058,-3.619622054,13.12650538656011,-29.34709985,22.10785574692768,-1.206443456,10.23994174404607,-21.27636048,18.86347356571509,10.265112,51.51976,-90.711761,111.24199,-147.86249,74.021317,-292.94162,-2.7833798
-17.5,27,-17.94592583,10.76562694809334,-39.04616692,3.154315257745534,-3.611506278,13.09707365,-29.28129893,22.05828637495305,-1.203738416,10.21698214603835,-21.22865545,18.82117862,10.242096,51.404243,-90.508369,110.99256,-147.53096,73.855347,-292.28479,-2.7771389
-17.4,27,-17.90559775,10.74143443568483,-38.95842239,3.147226881785027,-3.603390503,13.06764190967872,-29.21549801,22.00871700304434,-1.201033375,10.19402255,-21.18095043,18.77888367625081,10.21908,51.288727,-90.304977,110.74314,-147.19943,73.689384,-291.62796,-2.7708981
-17.3,27,-17.86526968,10.71724192327633,-38.87067786,3.140138506,-3.595274727,13.03821017122123,-29.14969709,21.95914763106973,-1.198328335,10.17106294999454,-21.1332454,18.73658873147668,10.196064,51.173214,-90.101593,110.49372,-146.8679,73.523415,-290.97113,-2.7646573
-17.2,27,-17.82494237,10.69304987239999,-38.782935,3.133050265256344,-3.587159107,13.00877899414375,-29.08389742,21.90957920458421,-1.195623346,10.14810378986065,-21.08554129,18.69429459337164,10.173049,51.057701,-89.898201,110.2443,-146.53638,73.357452,-290.31433,-2.7584167
-17.1,27,-17.78461429,10.66885735999149,-38.69519047,3.125961889295844,-3.579043331,12.97934725569971,-29.0180965,21.86000983263599,-1.192918306,10.12514419187205,-21.03783626,18.65199964868152,10.150032,50.942184,-89.694817,109.99488,-146.20485,73.191483,-289.6575,-2.7521758
-17,27,-17.74428622,10.64466484758298,-38.60744594,3.118873513,-3.570927556,12.94991551722856,-28.95229557,21.81044046063462,-1.190213265,10.10218459384058,-20.99013123,18.60970470390736,10.127016,50.826668,-89.491425,109.74545,-145.87331,73.025513,-289.0007,-2.7459352
-16.9,27,-17.70395814,10.62047233517447,-38.51970141,3.111785137374799,-3.562811781,12.92048377877837,-28.88649465,21.76087108867434,-1.187508225,10.07922499580921,-20.94242621,18.56740976,10.104,50.711151,-89.288033,109.49603,-145.54178,72.859543,-288.34387,-2.7396944
-16.8,27,-17.66363006,10.59627982276594,-38.43195688,3.104696761414242,-3.554696005,12.89105204034067,-28.82069373,21.71130171673854,-1.184803184,10.05626539782052,-20.89472118,18.52511481,10.080984,50.595638,-89.084641,109.24661,-145.21025,72.693581,-287.68704,-2.7334535
-16.7,27,-17.62330275,10.57208777176825,-38.34421403,3.097608520608212,-3.546580385,12.86162086,-28.75489406,21.66173329025303,-1.182098195,10.03330624,-20.84701707,18.48282067633821,10.057969,50.480125,-88.881256,108.99719,-144.87872,72.527611,-287.03024,-2.7272129
-16.6,27,-17.58297468,10.54789525948113,-38.2564695,3.090520144885613,-3.538464609,12.83218912479302,-28.68909314,21.61216391825358,-1.179393155,10.01034663965525,-20.79931204,18.44052573156409,10.034953,50.364609,-88.677864,108.74777,-144.5472,72.361649,-286.37341,-2.7209721
-16.5,27,-17.5426466,10.52370274707262,-38.16872497,3.083431768925088,-3.530348834,12.80275738637547,-28.62329221,21.56259454635727,-1.176688114,9.987387041642823,-20.75160702,18.39823078682726,10.011937,50.249092,-88.474472,108.49835,-144.21567,72.195679,-285.71658,-2.7147312
-16.4,27,-17.50231852,10.49951023,-38.08098044,3.076343392964542,-3.522233058,12.77332564791164,-28.55749129,21.51302517437025,-1.173983074,9.964427443635147,-20.70390199,18.35593584209974,9.9889212,50.133575,-88.271088,108.24892,-143.88412,72.029709,-285.05975,-2.7084906
