temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,tmax_rcspl_3kn_t0,tmax_rcspl_3kn_t1,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,-18.954124,11.370438,-41.239773,3.3315239,-20,0,-6.9308209,13.618516,-33.62262,19.760979,10.817494,54.292122,-95.593109,117.2281,17.748316,55.708557,-91.438454,126.93508
-19.9,27,-18.913795,11.346245,-41.152027,3.3244357,-19.9,0,-6.9160748,13.58954,-33.551083,19.718935,10.794478,54.176609,-95.389717,116.97868,17.710554,55.590031,-91.243904,126.66501
-19.8,27,-18.873468,11.322052,-41.064281,3.3173473,-19.799999,0,-6.9013281,13.560564,-33.479546,19.676889,10.771462,54.061092,-95.186333,116.72926,17.672791,55.4715,-91.049347,126.39494
-19.7,27,-18.833141,11.29786,-40.97654,3.3102591,-19.700001,0,-6.8865819,13.53159,-33.408009,19.634846,10.748447,53.94558,-94.982941,116.47984,17.635029,55.352974,-90.854805,126.12486
-19.6,27,-18.792812,11.273668,-40.888794,3.3031707,-19.6,0,-6.8718352,13.502613,-33.336472,19.5928,10.725431,53.830063,-94.779556,116.23042,17.597267,55.234444,-90.660255,125.85479
-19.5,27,-18.752483,11.249475,-40.801052,3.2960823,-19.5,0,-6.857089,13.473638,-33.264935,19.550756,10.702415,53.714546,-94.576164,115.981,17.559504,55.115913,-90.465706,125.58471
-19.4,27,-18.712156,11.225283,-40.713306,3.2889938,-19.4,0,-6.8423424,13.444662,-33.193398,19.508711,10.679399,53.599033,-94.372772,115.73157,17.521742,54.997383,-90.271149,125.31464
-19.3,27,-18.671827,11.20109,-40.625561,3.2819054,-19.299999,0,-6.8275962,13.415687,-33.121857,19.466665,10.656384,53.483517,-94.16938,115.48215,17.483978,54.878857,-90.076599,125.04456
-19.2,27,-18.6315,11.176898,-40.537819,3.2748172,-19.200001,0,-6.8128495,13.386711,-33.050323,19.424622,10.633368,53.368004,-93.965996,115.23273,17.446217,54.76033,-89.882057,124.77449
-19.1,27,-18.591173,11.152706,-40.450073,3.2677288,-19.1,0,-6.7981033,13.357736,-32.978783,19.382578,10.610352,53.252487,-93.762604,114.98331,17.408455,54.6418,-89.6875,124.50441
