var_type,year,pctile,beta1,beta2,anomalymin,anomalymax
"value",2015,.05,-.9594951,1.473747,.0913345,.4047082
"value",2016,.05,-.7565066,.7005385,.1043945,.452688
"value",2017,.05,-.749776,.6266345,.1150177,.4898569
"value",2018,.05,-.7013264,.41989,.1313385,.5439752
"value",2019,.05,-.7187836,.4485315,.1356659,.5908411
"value",2020,.05,-.6710659,.3509655,.1499573,.6357951
"value",2021,.05,-.6903771,.4462276,.1627564,.6857845
"value",2022,.05,-.6506833,.3739653,.185022,.7193935
"value",2023,.05,-.5707961,.2343602,.2035401,.7588283
"value",2024,.05,-.5777786,.285242,.2167926,.8046947
"value",2025,.05,-.5968407,.3259233,.2303988,.8440318
"value",2026,.05,-.6021454,.2848976,.25,.8832209
"value",2027,.05,-.5605503,.211862,.27,.9260995
"value",2028,.05,-.5562146,.2113148,.2737382,.983
"value",2029,.05,-.5745194,.2287185,.2793244,1.043
"value",2030,.05,-.5265838,.1416996,.296344,1.103
"value",2031,.05,-.4919255,.1232507,.3052537,1.173
"value",2032,.05,-.5008096,.1452966,.3230438,1.233
"value",2033,.05,-.5453922,.1899288,.34,1.303
"value",2034,.05,-.5527896,.1840627,.3436951,1.363
"value",2035,.05,-.5682258,.2149689,.3410126,1.443
"value",2036,.05,-.5711086,.2071845,.3475724,1.513
"value",2037,.05,-.587588,.2178565,.3653474,1.593
"value",2038,.05,-.5830886,.2143793,.3843217,1.663
"value",2039,.05,-.52705,.165232,.4037126,1.733
"value",2040,.05,-.4711051,.1086838,.4052308,1.813
"value",2041,.05,-.4470445,.0982099,.4187425,1.893
"value",2042,.05,-.4663793,.1258166,.4325287,1.983
"value",2043,.05,-.4525484,.1234339,.46,2.073
"value",2044,.05,-.4534304,.1300608,.47,2.173
"value",2045,.05,-.4563504,.1420528,.48,2.273
"value",2046,.05,-.4576036,.1466866,.49,2.353
"value",2047,.05,-.4568088,.141818,.5,2.443
"value",2048,.05,-.477022,.1534587,.51,2.533
"value",2049,.05,-.484539,.1583803,.52,2.623
"value",2050,.05,-.4771058,.1524795,.53,2.703
"value",2051,.05,-.4593725,.1432944,.54,2.783
"value",2052,.05,-.4466434,.1365893,.55,2.863
"value",2053,.05,-.4242747,.123711,.56,2.983
"value",2054,.05,-.3845439,.1076301,.57,3.083
"value",2055,.05,-.406812,.1236197,.58,3.173
"value",2056,.05,-.4251684,.1303588,.59,3.273
